age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
44,Private,160323,10,Married,Managerial-Specialist,Husband,Non-White,Male,7688,0,40,US,1
46,Non-Private,106444,10,Married,Managerial-Specialist,Husband,Non-White,Male,7688,0,38,US,1
46,Private,269034,10,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
57,Private,244478,9,Married,Other,Husband,Non-White,Male,0,0,48,US,0
49,Private,171128,4,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
45,Private,411273,4,Married,Other,Husband,Non-White,Male,0,0,40,US,0
34,Private,162312,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
33,Private,265168,13,Married,Other,Husband,Non-White,Male,0,0,55,US,0
61,Non-Private,512864,10,Married,Other,Husband,Non-White,Male,0,0,40,US,0
51,Non-Private,136708,9,Married,Other,Husband,Non-White,Male,3103,0,84,Non-US,0
68,Private,257557,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
37,Private,123361,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,50,US,1
43,Non-Private,126320,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
45,Private,355781,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,Non-US,1
36,Private,116358,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,45,Non-US,0
47,Non-Private,471990,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
33,Private,75435,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
36,Non-Private,291676,5,Married,Other,Husband,Non-White,Male,0,0,40,US,0
64,Non-Private,107732,2,Married,Other,Husband,Non-White,Male,0,0,45,Non-US,0
54,Private,333301,6,Married,Other,Husband,Non-White,Male,0,0,40,US,0
37,Non-Private,191342,9,Married,Other,Husband,Non-White,Male,0,0,60,Non-US,1
51,Non-Private,248327,13,Married,Other,Husband,Non-White,Male,0,0,40,US,1
35,Non-Private,333636,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,75,US,0
35,Non-Private,28987,5,Married,Other,Husband,Non-White,Male,0,0,96,US,0
53,Non-Private,94214,15,Married,Managerial-Specialist,Husband,Non-White,Male,7298,0,50,Non-US,1
49,Non-Private,252616,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
64,Private,86837,1,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
34,Non-Private,191957,13,Married,Other,Husband,Non-White,Male,0,0,45,US,1
67,Private,53874,8,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
47,Private,369438,10,Married,Other,Husband,Non-White,Male,0,0,30,US,1
37,Private,106043,9,Married,Other,Husband,Non-White,Male,0,0,40,US,1
54,Private,409173,9,Married,Other,Husband,Non-White,Male,0,0,50,Non-US,1
56,Private,140136,10,Married,Other,Husband,Non-White,Male,0,0,35,US,1
38,Private,217926,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
48,Private,153312,10,Married,Other,Husband,Non-White,Male,0,0,60,US,1
38,Private,216319,16,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,1
38,Private,210438,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
48,Private,226696,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
33,Private,160261,11,Married,Other,Husband,Non-White,Male,0,0,10,US,0
48,Private,153254,9,Married,Other,Husband,Non-White,Male,0,0,48,US,0
62,Non-Private,171995,6,Married,Other,Husband,Non-White,Male,2829,0,40,US,0
55,Private,176219,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
40,Private,352080,10,Married,Other,Husband,Non-White,Male,0,0,40,US,1
31,Non-Private,378426,15,Married,Managerial-Specialist,Husband,White,Male,0,0,99,Non-US,0
27,Private,82393,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
