sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,69,Non-White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,44,Non-White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,43,Non-White,0,4,0,0,3,-1,1,3,0,1,Low,3,1,0
Female,39,White,0,1,0,0,0,-1,1,2,0,1,Low,1,2,0
Male,20,White,0,10,0,1,0,-1,1,3,0,1,Low,9,33,0
Female,26,White,0,5,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,27,White,0,4,0,0,0,-1,1,3,0,1,Low,4,1,0
Female,37,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,22,White,0,3,0,0,0,0,0,2,0,1,Low,5,1,0
Male,41,Non-White,0,4,0,0,0,-1,1,3,0,1,Low,2,1,0
Male,37,Non-White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Female,21,White,0,4,0,0,0,-2,2,3,0,1,Low,5,1,0
Male,42,White,0,3,0,0,1,-132,133,3,0,1,Low,1,104,0
Male,43,White,0,1,0,0,1,-1,1,2,0,1,Low,2,1,0
Male,32,Non-White,0,3,0,0,0,-1,1,2,0,1,Low,4,1,0
Female,54,Non-White,0,9,0,0,0,-1,1,3,0,1,Low,5,110,0
Male,44,Non-White,0,6,0,0,8,0,4296,2,0,1,Low,4,1,0
Female,36,White,0,3,0,0,3,53,95,3,0,1,Low,1,1,0
Male,63,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,55,White,0,1,0,0,0,-1,1,3,0,1,Low,1,2,0
Male,32,Non-White,0,10,0,0,15,0,0,3,0,1,Low,8,92,0
Male,38,Non-White,0,3,0,2,5,-1,1,3,0,1,Low,4,165,0
Male,53,White,0,5,0,0,19,-1,1,3,0,1,Low,2,5,0
Male,26,White,0,8,0,2,6,81,382,2,0,1,Low,8,12,0
Male,29,White,0,2,0,0,0,0,1,2,0,1,Low,2,-1,0
Female,21,Non-White,0,8,0,0,2,-1,1,3,0,1,Low,8,79,0
Male,51,Non-White,0,1,0,0,2,-1,1,2,0,1,Low,1,1,0
Female,51,Non-White,0,2,0,0,7,-1,1,3,0,1,Low,2,1,0
Male,28,White,0,7,0,0,8,0,0,3,0,1,Low,4,1,0
Male,36,Non-White,0,9,0,0,22,-1,1,2,0,1,Low,10,197,0
Male,29,Non-White,0,1,0,0,0,-1,2,2,0,1,Low,2,1,0
Male,49,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Female,28,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,2,1,0
Male,51,White,0,2,0,0,0,-1,1,3,0,1,Low,1,24,0
Male,25,White,0,3,0,0,0,0,0,3,0,1,Low,3,1,0
Male,33,White,0,9,0,0,1,0,0,3,0,1,Low,10,1,0
Female,63,Non-White,0,1,0,0,1,-219,219,3,0,1,Low,1,8,0
Male,30,Non-White,0,6,0,1,3,-1,1,3,0,1,Low,4,1,0
Male,32,White,0,8,0,0,3,-1,1,3,0,1,Low,2,1,0
Male,30,Non-White,0,7,0,0,0,0,0,2,0,1,Low,3,23,0
