SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.902786641,33,2,0.399556049,900.0,7,1,0,1,0.0
1,0.9999999,39,0,0.274362819,1333.0,1,1,0,1,1.0
0,0.652347652,26,0,0.158613795,3000.0,3,1,0,1,1.0
0,0.887571346,41,2,0.690563277,4100.0,10,1,0,1,3.0
1,1.3766233769999998,29,1,0.417024936,1162.0,4,1,0,1,0.0
0,0.9999999,34,2,0.102748691,4583.0,5,1,0,1,3.0
1,0.9999999,45,1,0.033570702,2948.0,3,1,0,1,2.0
0,1.413173653,22,1,0.174377224,280.0,3,1,0,1,0.0
1,0.978394066,31,0,0.024993057000000003,3600.0,2,1,0,1,3.0
1,0.9999999,38,0,0.281313131,1979.0,2,1,0,1,1.0
1,0.9999999,48,1,0.842205323,525.0,3,1,0,1,2.0
1,0.9999999,35,2,0.298650568,2815.0,2,1,1,1,3.0
0,1.114863364,26,0,0.353942984,2700.0,5,1,0,1,1.0
1,0.9999999,39,0,0.483481064,1240.0,1,1,0,1,2.0
0,0.642685851,26,2,0.315570358,1200.0,8,1,0,1,0.0
0,0.9999999,31,0,0.495669554,1500.0,2,1,0,1,3.0
0,1.13672496,26,1,0.040937997,2515.0,2,1,0,1,0.0
1,0.944657955,45,2,0.481265612,1200.0,7,1,0,1,0.0
1,0.9999999,30,1,0.25916056,1500.0,1,1,0,1,0.0
0,0.9999999,30,0,0.467213115,1463.0,6,1,0,1,0.0
1,0.9999999,31,0,0.248629474,3100.0,2,1,0,1,3.0
0,0.627038401,31,0,0.216594469,3000.0,4,1,0,1,3.0
1,0.9999999,35,0,0.109922179,3083.0,3,1,0,1,2.0
1,0.425249169,38,1,0.273418735,2497.0,4,1,0,1,2.0
0,0.915343915,24,0,0.304678129,2500.0,5,1,0,1,2.0
0,0.9999999,27,0,0.035688794,1400.0,5,1,0,1,1.0
1,0.38902148,32,0,0.355293049,2200.0,7,1,0,1,1.0
0,0.994301994,32,1,0.156110045,3125.0,2,1,0,1,1.0
0,0.911813644,29,1,0.163579168,2860.0,5,1,0,1,1.0
0,0.9999999,28,2,0.186504217,3200.0,5,1,0,1,0.0
0,0.768463074,36,0,0.066838046,3500.0,6,1,0,1,3.0
1,0.9999999,39,0,0.06683322900000001,1600.0,2,1,0,1,2.0
0,0.870376541,30,1,0.28553577,3200.0,3,1,0,1,3.0
1,0.9999999,39,2,0.15421228,2100.0,5,1,0,1,0.0
1,0.265937382,23,1,0.046635576,1500.0,4,1,0,1,0.0
0,0.929642445,27,0,0.229481516,4300.0,6,1,0,1,2.0
0,1.206896552,45,0,0.016806723,1903.0,2,1,0,1,3.0
0,0.209580838,27,0,0.380309845,2000.0,3,1,0,1,2.0
1,0.9999999,33,0,0.14291003300000002,2700.0,1,1,0,1,2.0
1,0.9999999,34,1,0.382921044,2950.0,3,1,0,1,2.0
0,0.9999999,37,1,0.184945276,4476.0,2,1,0,1,3.0
0,0.9999999,36,0,0.208044383,2162.0,2,1,0,1,3.0
1,0.987093256,46,0,1.18579235,1280.0,5,1,1,1,2.0
0,0.9999999,27,1,0.079787234,2819.0,0,1,0,1,1.0
0,0.9999999,41,1,0.129558541,3125.0,3,1,0,1,3.0
0,1.095726068,32,2,0.816591704,2000.0,5,1,0,1,0.0
1,0.990033223,40,0,1.676789588,1382.0,2,1,1,1,2.0
1,0.9999999,28,1,0.154738105,2500.0,2,1,0,1,0.0
0,2.279503106,28,1,0.37099359,1247.0,2,1,0,1,2.0
0,0.787511231,48,2,1.554174067,1688.0,6,1,1,1,3.0
1,0.950166113,39,2,0.324193088,3500.0,6,1,0,1,3.0
0,0.048543389000000006,32,0,0.077175698,3044.0,10,1,0,1,2.0
0,0.208121827,36,0,0.442980463,2200.0,5,1,0,1,2.0
0,0.649350649,26,2,0.149845747,2268.0,3,1,0,1,0.0
0,0.8850690929999999,35,0,0.432118671,3100.0,7,1,0,1,3.0
1,0.9999999,28,1,0.737506575,1900.0,5,1,0,1,0.0
1,1.573705179,45,1,0.24986849,1900.0,3,1,0,1,0.0
0,0.908366534,35,2,0.23431427,1800.0,3,1,0,1,0.0
1,0.8323224020000001,48,1,1.030208796,2250.0,11,1,0,1,3.0
1,0.6901404720000001,44,0,0.73930405,1752.0,9,1,1,1,3.0
1,1.245901639,24,1,0.935587762,620.0,3,1,0,1,0.0
1,0.9999999,28,1,0.172331068,2500.0,1,1,0,1,1.0
