SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0
1,2.258964143,33,2,0.032483758,2000.0,1,1,0,0,2.0
1,2.837806547,64,2,0.411417144,11000.0,8,0,2,0,2.0
0,0.972037284,53,2,0.178454842,3675.0,9,1,0,1,0.0
0,0.9999999,36,0,1.018654231,1500.0,3,1,1,1,0.0
1,0.632279534,41,2,0.034482759,5625.0,4,1,0,1,2.0
1,0.902786641,33,2,0.399556049,900.0,7,1,0,1,0.0
1,0.915549026,60,2,0.486458333,6719.0,9,1,1,1,0.0
0,0.032786885,46,2,0.459135216,4000.0,14,1,2,1,1.0
1,0.946323172,49,1,0.8109404990000001,2083.0,4,1,1,1,1.0
0,1.003997335,63,2,1.21627566,1363.0,6,1,1,0,0.0
1,0.9999999,48,1,0.003845168,3900.0,0,1,0,1,2.0
1,1.178928247,40,2,0.096074128,4100.0,5,0,0,1,2.0
0,0.9999999,37,2,0.373195113,2700.0,3,1,0,0,3.0
1,1.074616922,27,0,0.13064133,2946.0,3,1,0,1,0.0
1,0.88384755,44,2,0.234001648,3640.0,7,1,0,0,3.0
1,0.978680879,47,1,0.751689189,2959.0,5,1,1,1,3.0
0,1.3023255809999998,54,2,0.17303660699999998,6200.0,3,1,0,1,1.0
0,0.739710048,28,2,1.042714329,3300.0,8,1,2,1,0.0
0,0.867806442,52,2,0.5936016,4000.0,7,1,2,0,2.0
1,5.299401198,27,0,0.059970015,2000.0,4,0,0,0,0.0
0,1.080209043,25,0,0.212950891,2300.0,4,1,0,1,0.0
1,1.037792442,62,2,0.538690476,2687.0,5,1,1,0,1.0
1,0.66001283,40,2,0.113179449,6714.0,11,1,0,1,0.0
1,0.9999999,56,2,0.23072905,13400.0,3,1,2,1,2.0
1,0.568810397,39,1,0.213306586,2990.0,3,1,0,1,2.0
1,0.55909606,48,2,0.384248577,6500.0,18,1,1,1,1.0
0,0.887571346,41,2,0.690563277,4100.0,10,1,0,1,3.0
1,1.3766233769999998,29,1,0.417024936,1162.0,4,1,0,1,0.0
0,0.9999999,49,2,0.636675236,3500.0,2,1,2,1,0.0
1,0.668998824,58,2,0.449503795,3425.0,9,1,1,1,1.0
0,1.5632730730000002,62,2,0.034167971,3833.0,5,0,0,1,0.0
0,0.9999999,34,2,0.102748691,4583.0,5,1,0,1,3.0
1,0.9999999,45,2,0.015681288,4718.0,4,1,0,0,1.0
