sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,69,Non-White,0,1,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,34,Non-White,0,3,0,0,0,-1,1,3,1,3,High,1,10,0
Male,24,Non-White,0,4,0,1,4,-1,1,3,1,2,Low,3,1,1
Male,44,Non-White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,41,White,0,6,0,0,14,-1,1,3,1,3,Low,2,6,18
Male,43,Non-White,0,4,0,0,3,-1,1,3,0,1,Low,3,1,0
Female,39,White,0,1,0,0,0,-1,1,2,0,1,Low,1,2,0
Male,20,White,0,10,0,1,0,-1,1,3,0,1,Low,9,33,0
Female,26,White,0,5,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,21,White,0,3,0,0,1,428,308,3,1,2,High,5,1,1
Male,27,White,0,4,0,0,0,-1,1,3,0,1,Low,4,1,0
Male,23,Non-White,0,6,0,0,3,0,0,2,1,2,Low,4,4,0
Female,37,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,22,White,0,3,0,0,0,0,0,2,0,1,Low,5,1,0
Male,41,Non-White,0,4,0,0,0,-1,1,3,0,1,Low,2,1,0
Female,47,White,0,1,0,0,1,-20,490,3,1,3,Low,1,14,169
Male,31,Non-White,0,3,0,0,7,22,71,3,1,2,Low,2,3,3
Male,37,Non-White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,25,Non-White,0,10,0,0,3,-1,1,3,0,1,Low,9,1,0
Male,31,White,0,5,0,0,6,-1,1,3,1,3,High,4,1,0
Male,31,White,0,3,0,0,5,-1,1,3,1,3,Low,2,1,34
Male,64,Non-White,0,6,0,0,13,-1,1,3,1,3,Low,3,1,1
Male,21,Non-White,0,9,0,0,1,-1,1,3,1,2,Low,9,3,1
Male,27,White,0,2,0,0,0,0,0,2,1,2,Low,3,1,0
Female,21,White,0,4,0,0,0,-2,2,3,0,1,Low,5,1,0
Male,24,Non-White,0,-1,0,0,2,0,0,3,1,2,Low,6,1,0
Male,24,Non-White,0,4,0,0,1,0,1,3,1,2,Low,5,1,0
Male,42,White,0,3,0,0,1,-132,133,3,0,1,Low,1,104,0
Male,43,White,0,1,0,0,1,-1,1,2,0,1,Low,2,1,0
Male,32,Non-White,0,3,0,0,0,-1,1,2,0,1,Low,4,1,0
Female,54,Non-White,0,9,0,0,0,-1,1,3,0,1,Low,5,110,0
Male,44,Non-White,0,6,0,0,8,0,4296,2,0,1,Low,4,1,0
Male,27,Non-White,0,3,0,0,8,-1,1,3,1,2,High,3,17,0
Female,36,White,0,3,0,0,3,53,95,3,0,1,Low,1,1,0
Male,26,Non-White,0,7,0,1,5,-1,1,3,1,2,Low,7,1,27
Male,33,Non-White,0,10,0,0,0,0,1,3,1,3,High,6,37,0
Male,30,White,0,9,0,0,9,0,0,3,1,3,Low,10,44,1
Male,32,Non-White,0,8,0,0,4,-1,1,3,1,2,Low,3,1,2
Male,63,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,27,Non-White,0,3,0,0,2,0,1,3,0,1,Low,3,1,0
Male,55,White,0,1,0,0,0,-1,1,3,0,1,Low,1,2,0
Male,32,Non-White,0,10,0,0,15,0,0,3,0,1,Low,8,92,0
Male,38,Non-White,0,3,0,2,5,-1,1,3,0,1,Low,4,165,0
Male,53,White,0,5,0,0,19,-1,1,3,0,1,Low,2,5,0
Male,49,Non-White,0,3,0,0,7,-1,0,3,1,2,Low,2,3,0
Male,26,White,0,8,0,2,6,81,382,2,0,1,Low,8,12,0
Female,33,White,0,5,0,0,4,-1,1,2,1,3,Low,2,11,1
Male,24,White,0,2,0,0,1,0,0,2,1,3,Low,3,1,3
Male,34,Non-White,2,9,1,3,21,0,0,3,1,2,Low,6,33,178
Male,29,White,0,2,0,0,0,0,1,2,0,1,Low,2,-1,0
Female,21,Non-White,0,8,0,0,2,-1,1,3,0,1,Low,8,79,0
Male,51,Non-White,0,1,0,0,2,-1,1,2,0,1,Low,1,1,0
Male,29,White,0,2,0,0,2,-1,1,2,1,2,Low,2,1,1
Male,25,Non-White,0,6,0,0,0,-1,1,3,0,1,Low,7,271,0
Female,51,Non-White,0,2,0,0,7,-1,1,3,0,1,Low,2,1,0
Male,28,White,0,7,0,0,8,0,0,3,0,1,Low,4,1,0
Male,36,Non-White,0,9,0,0,22,-1,1,2,0,1,Low,10,197,0
Male,29,Non-White,0,7,0,0,0,0,0,3,1,2,Low,2,1,36
Male,29,Non-White,0,1,0,0,0,-1,2,2,0,1,Low,2,1,0
Male,25,White,0,10,0,0,9,-1,1,2,1,3,High,9,6,9
Male,35,Non-White,1,8,0,4,13,-1,1,3,1,2,High,3,1,1
Male,49,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,34,Non-White,0,3,0,0,4,-59,59,2,1,2,Low,2,51,0
Male,29,Non-White,0,4,0,0,0,0,1,3,0,1,Low,3,1,0
Male,29,White,0,2,0,0,1,-24,24,3,1,2,Low,2,1,1
Female,28,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,2,1,0
Male,51,White,0,2,0,0,0,-1,1,3,0,1,Low,1,24,0
Male,25,White,0,3,0,0,0,0,0,3,0,1,Low,3,1,0
Male,48,White,0,6,0,0,20,302,562,3,1,2,Low,4,10,0
Male,33,White,0,9,0,0,1,0,0,3,0,1,Low,10,1,0
Female,63,Non-White,0,1,0,0,1,-219,219,3,0,1,Low,1,8,0
Male,30,Non-White,0,6,0,1,3,-1,1,3,0,1,Low,4,1,0
Male,31,Non-White,0,5,0,1,15,-1,1,3,1,2,Low,7,135,0
Male,24,Non-White,0,4,0,0,2,-1,1,3,1,2,Low,4,1,1
Male,27,Non-White,0,5,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,32,White,0,8,0,0,3,-1,1,3,0,1,Low,2,1,0
Male,30,Non-White,0,7,0,0,0,0,0,2,0,1,Low,3,23,0
Male,49,Non-White,0,1,0,0,4,-1,1,2,0,1,Low,1,1,0
Male,53,White,0,5,0,0,8,-13,13,3,0,1,Low,2,13,0
Female,31,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,35,Non-White,0,3,0,0,5,-1,1,3,0,1,Low,2,1,0
Male,63,Non-White,0,7,0,0,10,-38,906,2,1,2,Low,5,35,0
Male,33,Non-White,0,1,0,0,2,-1,1,3,0,1,Low,1,1,0
Male,27,Non-White,1,10,1,2,15,-1,1,3,1,2,Low,9,1,5
Male,38,White,0,2,0,0,4,-1,1,2,1,2,Low,2,1,0
Male,46,White,3,6,1,0,9,-1,1,3,0,1,Low,3,1,0
Male,22,Non-White,0,4,0,1,1,-1,1,3,1,2,Low,6,1,0
Female,34,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,22,Non-White,0,10,1,2,2,70,114,3,1,2,Low,9,124,89
Male,29,Non-White,0,9,0,0,4,-1,1,3,1,3,Low,5,18,0
Male,62,Non-White,0,1,0,0,0,0,1,2,0,1,Low,1,-1,0
Male,27,Non-White,0,6,1,0,6,0,0,3,1,3,Low,3,30,1
Male,33,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Female,56,Non-White,0,1,0,0,0,0,1,2,0,1,Low,1,3,0
Male,45,Non-White,0,1,0,0,6,-1,1,3,1,2,High,1,241,0
Male,22,Non-White,0,4,0,0,1,-1,1,3,0,1,Low,6,1,0
Female,31,White,0,3,0,0,2,-1,1,3,0,1,Low,2,1,0
Male,34,Non-White,0,4,0,0,0,0,0,3,0,1,Low,4,419,0
Male,39,Non-White,0,4,0,0,1,-1,1,2,0,1,Low,2,4,0
Male,24,Non-White,0,6,1,0,4,-1,1,2,0,1,Low,4,1,0
Male,29,Non-White,0,6,0,0,5,0,0,3,1,2,Low,3,1,1
Male,27,White,0,6,0,1,1,-1,1,3,1,3,Low,3,14,0
Female,24,Non-White,0,4,0,0,1,-325,325,2,0,1,Low,2,-1,0
Male,40,Non-White,0,2,0,0,2,-15,15,3,0,1,Low,1,3,0
Male,51,Non-White,0,1,0,0,1,-78,78,3,0,1,Low,1,55,0
Male,22,Non-White,0,3,0,0,1,0,1,2,1,2,Low,3,16,0
Male,22,White,0,8,0,0,0,-1,1,3,0,1,Low,6,57,0
Female,26,Non-White,0,4,0,0,1,-1,1,3,1,2,High,3,2,58
Male,27,White,0,7,0,0,1,-43,44,3,1,2,High,8,19,18
Male,32,White,0,1,0,0,3,-389,711,2,0,1,Low,3,69,0
Male,32,Non-White,0,2,0,0,0,-1,1,3,0,1,Low,1,1,0
Male,41,Non-White,0,2,0,0,1,-1,5185,2,0,1,Low,2,1,0
Male,50,White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Male,30,Non-White,0,10,0,0,8,-1,1,2,1,2,High,9,1,1
Male,66,Non-White,0,9,0,0,0,-1,1372,2,0,1,Low,3,1,0
Male,52,Non-White,0,5,0,0,3,-318,1,3,0,1,Low,1,9,0
Male,22,White,0,6,0,0,3,-5,7,3,0,1,Low,5,-1,0
Male,50,Non-White,0,1,0,0,0,-1,1,3,1,2,Low,2,1,2
Male,25,Non-White,1,10,6,1,14,-1,1,3,1,2,High,10,7,19
Male,20,Non-White,0,5,0,0,0,-1,1,3,1,3,High,8,1,423
Male,22,Non-White,1,9,0,0,2,0,0,3,1,2,Low,10,30,1
Male,23,Non-White,0,7,0,1,2,137,192,2,1,2,Low,8,1,0
Male,54,Non-White,0,6,0,0,6,-1,864,3,0,1,Low,5,105,0
Male,40,White,0,5,0,0,4,-1,1,3,0,1,Low,4,1,0
Male,25,Non-White,0,7,0,0,10,-181,138,3,0,1,Low,6,181,0
Female,35,Non-White,0,2,0,0,1,-1,1,2,0,1,Low,1,1,0
Male,36,Non-White,0,7,0,0,9,0,1,3,1,2,Low,6,3,1
Male,26,White,0,8,0,0,7,0,1,3,1,2,Low,4,1,1
Male,21,Non-White,0,6,0,0,1,0,1,3,1,2,Low,6,3,98
Male,30,White,0,5,0,1,6,-239,1,3,0,1,Low,4,10,0
Male,25,White,0,8,0,0,9,-1,1,3,1,2,High,9,1,0
Male,34,Non-White,0,3,0,0,3,-21,21,2,0,1,Low,2,16,0
Female,20,White,0,7,0,0,0,-1,1,3,0,1,Low,8,1,0
Male,39,White,0,1,0,0,2,-2,3,3,1,3,Low,1,-1,22
Male,66,White,0,1,0,0,3,-64,64,3,0,1,Low,1,30,0
Female,54,White,0,1,0,0,0,0,1,2,0,1,Low,1,1,0
Female,44,Non-White,0,1,0,0,0,-2,2,2,0,1,Low,1,1,0
Male,19,Non-White,0,4,0,0,1,-10,10,2,1,2,High,7,9,6
Male,24,Non-White,0,2,0,0,1,-137,137,3,0,1,Low,3,137,0
Male,30,Non-White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Female,39,White,0,1,0,0,0,-1,1,3,1,2,High,1,1,1
Female,32,Non-White,0,3,0,0,8,0,1,2,0,1,Low,1,1,0
Male,24,White,0,6,1,2,8,-1,0,3,1,3,Low,6,12,1
Male,30,White,0,4,0,0,0,-1,1,3,0,1,Low,2,5,0
Male,31,White,0,5,0,0,0,-1,1,2,0,1,Low,2,38,0
Female,39,White,0,4,0,0,1,-1,1,3,0,1,Low,3,106,0
Male,59,Non-White,0,9,0,0,14,178,265,3,1,3,High,4,109,110
Male,35,White,0,6,0,0,7,0,0,3,0,1,Low,3,1,0
Female,24,Non-White,0,3,0,0,0,-1,1,3,0,1,Low,4,16,0
Male,43,White,0,1,0,0,1,-30,30,3,0,1,Low,1,1,0
Male,21,Non-White,1,9,0,1,2,-1,1,3,0,1,Low,6,1,0
Female,21,Non-White,0,4,0,0,0,-1,1,2,0,1,Low,4,3,0
Male,21,Non-White,0,9,0,0,3,-1,1,3,1,2,Low,6,6,302
Male,27,Non-White,0,7,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,20,Non-White,0,8,0,0,0,0,0,3,0,1,Low,6,1,0
Male,38,White,0,4,0,0,5,-1,1,2,1,3,Low,3,2,1
Male,27,Non-White,0,9,0,0,3,-1,2,3,0,1,Low,4,207,0
Male,34,White,0,5,0,0,0,0,0,3,0,1,Low,5,14,0
Male,30,Non-White,0,3,0,0,3,0,0,3,0,1,Low,3,-1,0
Male,33,Non-White,0,5,0,0,5,0,1,3,1,2,Low,2,1,0
Male,37,Non-White,0,2,0,0,3,0,0,3,0,1,Low,1,1,0
Male,42,White,0,2,0,0,1,0,1,3,1,3,Low,2,1,36
Male,41,Non-White,0,9,1,0,10,0,0,3,1,2,Low,7,176,41
Male,22,Non-White,0,4,0,0,0,-1,1,3,1,3,Low,7,1,1
Male,33,Non-White,0,8,12,2,28,-1,1,3,1,2,Low,5,1,1
Male,44,White,0,1,0,0,0,-3,3,2,0,1,Low,1,1,0
Male,31,Non-White,0,7,0,0,1,-1,1,2,0,1,Low,8,1,0
Male,26,Non-White,0,8,0,0,9,0,0,3,0,1,Low,7,1,0
Female,30,Non-White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Male,31,White,0,10,0,0,13,-1,0,3,1,3,High,7,471,0
Male,27,Non-White,0,9,0,0,3,-1,1,3,1,3,Low,4,1,0
Female,31,White,0,2,0,0,1,-1,1,3,0,1,Low,2,1,0
Male,47,Non-White,0,1,0,0,2,-1,1,3,0,1,Low,1,1,0
Male,56,Non-White,0,9,0,0,8,67,79,3,0,1,Low,3,79,0
Male,33,Non-White,0,8,0,0,2,14,132,2,0,1,Low,8,13,0
Male,52,White,0,9,0,0,3,-2,2,2,0,1,Low,6,1,0
Male,33,Non-White,0,10,0,0,19,-1,1,3,1,2,Low,7,1,0
Male,61,White,0,4,0,0,0,-1,1,3,0,1,Low,1,15,0
Female,64,White,0,1,0,0,2,-47,48,2,0,1,Low,1,-1,0
Male,22,White,0,6,0,0,4,-36,36,3,1,2,Low,8,14,0
Male,42,White,0,3,0,0,6,-4,5,3,0,1,Low,1,-1,0
Female,25,White,0,4,0,0,2,-1,1,3,0,1,Low,5,3,0
Male,27,White,0,1,0,0,0,-1,1,3,0,1,Low,2,1,0
Male,30,White,0,2,0,0,1,-20,20,2,0,1,Low,2,3,0
Female,37,Non-White,0,2,0,0,2,-1,222,2,0,1,Low,1,1,0
Male,21,White,0,5,0,0,1,-1,1,3,0,1,Low,6,1,0
Male,28,White,0,2,0,0,0,-1,1,2,1,2,Low,3,1,1
Female,24,Non-White,0,2,0,0,0,-1,1,2,0,1,Low,3,2,0
Male,37,Non-White,0,8,0,0,13,-29,5,3,0,1,Low,7,29,0
Male,22,Non-White,0,9,0,0,0,-1,1,3,0,1,Low,8,7,0
Female,29,White,0,4,1,0,10,-1,1,3,1,3,Low,2,7,38
Female,25,White,0,3,0,0,0,-1,1,3,0,1,Low,3,1,0
Male,44,White,0,2,0,0,2,0,1,2,1,2,Low,1,-1,0
Female,30,Non-White,0,5,0,0,4,-35,36,3,1,2,High,5,1,32
Male,32,Non-White,0,7,0,0,3,-1,1,3,1,3,Low,3,8,0
Male,53,Non-White,0,4,0,0,1,-1,1,3,0,1,Low,1,1,0
Male,34,Non-White,0,2,0,0,1,0,0,2,0,1,Low,1,2,0
Male,31,White,0,3,0,0,2,-16,16,2,1,2,Low,3,15,0
Male,27,Non-White,0,10,0,0,5,20,78,3,0,1,Low,10,6,0
Male,31,Non-White,0,2,0,0,1,-1,1,2,1,2,Low,3,1,0
Male,59,White,0,2,0,0,1,-1,1,3,1,2,Low,1,1,7
Male,28,Non-White,0,10,0,0,15,0,1,3,0,1,Low,8,40,0
Male,23,White,0,3,0,0,0,-1,1,2,0,1,Low,3,1,0
Female,20,Non-White,1,10,0,0,1,0,0,3,0,1,Low,10,2,0
Male,42,Non-White,0,1,0,0,2,-41,41,3,0,1,Low,1,10,0
Female,43,White,0,1,0,0,0,0,0,2,0,1,Low,1,1,0
Male,38,Non-White,1,8,1,0,9,-1,1,3,1,2,Low,4,13,1
Male,32,Non-White,0,6,0,0,11,-2,2,3,1,3,High,5,1,36
Male,33,Non-White,0,5,0,0,8,-1,1,2,1,2,High,2,1,0
Male,55,Non-White,0,8,0,0,4,-1,1480,2,0,1,Low,3,16,0
Female,31,Non-White,0,3,0,0,0,-1,1,3,1,2,Low,2,1,37
Female,33,Non-White,0,9,0,0,7,-1,1,3,1,2,Low,9,26,19
Male,27,Non-White,0,9,0,0,2,-1,1,3,1,2,Low,8,1,1
Male,52,Non-White,0,1,0,0,0,-1,1,2,0,1,Low,1,1,0
Female,20,Non-White,0,6,0,0,0,0,1,3,0,1,Low,8,1,0
Female,26,White,0,6,0,0,0,-2,2,2,0,1,Low,3,1,0
Male,25,Non-White,0,10,0,0,4,-1,1,2,0,1,Low,10,262,0
Female,61,Non-White,0,1,0,0,1,-1,1,3,1,2,Low,1,1,0
Male,52,Non-White,0,7,0,0,13,-1,1,3,1,2,Low,6,1,1
Male,63,Non-White,0,1,0,0,1,-26,26,3,0,1,Low,1,14,0
Female,32,Non-White,0,10,0,0,4,-7,7,3,1,3,High,9,6,118
Male,29,Non-White,0,4,0,0,1,-1,1,3,0,1,Low,4,1,0
