,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,2.514485418940096,2.079107032774082,1.0,6,0,0.3616161616161616,0.99,0.11155540500000825
1,6.0,1.6095041190708013,1.107969786542674,1.0,6,0,,,
2,8.0,2.9149235999921435,2.175334972124319,1.0,9,0,,,
3,6.0,0.8269556982458239,0.16402827401424738,0.2666666666666666,5,0,,,
4,7.0,2.8540407470107323,2.1682947251806994,1.0,8,2,,,
5,7.0,2.3655342688649643,1.358777242161261,1.0,7,0,,,
6,8.0,2.561357486204617,2.0770725586259204,1.0,9,2,,,
7,6.0,1.936531128406812,1.1772149666044396,1.0,6,0,,,
8,9.0,3.710389966217031,3.1001363693357757,1.0,11,2,,,
9,7.0,1.8096688859876608,1.1327967953857152,1.0,7,2,,,
10,7.0,1.8883406147455395,1.1776276592346975,1.0,7,0,,,
11,9.0,3.673357773229584,3.1136202729864753,1.0,11,2,,,
12,8.0,2.8525020708760747,2.171712687588241,1.0,9,0,,,
13,7.0,2.9290803048125045,2.2152396084957067,1.0,8,0,,,
14,7.0,1.7805021245787462,1.1270300674102056,1.0,7,0,,,
15,7.0,2.6255220778940966,2.08637464152357,1.0,8,0,,,
16,6.0,1.7542982426270721,1.14047850445259,1.0,6,0,,,
17,7.0,2.668499117346519,2.1232513311132584,1.0,8,0,,,
18,8.0,3.069584953235143,2.261583272396164,1.0,9,2,,,
19,7.0,1.7578155429214208,1.1257093336681443,1.0,7,0,,,
20,8.0,2.7775420820139014,2.150269866467693,1.0,9,0,,,
21,8.0,2.6238029297561507,2.0953174257925413,1.0,9,2,,,
22,8.0,3.0638855066965616,2.276552433193102,1.0,9,0,,,
23,6.0,0.823850113730058,0.18668201047339367,0.30136986301369856,5,0,,,
24,5.0,0.6053594500215898,0.10728175094865544,0.20431588613406795,4,0,,,
25,8.0,2.732538132944706,2.1255255951539436,1.0,9,0,,,
26,6.0,1.6981514587701656,1.1384585502851992,1.0,6,0,,,
27,6.0,1.7965084344527218,1.1466919907089321,1.0,6,0,,,
28,7.0,2.64551503813519,2.1009836277115115,1.0,8,0,,,
29,9.0,3.528037495522737,3.0756359648032188,1.0,11,2,,,
30,8.0,3.8239109195941836,3.1767119875439556,1.0,10,0,,,
31,7.0,1.7743219304405509,1.138976357299174,1.0,7,0,,,
32,9.0,3.988136536891048,3.201529460906427,1.0,11,2,,,
33,8.0,2.9165426472409206,2.2180142612929172,1.0,9,2,,,
34,5.0,0.870126445242342,0.16191995470706516,0.22653226532265322,4,0,,,
35,8.0,2.6018197181051317,2.0803470697648705,1.0,9,0,,,
36,8.0,2.8767876460723385,2.1668786677582963,1.0,9,2,,,
37,8.0,2.9801982092992505,2.2143052940264667,1.0,9,0,,,
38,7.0,2.561059465613677,2.0929592612129118,1.0,8,2,,,
39,6.0,1.8016330501371873,1.1996704729725796,1.0,6,0,,,
40,6.0,1.603862984455932,1.1122880280780096,1.0,6,0,,,
41,8.0,2.87127807375276,2.16835911642728,1.0,9,2,,,
42,4.0,0.533530534838342,0.08777650986175839,0.22459224592245922,3,0,,,
43,8.0,2.7596289603491826,2.1423866359788333,1.0,9,2,,,
44,7.0,2.5239120422925136,2.0765406277057568,1.0,8,2,,,
45,8.0,3.5674583719301203,3.106287586406922,1.0,10,2,,,
46,5.0,0.7637180778322663,0.13350488913742423,0.2169821698216982,4,0,,,
47,6.0,0.6672858699969708,0.11297021555343013,0.2157721577215772,5,0,,,
48,6.0,1.6347515903108032,1.1142186819632027,1.0,6,0,,,
49,7.0,1.6760561587066483,1.1219428317747138,1.0,7,0,,,
50,8.0,3.6008091044604122,3.112047260426196,1.0,10,0,,,
51,7.0,2.9188091838611556,2.1977590262150475,1.0,8,2,,,
52,8.0,3.653378207528789,3.1177402733443085,1.0,10,0,,,
53,7.0,2.649729692837583,2.1217677377068505,1.0,8,0,,,
54,7.0,2.969273866248562,2.2712964192750698,1.0,8,0,,,
55,6.0,1.678527736939939,1.1280782580562294,1.0,6,0,,,
56,6.0,2.5766948688445033,2.0941392162991055,1.0,7,2,,,
57,9.0,3.7534567745111995,3.122823204383429,1.0,11,0,,,
58,7.0,1.7163647189625382,1.1257665418389373,1.0,7,0,,,
59,5.0,0.7124015359268915,0.15757153870200064,0.29338842975206614,4,0,,,
60,8.0,2.7735445495282653,2.1271435393742575,1.0,9,0,,,
61,7.0,1.7008591471094598,1.1152565601786737,1.0,7,2,,,
62,9.0,4.055432634856388,3.2256534235766097,1.0,11,2,,,
63,6.0,1.8294323477490768,1.1674943489706986,1.0,6,0,,,
64,6.0,1.509818193866657,1.0852718878246066,1.0,6,0,,,
65,8.0,3.180379581761014,2.28953391695921,1.0,9,2,,,
66,9.0,4.293820848582204,3.34657448641011,1.0,11,0,,,
67,8.0,4.030597588390608,3.2818744758139426,1.0,10,1,,,
68,8.0,3.0245812775864946,2.250176732415733,1.0,9,0,,,
69,7.0,1.708967053847101,1.138387080022283,1.0,7,0,,,
