,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,4.0,0.6486170802369096,0.17431315538649708,0.35616438356164376,0,1,0.42999999999999994,1.0,26.525422689999996
1,4.0,0.16504401335609414,0.007141586617752927,0.05102040816326525,1,1,,,
2,8.0,3.6274370934884916,3.0959872814655918,1.0,7,1,,,
3,6.0,1.6485955144923266,1.1059922787097483,1.0,0,1,,,
4,6.0,2.525151900057259,2.077098732988391,1.0,0,2,,,
5,9.0,5.294867711143193,4.533062259883444,1.0,7,1,,,
6,8.0,3.4210275777688133,3.079527175964579,1.0,4,2,,,
7,5.0,2.361979522437746,1.5699565260259334,1.0,3,2,,,
8,9.0,4.492235090520578,4.079423551374327,1.0,8,2,,,
9,8.0,4.4937045831924385,4.084779227659516,1.0,6,2,,,
10,6.0,1.376573987298423,1.0422147684188794,1.0,4,1,,,
11,6.0,1.428974071576891,1.0572220772739864,1.0,0,1,,,
12,9.0,5.105282064547123,4.349154784567836,1.0,7,2,,,
13,8.0,4.623912219572057,4.1273475809663225,1.0,4,1,,,
14,10.0,5.897471336613806,5.317531540840364,1.0,8,1,,,
15,4.0,0.42195314839275117,0.05837588940085605,0.20000000000000007,0,1,,,
16,7.0,2.482728165738938,2.0517269894275465,1.0,0,2,,,
17,8.0,3.9428795972101724,3.3081075824933093,1.0,0,2,,,
18,7.0,3.620920488265772,3.1330110707245034,1.0,5,1,,,
19,9.0,4.675532551138401,4.144189598020419,1.0,0,2,,,
20,10.0,5.506990292583451,5.056409831324684,1.0,8,2,,,
21,9.0,5.844930011509051,5.28105654129921,1.0,3,1,,,
22,5.0,2.1480835307076784,1.5353304727153179,1.0,0,2,,,
23,7.0,2.5113745219333814,2.082096722293671,1.0,0,2,,,
24,8.0,3.65527055941393,3.094987897696166,1.0,0,1,,,
25,4.0,0.7254798958287387,0.1520902351126523,0.2602739726027396,0,1,,,
26,9.0,4.595437392575235,4.084902774253289,1.0,5,2,,,
27,8.0,3.835327967843366,3.335122094189687,1.0,0,1,,,
28,9.0,4.793332136901127,4.240832257180486,1.0,0,2,,,
29,9.0,4.6886995819241175,4.143623145065204,1.0,0,2,,,
30,9.0,4.540238003933435,4.080690725044607,1.0,0,2,,,
31,6.0,1.5204281899293384,1.0904106882191333,1.0,0,2,,,
32,7.0,2.968588841617278,2.2256855134827864,1.0,6,2,,,
33,6.0,3.331899009826574,3.0422402014318037,1.0,0,1,,,
34,11.0,6.113492126815109,5.359194487193418,1.0,0,2,,,
35,8.0,3.8389780589624287,3.2170473367721795,1.0,5,1,,,
36,5.0,0.9409410578271551,0.4903499409175917,0.6849315068493149,2,1,,,
37,6.0,2.497656290072138,2.1112491348522706,1.0,3,1,,,
38,5.0,2.2866422032794755,2.061859126025583,1.0,0,1,,,
39,4.0,1.3701650524888982,1.0544803126909141,1.0,0,1,,,
40,5.0,2.0522629235995007,2.0012072935273832,1.0,0,1,,,
41,11.0,6.820116408208568,6.19189826462417,1.0,9,2,,,
42,5.0,2.211147908261539,2.022950887676256,1.0,0,2,,,
43,6.0,4.418486233852526,4.118362127577942,1.0,4,1,,,
44,9.0,5.213663168382826,4.387741105522408,1.0,7,1,,,
45,5.0,1.4917393659042564,1.0668558551396503,1.0,0,1,,,
46,7.0,3.3333078983669933,3.039952731695923,1.0,6,2,,,
