,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,5.0,0.2644286376999932,0.06992249273230318,0.26442861557006836,4,0,0.16799999999999993,1.0,4.958948019
1,4.0,0.06500164119722174,0.004225208904942072,0.06500160694122314,3,0,,,
2,5.0,0.035443458929166366,0.0012562363883863135,0.03544342517852783,0,0,,,
3,5.0,0.32292905227375185,0.10428315499133611,0.3229290246963501,4,0,,,
4,5.0,0.25919453388199615,0.06718178535381086,0.2591944932937622,4,0,,,
5,5.0,0.19365456043431667,0.037502079778505865,0.19365453720092773,4,0,,,
6,5.0,0.20948032126972443,0.04388199007371522,0.20948028564453125,4,0,,,
7,5.0,0.2947000597884619,0.08684810562626016,0.294700026512146,4,0,,,
8,5.0,0.05325906347104713,0.0028365226876455466,0.05325901508331299,4,0,,,
9,5.0,0.4653159722615541,0.21651892215301494,0.46531593799591064,4,0,,,
10,5.0,0.47099416508311376,0.22183545624763296,0.47099411487579346,4,0,,,
11,5.0,0.1446299775345298,0.020917823967693226,0.14462995529174805,4,0,,,
12,5.0,0.274939811804123,0.07559188013380062,0.27493977546691895,4,0,,,
13,5.0,0.21044771786109734,0.04428822139983995,0.21044766902923584,4,0,,,
14,5.0,0.05843354195012308,0.003414470779721984,0.058433473110198975,4,0,,,
15,5.0,0.16762749527285797,0.02809896326881828,0.1676274538040161,4,0,,,
16,4.0,0.2166218967933261,0.046925037059054556,0.21662187576293945,0,0,,,
17,4.0,0.17911256833720607,0.032081306855858006,0.17911255359649658,3,0,,,
18,5.0,0.07799426718067762,0.006083099509184106,0.07799422740936279,0,0,,,
19,5.0,0.20893160572011563,0.04365239897232787,0.208931565284729,4,0,,,
20,4.0,0.3516100756038027,0.12362963746228678,0.35161006450653076,3,0,,,
21,4.0,0.30006268269351183,0.09003759776737777,0.3000626564025879,3,0,,,
22,5.0,0.2891066496742521,0.08358263046380988,0.2891066074371338,4,0,,,
23,5.0,0.017861166177078933,0.0003190198881958076,0.017861127853393555,0,0,,,
24,5.0,0.08151179278679438,0.006644163092063229,0.0815117359161377,4,0,,,
25,5.0,0.12775637606541645,0.016321686803223816,0.12775635719299316,4,0,,,
26,5.0,0.26417544188784625,0.0697886499110615,0.2641754150390625,4,0,,,
27,5.0,0.027461391032950477,0.0007541257418536211,0.027461349964141846,4,0,,,
28,5.0,0.161950497595272,0.026227954414835903,0.1619504690170288,4,0,,,
29,5.0,0.285532741294523,0.08152893015682161,0.28553271293640137,4,0,,,
30,4.0,0.14180247117041944,0.020107929197267026,0.14180243015289307,0,0,,,
31,5.0,0.28974023210443345,0.08394938628397655,0.2897402048110962,4,0,,,
32,5.0,0.2460126253575674,0.06052218384708505,0.24601256847381592,4,0,,,
