,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,7.0,1.947659502691808,1.213834457011912,1.0,4,0,0.7526315789473684,0.38,1.264195134
1,8.0,2.875361506696579,2.1637664244192933,1.0,6,0,,,
2,7.0,2.6511329186533477,1.6295435013308839,1.0,5,0,,,
3,8.0,2.89898948061743,2.209735295206235,1.0,10,2,,,
4,7.0,1.7150843774082218,1.1355640058188385,1.0,5,0,,,
5,9.0,3.690765990633655,3.1210823099600713,1.0,9,0,,,
6,7.0,2.21850633731262,1.3715991264870866,1.0,6,0,,,
7,9.0,4.563438194413861,3.650587577627309,1.0,7,2,,,
8,8.0,3.036799305480957,2.2151877022713786,1.0,5,0,,,
9,8.0,3.229382421066829,2.3270610144052686,1.0,6,0,,,
10,7.0,1.6415911076396097,1.138240619774744,1.0,4,0,,,
11,7.0,1.6531057373005646,1.1036783431445045,1.0,1,0,,,
12,8.0,2.7218250534420307,2.1523414372579106,1.0,7,2,,,
13,7.0,1.662215515252574,1.135365056144619,1.0,6,0,,,
14,9.0,4.041866658657548,3.466592921568315,1.0,6,0,,,
15,9.0,3.7659331690927504,3.2130361888230023,1.0,7,0,,,
16,7.0,2.36135071010009,1.4619040492534752,1.0,6,0,,,
17,7.0,1.708278854246008,1.1425141567554395,1.0,6,0,,,
18,8.0,3.5667947449852013,2.5323639649505285,1.0,10,2,,,
19,9.0,3.7124673932543972,3.1503926751455107,1.0,7,0,,,
20,8.0,3.4055348929571183,2.4238533820132635,1.0,10,2,,,
21,9.0,3.7712517936408276,3.2130137727382673,1.0,9,0,,,
22,7.0,2.198382258172295,1.3479881551987083,1.0,6,0,,,
23,7.0,1.5840523034749683,1.0937041598166213,1.0,5,0,,,
24,7.0,1.5820033661397401,1.0744373319692473,1.0,4,0,,,
25,8.0,2.6095205806657162,2.1344883201846194,1.0,6,0,,,
26,7.0,1.518426067525872,1.0851272117442232,1.0,6,0,,,
27,8.0,2.949608874962749,2.2215533966575656,1.0,6,2,,,
28,8.0,2.542705522923296,2.0773899983250357,1.0,7,0,,,
29,9.0,3.824532264824039,3.1841632337864656,1.0,6,0,,,
30,8.0,3.161246146292936,2.3173872521271273,1.0,5,2,,,
31,8.0,2.5474484053924265,2.1069756395779096,1.0,6,0,,,
32,10.0,4.869041325365625,4.308382984260833,1.0,7,2,,,
33,7.0,2.008353968654093,1.2911591465715215,1.0,6,0,,,
34,7.0,2.1617949629228423,1.3329304853159614,1.0,6,0,,,
35,8.0,2.928948588238513,2.209619896498088,1.0,6,2,,,
36,8.0,2.9677481211419665,2.261512029148508,1.0,5,2,,,
37,8.0,3.120907101578632,2.418192478928524,1.0,6,2,,,
