,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,3.106895864206579,3.004424232148985,1.0,8,0,0.69,1.0,30.626555770250196
1,9.0,4.175923210830416,4.009294284349611,1.0,9,0,,,
2,9.0,4.257378699697056,4.02301673519505,1.0,9,0,,,
3,10.0,5.268690047382426,5.01865014380371,1.0,10,0,,,
4,7.0,2.4165793141324348,2.132917017802135,1.0,6,0,,,
5,8.0,3.5542148559469626,3.134776526385055,1.0,8,0,,,
6,9.0,4.368813509970701,4.081118570683881,1.0,9,0,,,
7,10.0,5.642989190588263,5.152217793000555,1.0,10,0,,,
8,11.0,6.464527254096403,6.083885011629459,1.0,11,0,,,
9,11.0,6.552545548316446,6.202529764935717,1.0,11,0,,,
10,8.0,3.1391903389614573,3.00702773648161,1.0,8,0,,,
11,8.0,3.4780330596357,3.099728234128221,1.0,8,0,,,
12,9.0,4.12395626140753,4.007080276967431,1.0,9,0,,,
13,9.0,4.502200387810902,4.100245917882192,1.0,9,0,,,
14,9.0,4.4891138648593865,4.128761655375356,1.0,9,0,,,
15,9.0,4.641068685424945,4.1914487478279625,1.0,9,0,,,
16,9.0,4.20053047419066,4.01354023598602,1.0,9,0,,,
17,10.0,5.400480176342887,5.071887908943019,1.0,10,0,,,
18,10.0,5.627693456442394,5.213259034431289,1.0,10,0,,,
19,9.0,4.336343178598144,4.041421243775143,1.0,9,0,,,
20,11.0,6.32372721765244,6.047660437667026,1.0,11,0,,,
21,11.0,6.483240279695224,6.144238780479104,1.0,11,0,,,
22,9.0,4.512963279529574,4.136658960189688,1.0,9,0,,,
23,10.0,6.009301285914659,5.405177461216554,1.0,10,0,,,
24,10.0,5.609794423683255,5.202643977007067,1.0,10,0,,,
25,10.0,5.181498640362896,5.0109142657559484,1.0,10,0,,,
26,9.0,4.677043407404101,4.284855961418264,1.0,9,0,,,
27,11.0,6.500878191395272,6.133149357908672,1.0,11,0,,,
28,10.0,5.230521382868222,5.017837263471847,1.0,10,0,,,
29,10.0,5.454751497453563,5.054305667332658,1.0,10,0,,,
30,10.0,5.1794700092126,5.010885342502506,1.0,10,0,,,
31,9.0,4.376132193445667,4.042019507275493,1.0,9,0,,,
32,10.0,5.298363616060154,5.030952005365638,1.0,10,0,,,
33,10.0,5.163395043367166,5.009686053113903,1.0,10,0,,,
34,10.0,5.399164584806204,5.061413325243173,1.0,10,0,,,
35,9.0,4.584241468747521,4.255193991880432,1.0,9,0,,,
36,8.0,3.1057784392976755,3.0059651689207336,1.0,8,0,,,
37,10.0,5.176974788099577,5.010905663878383,1.0,10,0,,,
38,10.0,5.598454502707675,5.142899162910577,1.0,10,0,,,
39,10.0,5.230464766893668,5.0158593883492335,1.0,10,0,,,
40,11.0,6.201102314199113,6.023494195688938,1.0,11,0,,,
