,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,1.835493524381578,1.1188281244373537,1.0,9,0,0.998,1.0,42.18108152500703
1,13.0,1.9353087974289485,1.1803647706810623,1.0,12,0,,,
2,12.0,0.2904578003750004,0.039282187473730745,0.18125,11,0,,,
3,13.0,1.682701311233053,1.112888378332126,1.0,11,0,,,
4,13.0,2.3530010440485953,1.4930842255646433,1.0,13,0,,,
5,13.0,1.3766039646430666,1.0417738139371278,1.0,11,0,,,
6,13.0,1.4389980200962804,1.0503976327685334,1.0,13,0,,,
7,13.0,1.6799516749333805,1.111922277384421,1.0,11,0,,,
8,13.0,1.8456347881771689,1.1769552339212301,1.0,13,0,,,
9,14.0,2.714411202217563,2.102172488141991,1.0,0,0,,,
10,13.0,1.9475895596245356,1.1740605025333297,1.0,12,0,,,
11,13.0,1.5422054825106595,1.0674866905179012,1.0,11,0,,,
12,13.0,1.690852459976028,1.0822604701743446,1.0,12,0,,,
13,13.0,1.5639693652895632,1.0977982441072993,1.0,12,0,,,
14,12.0,0.7481471136310196,0.12531420546572714,0.19840335845947266,11,0,,,
15,14.0,3.354372859022681,2.4676918827225767,1.0,0,0,,,
16,14.0,3.981425728709719,2.9769327403636066,1.0,13,0,,,
17,13.0,1.6640906400722393,1.106278505311174,1.0,11,0,,,
18,13.0,3.656493808338106,2.562133558133262,1.0,12,0,,,
19,13.0,1.8849073852362686,1.160326404107064,1.0,0,0,,,
20,14.0,3.8555592733034802,2.8151144037376326,1.0,0,0,,,
21,14.0,2.878232143222175,2.1314341173775846,1.0,0,0,,,
22,13.0,2.570312418931593,1.7670120111319674,1.0,12,0,,,
23,13.0,2.8421041226135246,1.6899312868725875,1.0,13,0,,,
24,13.0,1.4911141534421328,1.0898749510333652,1.0,12,0,,,
25,14.0,3.405013966983006,2.512818129836297,1.0,0,0,,,
26,13.0,1.8940101383473888,1.1949308068151148,1.0,12,0,,,
27,13.0,1.6418959566196512,1.0863598470096143,1.0,0,0,,,
28,13.0,1.6610410381180816,1.11026623313263,1.0,13,0,,,
29,12.0,2.306217468132766,1.22787212513315,0.7345841526985168,11,0,,,
30,12.0,0.5209812202693151,0.07456834832325965,0.18046832084655762,11,0,,,
31,13.0,1.6660304451715604,1.107493946404373,1.0,12,0,,,
32,12.0,0.6573902594718284,0.10574159525416375,0.2339415333487771,11,0,,,
33,13.0,1.8186295576615426,1.1373188483393137,1.0,11,0,,,
34,13.0,1.4356617308051867,1.0523669121067238,1.0,13,0,,,
35,13.0,2.2314443768880508,1.510488696108862,1.0,12,0,,,
36,13.0,1.9285845478196502,1.1315057240194368,1.0,0,0,,,
37,14.0,2.9413303500749626,2.183970970566889,1.0,0,0,,,
38,13.0,1.6866158957564772,1.1516157844081543,1.0,12,0,,,
39,12.0,1.0339266487455312,0.30308650854255426,0.45961795069954614,11,0,,,
40,13.0,1.848366443475309,1.19331019771341,1.0,12,0,,,
41,13.0,1.7420314670124273,1.119121044624491,1.0,10,0,,,
