,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,11.0,3.517484340767291,2.6097719345519947,1.0,10,2,1.0,0.4,5.975929914000003
1,5.0,1.6351981351981353,0.6733431680984129,0.5,4,1,,,
2,6.0,2.6223776223776225,1.654677490341826,1.0,5,2,,,
3,8.0,2.727183872270771,2.2673204163290084,1.0,7,2,,,
4,9.0,2.474335560846911,1.4768653221190589,1.0,8,2,,,
5,10.0,3.338584380404444,2.4411210334976796,1.0,9,2,,,
6,6.0,1.2606408882916782,0.5328005400389341,0.5,5,1,,,
7,9.0,2.2293775668506433,0.8515540310562276,0.5,8,1,,,
8,10.0,3.5901167669661476,2.3136876897335528,1.0,9,1,,,
9,6.0,2.592372743535534,1.3424118467394552,0.6363636363636364,5,1,,,
10,9.0,3.4114991673914945,2.248651050313063,1.0,8,1,,,
11,13.0,4.523002311588951,3.147197232030847,1.0,12,2,,,
12,6.0,2.9638694638694636,2.346081851326607,1.0,5,2,,,
13,9.0,3.3205526054100263,2.489331156121383,1.0,8,2,,,
14,7.0,2.184284332027951,1.5242522172930593,1.0,6,2,,,
15,6.0,1.071317711433884,0.35908133898413785,0.5,5,1,,,
16,7.0,1.783655597320847,1.2914271043558507,1.0,6,1,,,
17,7.0,2.786152380469188,2.291487045133587,1.0,6,2,,,
18,6.0,0.7465131090794297,0.3093387615015392,0.5,5,1,,,
19,6.0,2.751748251748252,1.752983030955059,1.0,5,2,,,
20,7.0,1.3538026683374458,0.5255234145851994,0.5,6,1,,,
21,6.0,2.4584111507009787,1.5572169219124903,1.0,5,2,,,
22,9.0,2.7891667620970093,1.6974748215678728,1.0,8,1,,,
23,6.0,2.414918414918415,1.5687455512630337,1.0,5,2,,,
24,8.0,2.7419812108210877,2.142560301467591,1.0,7,1,,,
25,10.0,3.0233494411350397,1.7233645429350564,1.0,9,2,,,
26,9.0,2.6635228653722343,2.2594797314240402,1.0,8,2,,,
27,12.0,4.6110432107832295,3.625804927707776,1.0,11,2,,,
28,8.0,2.435170407103853,1.1575807920601064,0.6363636363636365,7,1,,,
29,10.0,2.6113055642709972,1.6751471224432257,1.0,9,1,,,
30,7.0,2.5149696255130536,1.579013528514175,1.0,6,1,,,
31,9.0,2.089207919534615,1.4160433706865156,1.0,8,1,,,
32,8.0,2.9138030885904533,1.948891613409829,1.0,7,2,,,
33,9.0,3.3832791239767985,2.1393120985245346,1.0,8,2,,,
34,3.0,1.0256410256410255,0.5006574621959237,0.5,2,1,,,
35,9.0,4.039111463375206,2.92526268347935,1.0,8,2,,,
36,8.0,2.456615098399176,1.640498092983679,1.0,7,0,,,
37,9.0,1.8096876684194263,0.8890497053195624,0.7272727272727273,8,1,,,
38,9.0,1.894077980253123,1.292903727178179,1.0,8,1,,,
39,8.0,3.833958933630096,2.969457188764873,1.0,7,1,,,
