,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,5.0,0.7844163969554797,0.2893691515407257,0.5,4,1,1.0,0.99,5.503020850000001
1,8.0,1.593347558002773,0.6235825153100869,0.5,7,1,,,
2,9.0,3.5378132188797298,2.612470340162825,1.0,8,2,,,
3,10.0,3.841094090296064,2.649129997469163,1.0,9,2,,,
4,9.0,3.959598735594982,2.801507496832652,1.0,8,2,,,
5,6.0,2.4149184149184153,1.568745551263034,1.0,5,2,,,
6,5.0,1.245920745920746,0.520638064344358,0.5,4,1,,,
7,7.0,1.776933800770904,0.7185440707185946,0.5,6,1,,,
8,10.0,2.9603539119748885,1.857713743699814,1.0,9,1,,,
9,8.0,1.229233952413379,0.518483931455624,0.5,7,1,,,
10,9.0,2.3914758603121973,1.548341474933045,1.0,8,1,,,
11,9.0,3.836265941498394,2.7598467788011156,1.0,8,1,,,
12,9.0,2.9559112942831747,1.7941032851431868,1.0,8,2,,,
13,7.0,1.3491281002504891,0.5425697029541933,0.5,6,1,,,
14,9.0,2.5112778482309634,1.5803109335377092,1.0,8,1,,,
15,6.0,1.337455437126599,0.4868419019537815,0.5,5,1,,,
16,11.0,3.774363261118359,2.6906815989683386,1.0,10,2,,,
17,10.0,3.1808181459152216,1.816467363118742,1.0,9,1,,,
18,11.0,3.88931141301763,2.769342096073443,1.0,10,2,,,
19,6.0,1.9295842385577262,0.8324549152249885,0.5,5,1,,,
20,6.0,1.2064304458024913,0.4584721215913438,0.5,5,1,,,
21,11.0,3.422495908716683,2.0646597964124953,1.0,10,1,,,
22,10.0,4.2497395654653864,2.8557875894763494,1.0,9,1,,,
23,8.0,1.4373473514602642,0.49656435155221673,0.5,7,1,,,
24,11.0,2.969564468656394,1.391792857901865,0.6363636363636365,10,1,,,
25,8.0,2.507797465337068,1.6438185374654721,1.0,7,1,,,
26,7.0,1.7536373354264723,0.8574145180142158,0.5454545454545455,6,1,,,
27,9.0,3.5928867627414443,2.1292168411637884,1.0,8,1,,,
