,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,1.835493524381578,1.1188281244373537,1.0,9,0,0.962,1.0,8.514659908239992
1,13.0,1.9353087974289485,1.1803647706810623,1.0,12,0,,,
2,13.0,1.730421381734696,1.108358263288188,1.0,10,0,,,
3,13.0,1.8452067877116256,1.14027945285738,1.0,0,0,,,
4,12.0,1.791343329645411,0.7500137532736417,0.5853981673717499,11,0,,,
5,12.0,0.6842329614631754,0.12154702970029455,0.23669856786727905,10,0,,,
6,12.0,0.6831039004795175,0.10762519608768266,0.23696905374526978,8,0,,,
7,13.0,1.8429856432179041,1.1401571338161571,1.0,0,0,,,
8,13.0,1.7485326497816112,1.14065146049951,1.0,0,0,,,
9,14.0,2.714411202217563,2.102172488141991,1.0,0,0,,,
10,13.0,1.9475895596245356,1.1740605025333297,1.0,12,0,,,
11,12.0,0.774717375476248,0.1360496379097032,0.2346954345703125,11,0,,,
12,12.0,0.8295408812254151,0.13032732063439573,0.23246479034423828,6,0,,,
13,12.0,0.7433062825591601,0.12198369388550191,0.27130770683288574,7,0,,,
14,12.0,0.8510211547757336,0.1485889510605011,0.2905711531639099,12,0,,,
15,14.0,3.354372859022681,2.4676918827225767,1.0,0,0,,,
16,12.0,1.5309050121491323,0.46795132103109105,0.45292564406849883,11,0,,,
17,12.0,0.6528394567896465,0.11399412677622528,0.2378321886062622,0,0,,,
18,13.0,1.980382372447908,1.235483891804788,1.0,12,0,,,
19,13.0,1.8849073852362686,1.160326404107064,1.0,0,0,,,
20,14.0,3.8555592733034802,2.8151144037376326,1.0,0,0,,,
21,14.0,2.878232143222175,2.1314341173775846,1.0,0,0,,,
22,13.0,1.9808661067424906,1.223813811837871,1.0,0,0,,,
23,13.0,2.6129914365319644,1.5382845937514418,1.0,0,0,,,
24,13.0,1.6815489508250383,1.1073622374995669,1.0,0,0,,,
25,14.0,3.405013966983006,2.512818129836297,1.0,0,0,,,
26,13.0,1.8940101383473888,1.1949308068151148,1.0,12,0,,,
27,13.0,1.6418959566196512,1.0863598470096143,1.0,0,0,,,
28,12.0,0.9518741047421901,0.22129757919823026,0.34556112506172876,8,0,,,
29,12.0,2.3276963058201297,1.1157645499942417,0.6963944435119629,11,0,,,
30,12.0,0.8513392540813663,0.14960879656462894,0.29241394996643066,12,0,,,
31,12.0,0.8624867332676478,0.13886358318989092,0.2729753255844116,8,0,,,
32,13.0,1.6239275584256705,1.0890499388131796,1.0,0,0,,,
33,13.0,1.8186295576615426,1.1373188483393137,1.0,11,0,,,
34,12.0,0.5356174730865676,0.09225073633655109,0.23762238025665283,9,0,,,
35,12.0,1.656543598821675,0.7560003662864014,0.6350641250610352,11,0,,,
36,13.0,1.9285845478196502,1.1315057240194368,1.0,0,0,,,
37,14.0,2.9413303500749626,2.183970970566889,1.0,0,0,,,
38,12.0,0.9669263916459729,0.2790255386469575,0.428081517869776,11,0,,,
39,13.0,2.1064417580879295,1.284305772121863,1.0,10,0,,,
40,13.0,1.848366443475309,1.19331019771341,1.0,12,0,,,
41,13.0,1.7420314670124273,1.119121044624491,1.0,10,0,,,
42,12.0,0.93134545237726,0.16033738630313388,0.290863037109375,11,0,,,
43,13.0,1.6092235843924116,1.0852303507903678,1.0,10,0,,,
44,12.0,1.002760615696746,0.18380630040435322,0.24604327570308338,6,0,,,
45,13.0,1.8400762212971278,1.1401196703789462,1.0,0,0,,,
46,13.0,1.9764295739922495,1.232668351957874,1.0,12,0,,,
47,13.0,1.9519383207053542,1.1711558245628453,1.0,12,0,,,
