,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,0.8608820683335927,0.380235849565054,0.5,6,0,0.498,1.0,4.918562314
1,7.0,0.6972326251387425,0.2511605463096347,0.4122319221496582,5,0,,,
2,9.0,0.5881624652154882,0.18036983498021233,0.35491836071014404,7,0,,,
3,8.0,0.7344030432514563,0.2909112429452566,0.4702484607696533,6,0,,,
4,8.0,0.28055623737189694,0.04497411301454768,0.19327914714813232,6,0,,,
5,8.0,0.5847363801167285,0.17833939575362523,0.35311806201934814,6,0,,,
6,8.0,0.5511197173271147,0.15904092799372946,0.3354533910751343,6,0,,,
7,7.0,0.7225326415266575,0.26928544337535254,0.42552649974823,5,0,,,
8,7.0,0.5739263577150265,0.18447923432729896,0.38642048835754395,5,0,,,
9,8.0,0.6390382435357378,0.21190599598107032,0.3816523551940918,6,0,,,
10,8.0,0.05203597195919843,0.0027077381502410816,0.052035931338265506,7,0,,,
11,7.0,0.6952657815184178,0.249778419454998,0.4111984968185425,5,0,,,
12,8.0,0.24666509766796268,0.03585850612710295,0.175470232963562,6,0,,,
13,6.0,0.0925812323994677,0.00857128091178457,0.09258121252059937,5,0,,,
14,8.0,0.5748294997093987,0.1725343684222628,0.3479123115539551,6,0,,,
15,6.0,0.20687128535014068,0.04279572282035829,0.20687127113342285,5,0,,,
16,8.0,0.05196670027357939,0.002700534497308129,0.05196666717529297,7,0,,,
17,9.0,0.6899420387695199,0.24605671592645745,0.4084010124206543,7,0,,,
18,9.0,0.6620128442948165,0.22699770707760109,0.3937249183654785,7,0,,,
19,8.0,0.5656299921809933,0.1672319214762869,0.3430781364440918,6,0,,,
20,8.0,0.5498475341527884,0.15833283585802,0.3347848653793335,6,0,,,
21,9.0,0.5674739337027594,0.16828795820416131,0.3440471887588501,7,0,,,
22,9.0,0.6747882714971658,0.25064836654161166,0.4445827007293701,7,0,,,
23,8.0,0.8135870894215327,0.3398276884872901,0.47337329387664795,6,0,,,
