,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,9.0,3.2438108101403844,1.6287784276213997,0.7979838709514503,8,1,1.0,1.0,0.3899726540000006
1,9.0,4.2343314064667,2.8871602707398614,1.0,8,1,,,
2,10.0,4.365866182194692,2.378839398084367,0.7892005609928177,9,1,,,
3,10.0,4.823570467190715,2.884942484933999,1.0,0,1,,,
4,9.0,3.75041663046929,2.0855301185331365,0.7628506311169199,5,1,,,
5,9.0,3.8186760193657845,1.919066080132788,0.7101507713651243,8,1,,,
6,9.0,3.790807955153541,1.9995321927164547,0.7189340813237569,8,1,,,
7,8.0,3.4973086531376,1.992120326891739,0.672647354763544,7,1,,,
8,10.0,4.722791598460983,2.6295374490914334,0.7628506311169199,7,1,,,
9,9.0,4.963109018149712,3.2078351010315735,0.9696969696969697,7,1,,,
10,9.0,3.9534967354963158,2.214307933996306,0.7723028630005019,8,1,,,
11,10.0,4.595657426683034,2.3355540080713606,0.6666666666666667,0,1,,,
12,9.0,3.7059229430714273,1.879418142553134,0.6925841514478591,8,1,,,
13,10.0,4.979054836414942,3.177447345519751,1.0,9,1,,,
14,9.0,4.262965989238266,2.1698232433614577,0.6666666666666667,0,1,,,
15,10.0,4.107962690167784,1.977268786016291,0.7244846220577995,0,1,,,
16,9.0,3.3661111379701927,1.550196731871775,0.6666666666666667,0,1,,,
17,9.0,3.842633678108213,2.176917197776886,0.7979838709514503,8,1,,,
18,9.0,4.157998517584369,2.282582337468998,0.7716339410755525,7,1,,,
19,10.0,4.2143089146341755,2.288945307991502,0.7660570567002694,8,1,,,
20,9.0,3.1320789830156595,1.582363354601672,0.8067671809100829,8,1,,,
21,10.0,4.320867498606743,2.3688667274372985,0.7979838709514503,8,1,,,
22,9.0,3.9118121389503293,1.9011796391734515,0.6666666666666667,0,1,,,
23,10.0,4.85548082565542,2.728737846072811,0.7805672194721142,0,1,,,
24,9.0,3.809343971341299,1.9438532686730254,0.7101507713651243,8,1,,,
25,9.0,3.3670464383561702,1.7913921856510147,0.7759251046736565,0,1,,,
26,10.0,5.1191431926907605,2.920063003504972,0.6666666666666667,9,1,,,
27,10.0,5.209160615536766,3.5062873106931796,1.0,9,1,,,
28,10.0,4.893612675041197,2.663589849618135,0.7189340813237569,9,1,,,
29,9.0,3.8225514798919926,1.9382296116673254,0.7628506311169199,8,1,,,
30,10.0,4.245156733514819,2.1620071934960574,0.7189340813237569,9,1,,,
31,10.0,3.561126050499445,1.5881043161458903,0.6666666666666667,0,1,,,
32,8.0,3.4985988522283415,1.873462484566661,0.7540673211582873,7,1,,,
33,10.0,4.450870219795094,2.327982279236137,0.7101507713651243,9,1,,,
34,9.0,2.5903886782059997,1.2103568851032662,0.6793103448275862,0,1,,,
35,9.0,2.666218474554164,1.208394833772648,0.6666666666666667,0,1,,,
36,9.0,3.5703856753547276,1.9042045909229923,0.7804172510341851,8,1,,,
37,10.0,4.2442708675539995,2.2960217064074087,0.7628506311169199,9,1,,,
38,9.0,3.1026070692551007,1.558422746583013,0.8155504908687154,8,1,,,
39,10.0,4.738139570341554,2.539259747061806,0.7013674614064918,9,1,,,
40,10.0,4.521976013206371,2.352778758806583,0.7101507713651243,9,1,,,
41,10.0,5.833526826930842,3.8074701446683554,0.8636363636363638,8,1,,,
42,9.0,3.1934014666221224,1.6096011620983506,0.8067671809100829,8,1,,,
43,10.0,3.818338031573843,1.8613367882711664,0.7277173912823895,9,1,,,
44,9.0,3.7676756065766046,2.0186336224145767,0.7540673211582873,5,1,,,
45,10.0,3.1141913666860006,1.1736480649132095,0.6666666666666667,0,1,,,
46,10.0,4.964828791502885,2.7624693411889525,0.7277173912823895,9,1,,,
47,9.0,4.245277507621936,2.356716154097586,0.7628506311169199,8,1,,,
48,10.0,5.060719392302095,3.261089496479192,1.0,9,1,,,
49,9.0,3.5929703318531354,1.8744597606284499,0.7035630310883452,0,1,,,
50,10.0,4.254771203898261,2.166273151450349,0.7540673211582873,9,1,,,
51,10.0,4.887315463982778,2.832076854921962,0.8095238095238095,8,1,,,
52,9.0,3.288854586883718,1.638078845293928,0.7804172510341851,8,1,,,
53,9.0,3.9270442357982667,2.0263839801433323,0.6811982132259153,0,1,,,
54,10.0,4.537193895773301,2.4426845088159443,0.6666666666666667,0,1,,,
55,10.0,4.569485215648624,2.3488656841504536,0.6666666666666667,0,1,,,
56,10.0,3.8282118491899118,1.918753862503974,0.7540673211582873,6,1,,,
57,9.0,3.0271795991112516,1.2944163513465474,0.7540673211582873,8,1,,,
58,9.0,3.534689545141125,1.8577261265802099,0.6843333548209303,0,1,,,
59,9.0,2.859639604147859,1.2716164785767696,0.6666666666666667,0,1,,,
60,10.0,5.215425183875123,3.00674543951824,0.745805626203351,9,1,,,
61,10.0,4.1099018292395675,1.9646420420151007,0.6666666666666667,0,1,,,
62,10.0,4.26122043888666,2.2366550053102365,0.7142950851041316,0,1,,,
63,9.0,4.405343776751133,2.527067873078373,0.7452840111996547,8,1,,,
64,9.0,2.9824055333067734,1.4733315539524465,0.7716339410755525,8,1,,,
65,10.0,4.73924533480846,2.8658770106354634,0.8155504908687154,9,1,,,
66,9.0,3.7481179394162796,2.0231256158421695,0.7198337974995067,8,1,,,
