,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,6.0,2.7743386725365013,4.148277699755869,1.7743386654626756,5,0,0.6133333333333333,1.0,222.55750123000004
1,7.0,1.0341585717058068,1.0011668045401922,1.0,6,0,,,
2,7.0,1.0737994142073377,1.0054463497797645,1.0,6,0,,,
3,6.0,1.3837632026246993,1.1472741842320962,1.0,5,0,,,
4,6.0,1.2434882788747006,1.0592865386167145,1.0,5,0,,,
5,7.0,1.1186146433056492,1.0140694278350382,1.0,6,0,,,
6,6.0,3.3935294311138238,6.728983115444257,2.393529426483881,5,0,,,
7,7.0,1.034158562817419,1.001166805994482,1.0,6,0,,,
8,6.0,1.0737994291168078,1.0054463533406872,1.0,5,0,,,
9,6.0,1.5095065800098892,1.2595969467690802,1.0,5,0,,,
10,6.0,1.0145706735367073,1.000212304034164,1.0,5,0,,,
11,6.0,1.118614658653809,1.0140694353258533,1.0,5,0,,,
12,7.0,1.439019410389506,1.1927379878658155,1.0,6,0,,,
13,6.0,1.6941860267087423,1.4818942329795253,1.0,5,0,,,
14,6.0,1.0638629795638734,1.004078478145491,1.0,5,0,,,
15,6.0,2.413320073122409,2.997473604844572,1.4133200645446777,5,0,,,
16,6.0,1.4692085803304487,1.2201566859256352,1.0,5,0,,,
17,6.0,1.0194337897962265,1.000377670980566,1.0,5,0,,,
18,6.0,1.1685165332076837,1.0283978159175067,1.0,5,0,,,
19,6.0,1.3988199761610591,1.1590573686567307,1.0,5,0,,,
20,6.0,1.0489851713036105,1.002399546647567,1.0,5,0,,,
21,7.0,1.2034882001975475,1.0414074392432566,1.0,6,0,,,
22,6.0,1.0390929992712956,1.0015282619845045,1.0,5,0,,,
23,6.0,1.0837461383373737,1.0070134149290728,1.0,5,0,,,
24,6.0,3.4945734456352535,7.222896618586094,2.494573434193929,5,0,,,
25,6.0,1.7362047851497246,1.5419974701538424,1.0,5,0,,,
26,7.0,1.2685036295205063,1.072094181271851,1.0,6,0,,,
27,6.0,1.3636963640935882,1.1322750377500406,1.0,5,0,,,
28,6.0,1.1435555790210992,1.0206081997028769,1.0,5,0,,,
29,7.0,1.5600764341034052,1.3136855769357108,1.0,6,0,,,
