,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,5.0,1.539921860150324,1.2844674178103948,1.0,5,0,1.0,1.0,5.785889475999997
1,5.0,2.002765004122348,2.000002576456077,1.0,5,0,,,
2,4.0,1.5431122565872708,1.2845225823609114,1.0,4,0,,,
3,5.0,1.3775142509168712,1.1345237236795462,1.0,5,0,,,
4,4.0,1.0074990172286407,1.0000414968586095,1.0,3,0,,,
5,5.0,1.4438600482861597,1.1878682459335836,1.0,5,0,,,
6,5.0,1.507318778092794,1.2500524301458689,1.0,5,0,,,
7,5.0,1.8052357259150704,1.6400164727434392,1.0,5,0,,,
8,5.0,2.0078692260960382,2.000041328748851,1.0,5,0,,,
9,5.0,2.0172364802815235,2.0001337530732863,1.0,5,0,,,
10,5.0,2.0071815150772396,2.000036427657937,1.0,5,0,,,
11,6.0,2.8692885748776,2.751114066879853,1.0,6,0,,,
12,5.0,2.0077491859262433,2.0000289652723153,1.0,5,0,,,
13,4.0,1.018824231323204,1.0001629702410613,1.0,3,0,,,
14,4.0,1.0078546239256798,1.000027817227328,1.0,3,0,,,
15,5.0,2.0098054240873173,2.0000781383111064,1.0,5,0,,,
16,5.0,1.7420118291195332,1.5378220677291148,1.0,5,0,,,
17,5.0,2.009278511254145,2.000045033266976,1.0,5,0,,,
18,6.0,2.208455710511182,2.0400447663170596,1.0,6,0,,,
19,5.0,2.010477383337795,2.0000918437689865,1.0,5,0,,,
20,5.0,1.6788633598179579,1.4445430771576602,1.0,5,0,,,
21,5.0,1.7432162120249173,1.5378559360010027,1.0,5,0,,,
22,5.0,2.0210538437145114,2.0003567653398937,1.0,5,0,,,
23,5.0,1.7089838568569014,1.4900530748330076,1.0,5,0,,,
24,5.0,2.0016465200259126,2.0000015277734686,1.0,5,0,,,
25,5.0,2.0110907270260654,2.000056752954831,1.0,5,0,,,
26,5.0,2.0106506823398598,2.000078899248175,1.0,5,0,,,
27,4.0,1.6010009090639858,1.360001001801372,1.0,4,0,,,
28,6.0,2.2093306072287104,2.04005228746235,1.0,6,0,,,
29,5.0,2.0055852910083667,2.0000186726531113,1.0,5,0,,,
30,5.0,2.0177177552824057,2.0002056348018495,1.0,5,0,,,
31,5.0,2.0172542106252607,2.0001561938647248,1.0,5,0,,,
32,5.0,1.5737805180050621,1.3211415117741192,1.0,5,0,,,
33,6.0,2.6416312483686997,2.4011577236248995,1.0,6,0,,,
34,5.0,2.003501301322891,2.000007269700836,1.0,5,0,,,
35,5.0,2.010126153453937,2.0000782584852788,1.0,5,0,,,
36,5.0,1.4717133659384676,1.2177925426887568,1.0,5,0,,,
37,5.0,2.0145875529711788,2.0001012608362245,1.0,5,0,,,
38,5.0,1.4132026585548945,1.1600760243228714,1.0,5,0,,,
39,5.0,2.0062009210347727,2.0000195783110026,1.0,5,0,,,
40,5.0,1.5812174563778374,1.3212119796556137,1.0,5,0,,,
41,5.0,2.0140713535254857,2.0000866401013644,1.0,5,0,,,
42,5.0,1.3692879641136957,1.13444807852175,1.0,5,0,,,
43,4.0,1.5518955665459035,1.2847540221166927,1.0,4,0,,,
44,5.0,1.61043731497434,1.3600461655404215,1.0,5,0,,,
45,5.0,1.509122949291291,1.2500458905593401,1.0,5,0,,,
46,5.0,1.517577161418818,1.2502276319175818,1.0,5,0,,,
47,6.0,2.4773208012128185,2.2178529200821573,1.0,6,0,,,
48,5.0,1.5227133630762713,1.2503418312665857,1.0,5,0,,,
49,5.0,1.9028652653881237,1.8100044776258752,1.0,5,0,,,
50,5.0,2.012496282781239,2.0000855037793253,1.0,5,0,,,
51,4.0,2.0097842190226185,2.0000781484894947,1.0,4,0,,,
52,5.0,2.0140963436321453,2.000096777878288,1.0,5,0,,,
53,5.0,1.4786737340061336,1.2178515292315897,1.0,5,0,,,
54,5.0,2.0163231503684624,2.0002174011631615,1.0,5,0,,,
55,4.0,1.6005799798835199,1.360000181217789,1.0,4,0,,,
56,4.0,1.013691139674627,1.0000934433537891,1.0,3,0,,,
57,5.0,2.019710003908019,2.00031089447297,1.0,5,0,,,
58,5.0,1.9802459085545356,1.934568311021298,1.0,5,0,,,
59,5.0,2.0084264029406578,2.000045009098232,1.0,5,0,,,
60,6.0,2.477660036370941,2.184524054713205,1.0,6,0,,,
61,5.0,1.7125187047950319,1.490085625901934,1.0,5,0,,,
62,6.0,2.1766003225677775,1.6945226059999539,1.0,6,0,,,
63,4.0,1.6096941909550444,1.3600779763763113,1.0,4,0,,,
64,5.0,1.5419965284810178,1.2844880298759636,1.0,5,0,,,
65,6.0,2.5091486438207213,2.2500349599603,1.0,6,0,,,
66,5.0,2.008269749869852,2.000034482174783,1.0,5,0,,,
67,4.0,1.0036224463062984,1.0000047746150258,1.0,3,0,,,
68,4.0,1.5676622799619715,1.3211121023394554,1.0,4,0,,,
69,6.0,2.20749954934918,1.7400333643525998,1.0,6,0,,,
70,6.0,2.9415493392732053,2.8711694723049437,1.0,6,0,,,
71,5.0,2.0089442962688713,2.0000629445314377,1.0,5,0,,,
72,4.0,1.5676622799619715,1.3211121023394554,1.0,4,0,,,
73,5.0,1.5106039448746271,1.2500788185771414,1.0,5,0,,,
74,5.0,2.0047469976319574,2.00001330005277,1.0,5,0,,,
75,6.0,2.3715720375067995,2.1344607218768483,1.0,6,0,,,
76,5.0,1.876629939141294,1.7511892830122133,1.0,5,0,,,
