,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,7.0,4.5156767038400965,4.167251169940421,1.0,1,1,0.1393939393939394,0.33,3.491507879999999
1,8.0,3.6635644264765808,3.148178927315831,1.0,2,1,,,
2,8.0,4.741880814410896,4.244559581194847,1.0,2,2,,,
3,7.0,4.50125410839476,4.218730689505309,1.0,2,0,,,
4,4.0,2.4141207170656536,2.1601993946504483,1.0,1,0,,,
5,7.0,3.579543689239181,3.0971759304880297,1.0,3,1,,,
6,8.0,4.541826379434291,4.171280508736037,1.0,3,2,,,
7,7.0,3.650088085812855,3.1466590436401654,1.0,4,1,,,
8,8.0,4.426099306907004,4.114583759864264,1.0,3,1,,,
9,9.0,5.790944735588287,5.234873947576485,1.0,3,1,,,
10,10.0,4.817212746262974,4.226062515851121,1.0,4,1,,,
11,7.0,2.702910437245559,2.1168381114396544,1.0,4,2,,,
12,6.0,3.3386382438898354,3.0528536141112808,1.0,1,1,,,
13,7.0,3.655621866867107,3.1823435905891784,1.0,4,1,,,
14,6.0,3.612800086242129,3.2355044036990215,1.0,3,1,,,
15,9.0,5.540116456153918,5.132212637222633,1.0,1,1,,,
16,8.0,3.661759428292191,3.195090073733496,1.0,2,2,,,
17,6.0,3.270412024440101,3.044694993767237,1.0,1,1,,,
18,7.0,3.7508797840215102,3.168291601069417,1.0,3,1,,,
19,5.0,2.5029121422661706,2.2186066785627445,1.0,2,1,,,
20,7.0,3.74164043162774,3.235126331284694,1.0,3,2,,,
21,7.0,3.4607776493791897,3.0630269620522697,1.0,2,1,,,
22,8.0,2.4250228336530326,2.0661005637544014,1.0,1,2,,,
23,7.0,3.9469786360672243,3.237859793381499,1.0,3,2,,,
24,7.0,3.6625876334192764,3.1643167281896383,1.0,4,2,,,
25,6.0,2.6305955169263138,2.1788553318399435,1.0,3,1,,,
26,7.0,3.6452413048010763,3.122929429792142,1.0,4,2,,,
27,7.0,2.3752835518481326,2.0361991352522297,1.0,3,2,,,
28,6.0,2.5928758229384563,2.09368428766723,1.0,3,2,,,
29,10.0,5.313486204492215,5.025344932459243,1.0,2,2,,,
30,6.0,2.498173964447547,2.089932498063562,1.0,4,1,,,
31,8.0,4.5383709387186,4.096160872355684,1.0,7,2,,,
32,7.0,3.29063341382193,3.0300795793390463,1.0,2,2,,,
