,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,5.0,0.23220445938578424,0.05391890068131051,0.23220443725585938,4,0,0.32799999999999996,1.0,8.041544942000009
1,4.0,0.04188242254974173,0.001754134449188675,0.041882388293743134,3,0,,,
2,5.0,0.01761815346728282,0.00031039814235042304,0.017618119716644287,4,0,,,
3,5.0,0.18880510107708132,0.03564735577921961,0.18880507349967957,4,0,,,
4,5.0,0.1493107784365158,0.022293696436799064,0.14931073784828186,4,0,,,
5,5.0,0.1506140166396847,0.02268457500979207,0.15061399340629578,4,0,,,
6,5.0,0.16689226613590485,0.02785301660484133,0.16689223051071167,4,0,,,
7,5.0,0.010503710233280356,0.0001103268532212778,0.010503659039605557,0,0,,,
8,5.0,0.13997412075304627,0.01959274516494398,0.13997408747673035,4,0,,,
9,5.0,0.03072514753410026,0.0009440317175550144,0.03072509914636612,4,0,,,
10,5.0,0.1670666083623231,0.027911240180402155,0.1670665740966797,4,0,,,
11,5.0,0.005203073203757652,2.7071609154777404e-05,0.005203038454055786,0,0,,,
12,6.0,0.20339846416348561,0.026402024783395373,0.15516212582588196,5,0,,,
13,5.0,0.08445626486372673,0.007132856917648111,0.08445624262094498,4,0,,,
14,5.0,0.02730947887856819,0.0007458063311690372,0.02730945497751236,4,0,,,
15,5.0,0.18136981783134468,0.03289499763923312,0.18136978149414062,4,0,,,
16,5.0,0.1941392910041027,0.03769004535121328,0.1941392421722412,4,0,,,
17,5.0,0.05979620098723627,0.003575577419780457,0.059796132147312164,4,0,,,
18,5.0,0.09796519999097092,0.0095971722842666,0.09796515852212906,4,0,,,
19,4.0,0.17291455583759185,0.02989943634759236,0.1729145348072052,3,0,,,
20,4.0,0.09082887305665417,0.008249881502978099,0.09082885831594467,3,0,,,
21,5.0,0.05177966012072202,0.0026811290835294516,0.051779620349407196,4,0,,,
22,5.0,0.16411162486035916,0.026932612142475783,0.16411158442497253,4,0,,,
23,4.0,0.20841000593789388,0.04343472594946813,0.20840999484062195,3,0,,,
24,4.0,0.19708710557749923,0.03884331682171307,0.19708707928657532,3,0,,,
25,5.0,0.16630245498545512,0.027656492485919077,0.1663024127483368,4,0,,,
26,5.0,0.02919775354652092,0.0008525065742343388,0.02919771522283554,4,0,,,
27,5.0,0.04793020064421244,0.0022972986821547833,0.047930143773555756,4,0,,,
28,5.0,0.08515944729010594,0.007252128248426572,0.08515942841768265,4,0,,,
29,5.0,0.1460805207757857,0.021339510705957427,0.14608049392700195,4,0,,,
30,5.0,0.017811987639681892,0.0003172654406441914,0.01781194657087326,4,0,,,
31,5.0,0.12205731001277917,0.014897979951189815,0.12205728143453598,4,0,,,
32,5.0,0.1877263471943338,0.035241170783795406,0.18772631883621216,4,0,,,
33,4.0,0.1280982606506288,0.016409153873171455,0.12809821963310242,3,0,,,
34,5.0,0.18277621018327558,0.03340713303181677,0.18277618288993835,4,0,,,
35,5.0,0.14736342158025417,0.02171596125467554,0.14736336469650269,4,0,,,
36,6.0,0.12316749123947707,0.015170220184215072,0.12316744774580002,0,0,,,
37,5.0,0.007391090990607318,5.46276438713654e-05,0.007391051607888527,0,0,,,
38,5.0,0.14695642587340343,0.021596178851841227,0.14695638418197632,4,0,,,
39,5.0,0.15972615002602553,0.02551243119995819,0.1597261130809784,4,0,,,
40,5.0,0.05707582325354768,0.00325764252325024,0.05707576125860214,4,0,,,
41,5.0,0.05353271225366882,0.0028657464851758736,0.053532667458057404,4,0,,,
42,4.0,0.10503553919183065,0.011032460690654458,0.10503552109003067,3,0,,,
43,5.0,0.13211714209681585,0.017454926159563088,0.13211709260940552,4,0,,,
44,5.0,0.11849239248039538,0.01404044230134029,0.11849237233400345,4,0,,,
45,5.0,0.1495851452727011,0.022375701552102056,0.14958509802818298,4,0,,,
46,5.0,0.13842725085871882,0.019162089127637547,0.13842719793319702,4,0,,,
47,5.0,0.17907777337406663,0.032068838569458656,0.17907774448394775,4,0,,,
48,5.0,0.13313834507657762,0.017725806657510147,0.13313829898834229,4,0,,,
49,5.0,0.04365700384461134,0.0019059295172311965,0.04365695267915726,4,0,,,
50,5.0,0.024645575466396258,0.000607402500820353,0.02464553713798523,4,0,,,
51,5.0,0.05399238733686321,0.0029151726143849008,0.053992338478565216,4,0,,,
52,5.0,0.15400930078455416,0.02371884994389891,0.15400925278663635,4,0,,,
53,5.0,0.04841643939768395,0.0023441476403836987,0.04841639846563339,4,0,,,
54,4.0,0.0444594267489571,0.00197663781360186,0.04445939511060715,3,0,,,
