,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,3.7352247890163226,2.6952400122374054,1.0,9,0,0.258,1.0,1.8085230089999995
1,7.0,2.1299114165686426,1.2543990476293199,1.0,4,0,,,
2,9.0,4.435376378701168,3.5786499871942,1.0,11,0,,,
3,6.0,1.5575306384185494,0.6429171330526263,0.6021029353141785,5,0,,,
4,7.0,2.6456559170475584,1.623605869412001,1.0,7,2,,,
5,6.0,0.46901176212975887,0.062408951593093384,0.16736668348312378,5,0,,,
6,9.0,4.67833682557889,3.6961108424134244,1.0,12,0,,,
7,7.0,1.9829042952591223,1.1857809281665836,1.0,5,2,,,
8,7.0,1.8625653982969845,1.1994514867149075,1.0,6,0,,,
9,7.0,2.598094470305208,1.5705243891845824,1.0,7,0,,,
10,8.0,2.898989763739493,2.2097347684910393,1.0,5,2,,,
11,7.0,2.062557672205494,1.2270349147126205,1.0,6,2,,,
12,6.0,0.7360065173034273,0.18132989209849826,0.37513765692710876,4,0,,,
13,8.0,3.3688968952512424,2.531302349436783,1.0,9,2,,,
14,8.0,3.4810091139625046,2.60730505688732,1.0,9,0,,,
15,9.0,4.440251348829026,3.58166706529525,1.0,11,0,,,
16,6.0,0.9810079257132825,0.2085035944032997,0.30215951800346375,5,0,,,
17,7.0,2.3207049364078887,1.3471472157215885,1.0,7,0,,,
18,7.0,1.5696686303180487,1.079052543241266,1.0,7,0,,,
19,7.0,2.4358970927756003,1.438243862804041,1.0,7,0,,,
20,8.0,3.856091513081211,2.802695609839214,1.0,9,2,,,
21,7.0,2.5440245793874223,1.6762427037741114,1.0,7,0,,,
22,9.0,4.583827161592483,3.612792905986098,1.0,11,0,,,
23,7.0,2.019365936604364,1.2007837274570425,1.0,5,2,,,
24,7.0,3.159683103689671,2.056794474611403,1.0,7,0,,,
25,6.0,1.0612045739743219,0.22234852020196927,0.28566843271255493,5,0,,,
26,6.0,1.6911760165302328,0.6554030462329565,0.6021029353141785,5,0,,,
27,9.0,4.371975432326861,3.594236248809169,1.0,11,0,,,
28,8.0,3.6127087978451837,2.6303397483343267,1.0,9,0,,,
29,6.0,0.9559441621081067,0.1922649162476883,0.30138194165667703,4,0,,,
30,7.0,2.4806027210221675,1.5702591337713896,1.0,7,0,,,
31,9.0,4.397499662040183,3.54199419063743,1.0,11,2,,,
32,8.0,2.648353389171562,2.109625686108765,1.0,8,0,,,
33,6.0,0.665698565272584,0.13963123686215384,0.2891142884913673,4,0,,,
34,8.0,3.484523927813332,2.5659794661266337,1.0,9,2,,,
35,9.0,4.429325212264165,3.441561029770039,1.0,11,2,,,
36,6.0,1.4423798630822633,0.5289722908362378,0.6021029353141785,5,0,,,
37,7.0,2.4511919228034786,1.5913739169492456,1.0,7,0,,,
38,7.0,2.0232688171330824,1.2017893047674832,1.0,7,2,,,
39,8.0,2.9751436066783556,2.294572467205946,1.0,8,0,,,
40,7.0,2.1089128924913347,1.2217917272929415,1.0,4,2,,,
41,6.0,0.7416035602946073,0.17449127307502996,0.3736759015324511,5,0,,,
42,8.0,2.6541195333551046,2.1001178096696376,1.0,5,0,,,
43,8.0,3.471649298292268,2.6502039753366993,1.0,9,2,,,
44,6.0,1.320379802918639,0.5611792259078354,0.6021029353141785,5,0,,,
45,8.0,3.4055347737478288,2.423853373831677,1.0,6,2,,,
46,7.0,2.0623184805690142,1.219993168232801,1.0,6,2,,,
47,9.0,4.0851634327977475,3.2684201640659705,1.0,8,2,,,
48,6.0,0.445722638240245,0.04999327847799994,0.14790348708629608,3,0,,,
49,6.0,1.4726856888799662,0.5936532412929204,0.6021029353141785,5,0,,,
50,8.0,3.5341872421457983,2.658500414745438,1.0,9,0,,,
51,7.0,1.7072764732764578,1.1179032733066612,1.0,5,0,,,
52,10.0,5.535317178753227,4.601192272348259,1.0,13,0,,,
53,7.0,2.699805430297584,1.6460003513530566,1.0,7,2,,,
54,7.0,1.5114935126189004,1.0753218808960063,1.0,4,0,,,
55,9.0,4.545881773365837,3.6773640564537886,1.0,11,0,,,
56,9.0,4.688449487385363,3.6858617873756057,1.0,11,0,,,
57,8.0,2.533348328505689,2.0807762968487644,1.0,7,0,,,
58,7.0,2.148762102082153,1.2355566753955378,1.0,4,2,,,
59,7.0,2.472921110843121,1.5932048402960244,1.0,7,0,,,
60,6.0,1.11416620802191,0.2709077026720026,0.38965031109294107,5,0,,,
61,9.0,4.530260543652021,3.6627368517799987,1.0,11,0,,,
62,8.0,2.9496096051196474,2.2215535789179817,1.0,9,2,,,
63,8.0,3.5097066039392764,2.5823897462501733,1.0,9,2,,,
64,8.0,3.7526661512242017,2.786871252177082,1.0,9,0,,,
65,7.0,2.5502247866047685,1.604577646512887,1.0,7,0,,,
66,8.0,3.4332039471779656,2.534161756060079,1.0,9,2,,,
67,8.0,3.681035692429153,2.7375973255938786,1.0,9,0,,,
68,7.0,2.3787580028576643,1.562239644672367,1.0,7,0,,,
69,6.0,1.841345830763753,0.6994194657959356,0.6021029353141785,5,0,,,
70,8.0,3.460070457399093,2.5835089741187223,1.0,9,2,,,
71,8.0,2.350031568228487,2.030478255506313,1.0,7,0,,,
72,8.0,3.719661136029437,2.666856125196128,1.0,9,0,,,
73,7.0,1.991282171063433,1.1825679736016792,1.0,4,2,,,
74,8.0,2.9141749973467155,2.1522489746985687,1.0,7,2,,,
75,7.0,2.5562710285377754,1.6075702060021677,1.0,7,0,,,
76,8.0,3.992590470080696,2.844676869589122,1.0,9,2,,,
77,7.0,2.1484297596946207,1.2996295072848498,1.0,3,2,,,
78,7.0,2.042596089953933,1.2262121785508278,1.0,6,2,,,
79,9.0,4.425305566223862,3.5858435644668174,1.0,11,0,,,
80,6.0,1.4856915748292652,0.5980054339877456,0.6021029353141785,5,0,,,
81,7.0,2.4147859692171854,1.5121430841403225,1.0,7,0,,,
82,7.0,2.568993291083348,1.5867077031397538,1.0,7,2,,,
83,7.0,2.094000926222224,1.2354332905618741,1.0,4,2,,,
84,8.0,3.445027036457183,2.5826316644708194,1.0,9,0,,,
85,8.0,2.7947810774852906,2.1648578071513684,1.0,5,0,,,
86,7.0,1.5460211801993842,1.0638254044999855,1.0,7,0,,,
87,6.0,1.5745961763302088,0.6160448861302656,0.6021029353141785,5,0,,,
88,7.0,1.4843336056271086,1.0682695810789087,1.0,7,0,,,
89,7.0,2.5818641166806175,1.6043202530463425,1.0,7,2,,,
90,8.0,2.9289493183954116,2.209620101666307,1.0,9,2,,,
91,7.0,2.2905217245378804,1.5481224146542225,1.0,7,2,,,
92,7.0,2.472944652494425,1.5482282012867608,1.0,7,2,,,
93,6.0,1.530222988410566,0.5695637149931836,0.6021029353141785,5,0,,,
94,7.0,2.352988626810657,1.5623282734504886,1.0,7,2,,,
95,7.0,2.4114252161952896,1.5851045525350573,1.0,7,2,,,
96,8.0,3.1209078317355305,2.4181929229292223,1.0,9,2,,,
97,6.0,1.1091119174951725,0.24959997913040066,0.25362810492515564,5,0,,,
98,10.0,5.752620973039594,4.811347349672102,1.0,13,0,,,
99,9.0,4.512270676214916,3.5965903911390247,1.0,11,0,,,
