,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,2.5159685413937285,2.062677904315116,1.0,9,0,0.4061855670103093,0.97,0.264526077
1,6.0,1.632148902730129,1.1119846705853995,1.0,6,0,,,
2,8.0,2.8952424879402585,2.167724393084941,1.0,9,0,,,
3,6.0,0.7944841509180635,0.15592874559531028,0.2666666666666666,5,0,,,
4,8.0,2.8273986214353513,2.153045557506026,1.0,9,2,,,
5,7.0,2.3400987060085248,1.3465595674215844,1.0,7,0,,,
6,9.0,3.828202265828401,3.250108712868983,1.0,11,0,,,
7,8.0,2.5364573658106324,2.074074379653822,1.0,9,2,,,
8,9.0,3.8150903130214706,3.140878286043431,1.0,11,0,,,
9,7.0,2.791633568255351,2.1336497839965283,1.0,8,0,,,
10,7.0,2.654908780206614,2.120198699352689,1.0,8,2,,,
11,8.0,3.7827211420154896,3.1523051478285553,1.0,10,2,,,
12,9.0,3.716649119804442,3.1154465645073897,1.0,11,0,,,
13,9.0,3.6645195735329557,3.1096026903895058,1.0,11,2,,,
14,8.0,2.808573636801218,2.161060279546448,1.0,9,0,,,
15,9.0,3.640236989276348,3.113212717225425,1.0,11,0,,,
16,7.0,2.917218406249736,2.198092167082769,1.0,8,0,,,
17,7.0,2.714342277989786,2.12152426387714,1.0,8,0,,,
18,9.0,3.8636913627363736,3.1962673507195567,1.0,11,0,,,
19,9.0,3.848361039054459,3.149512302081423,1.0,11,0,,,
20,8.0,2.963825860304003,2.2066130195451477,1.0,9,2,,,
21,8.0,2.9142482211999976,2.1708055933020645,1.0,9,0,,,
22,8.0,3.705684426223966,3.1348045793149155,1.0,10,0,,,
23,7.0,2.6441742582821037,2.112044350791945,1.0,8,2,,,
24,8.0,3.2045051183428095,2.3221595089244786,1.0,9,0,,,
25,8.0,3.0064835318644594,2.2321196783888473,1.0,9,0,,,
26,6.0,1.778730029262082,1.1816492271996748,1.0,6,0,,,
27,10.0,4.695343494905596,4.113749843111595,1.0,13,0,,,
28,8.0,2.7232628690200924,2.1178440921676036,1.0,9,0,,,
29,7.0,1.8214168852721249,1.1489121013988421,1.0,7,0,,,
30,8.0,2.9148418014884774,2.1907565386203216,1.0,9,0,,,
31,8.0,2.8188985851222688,2.149441520298936,1.0,9,2,,,
32,9.0,3.987675030124241,3.2605683293945513,1.0,11,0,,,
33,7.0,2.7583457515732914,2.171719669015887,1.0,8,0,,,
34,9.0,4.051688240028392,3.2306700169963865,1.0,11,2,,,
35,9.0,4.80427931196991,4.160343455122247,1.0,12,2,,,
36,6.0,0.9426257875121792,0.1654643482499309,0.2054794520547945,5,0,,,
37,7.0,2.613622001095779,2.091990911611479,1.0,8,0,,,
38,8.0,2.904125054406425,2.183571433605603,1.0,9,2,,,
39,9.0,3.8898611571039865,3.1916415617933684,1.0,11,0,,,
40,6.0,2.504125846092758,2.078409211948536,1.0,7,2,,,
41,9.0,3.9416637462950104,3.282607394998956,1.0,11,0,,,
42,9.0,3.554492892010814,3.0852818295587636,1.0,11,0,,,
43,7.0,1.7173316621885484,1.119202927783011,1.0,7,2,,,
44,6.0,1.5386662279381256,1.0878060508502263,1.0,6,0,,,
45,8.0,2.8469980106866375,2.1595597981955965,1.0,9,2,,,
46,7.0,2.4760224714196166,2.0575355764788203,1.0,8,2,,,
47,9.0,4.598522122677189,4.116770577948464,1.0,12,2,,,
48,7.0,2.0728550355202873,1.2365281579559941,1.0,7,0,,,
49,6.0,1.56074798651215,1.1116207068960728,1.0,6,0,,,
50,6.0,1.5656988595913794,1.077193257455481,1.0,6,0,,,
51,7.0,1.6874209086968404,1.123276621263046,1.0,7,0,,,
52,9.0,4.60621866060632,4.120851857410142,1.0,12,0,,,
53,7.0,2.908081493277107,2.19139854708948,1.0,8,2,,,
54,9.0,3.660657215303747,3.1113261732478428,1.0,11,0,,,
55,9.0,3.7582761294173554,3.1128552451133635,1.0,11,0,,,
56,10.0,5.065588894262991,4.374131507201516,1.0,13,0,,,
57,8.0,2.812667585232828,2.156900801527389,1.0,9,0,,,
58,9.0,3.8521626698757103,3.1733430353902747,1.0,11,2,,,
59,6.0,1.728611461841175,1.1343630592997167,1.0,6,0,,,
60,4.0,0.6308275953404388,0.13752927661027525,0.28879706152433426,3,0,,,
61,8.0,2.8129934083494588,2.1406975099569676,1.0,9,0,,,
62,8.0,2.678713467006646,2.1149874201280743,1.0,9,2,,,
63,8.0,3.0845423861546295,2.2363652066338404,1.0,9,2,,,
64,8.0,2.9524345215506997,2.218617512635324,1.0,9,0,,,
65,7.0,1.592583646022812,1.094523955526058,1.0,7,0,,,
66,8.0,3.2072916026622793,2.2957410258932605,1.0,9,2,,,
67,8.0,3.291777758891656,2.3449481630711597,1.0,9,0,,,
68,8.0,2.851296993998831,2.210549757802766,1.0,9,0,,,
69,6.0,0.7621059275802581,0.1193723925985615,0.1829951493254827,5,0,,,
70,7.0,2.879985582008572,2.1879213553394075,1.0,8,2,,,
71,8.0,2.6721255831236594,2.121472238435939,1.0,9,0,,,
72,8.0,2.886109470035685,2.224797935244193,1.0,9,0,,,
73,8.0,2.6754186557051614,2.11403679612899,1.0,9,2,,,
74,7.0,2.4656049387211323,2.0780033231348067,1.0,8,2,,,
75,6.0,1.5107297503139545,1.0839024398468584,1.0,6,0,,,
76,9.0,4.050312118136527,3.24143260784571,1.0,11,2,,,
77,8.0,3.7684363450388263,3.151430566015394,1.0,10,2,,,
78,8.0,2.827031567536081,2.162299827087061,1.0,9,2,,,
79,7.0,2.480255350502406,2.098799543120926,1.0,8,0,,,
80,6.0,1.4324692884615529,1.05971517824781,1.0,6,0,,,
81,8.0,3.1153904029963657,2.25405081791763,1.0,9,0,,,
82,7.0,2.903279700726835,2.212438759069155,1.0,8,2,,,
83,8.0,3.8353107518210976,3.196806699845958,1.0,10,2,,,
84,7.0,2.430755873723055,2.0739173210051707,1.0,8,0,,,
85,8.0,2.810250562964519,2.139560661870578,1.0,9,0,,,
86,6.0,1.5747935939414297,1.1042919309234895,1.0,6,0,,,
