,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,3.3730267767655793,3.069112880118837,1.0,4,0,0.25,1.0,39.951311744399845
1,6.0,1.249821463832506,1.0187241016170843,1.0,3,0,,,
2,6.0,1.3025481575630415,1.0262591759849795,1.0,3,0,,,
3,8.0,3.6655867873634467,3.2991435953051815,1.0,2,0,,,
4,6.0,1.3001722585541764,1.0354816949123533,1.0,4,0,,,
5,6.0,2.007821998351166,1.3961650741684262,1.0,2,0,,,
6,7.0,2.3248861040255044,2.0361671552595775,1.0,5,0,,,
7,8.0,3.4140625469487533,3.057207704676856,1.0,3,0,,,
8,7.0,2.266605554062572,2.026199303590229,1.0,6,0,,,
9,7.0,2.5005908832606507,2.070621315502369,1.0,4,0,,,
10,6.0,1.3156608505437928,1.043687110452002,1.0,4,0,,,
11,7.0,2.224200191882172,2.019560770313904,1.0,4,0,,,
12,8.0,3.327026749647628,3.0376640152251086,1.0,6,0,,,
13,7.0,2.141436471949341,2.0085662219591467,1.0,3,0,,,
14,6.0,1.4347033172270602,1.062616323185546,1.0,2,0,,,
15,8.0,3.4139013251059485,3.049628327821844,1.0,2,0,,,
16,6.0,1.365640203898317,1.0403500359034108,1.0,2,0,,,
17,5.0,0.36996897927423433,0.04764987767903863,0.1879737267688828,3,0,,,
18,6.0,1.4006742573410582,1.0692688887819792,1.0,3,0,,,
19,6.0,1.3525028339220146,1.043948910614063,1.0,5,0,,,
