,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,7.0,3.275142676089996,3.0593105702870815,1.0,0,0,0.886,1.0,34.63519934975997
1,5.0,1.143660829112373,1.0112631740487945,1.0,0,0,,,
2,5.0,1.1266800042327634,1.009482303233999,1.0,0,0,,,
3,7.0,3.1325946529853983,3.0165787298481432,1.0,0,0,,,
4,5.0,1.1589823018891374,1.015284780055629,1.0,0,0,,,
5,5.0,1.9890684518748016,1.3958108093399038,1.0,2,0,,,
6,6.0,2.1858206237932656,2.016829095452421,1.0,0,0,,,
7,7.0,3.281405287246071,3.0396105996885487,1.0,0,0,,,
8,7.0,3.2108132721005096,3.025888590821137,1.0,0,0,,,
9,6.0,2.3741026446875764,2.054521725385562,1.0,0,0,,,
10,5.0,1.1005661408531406,1.0069808007624808,1.0,0,0,,,
11,6.0,2.0953207162886054,2.0030933190439177,1.0,0,0,,,
12,7.0,3.229138601816665,3.0279932675841845,1.0,0,0,,,
13,6.0,2.0632501584948066,2.0026718222092406,1.0,0,0,,,
14,5.0,1.328060284199412,1.0511854518918178,1.0,0,0,,,
15,7.0,3.31282338106565,3.0394973676241435,1.0,0,0,,,
16,5.0,1.33932717317856,1.0394237519638792,1.0,0,0,,,
17,4.0,0.2824321734060855,0.04004843003508212,0.18816923000374608,0,0,,,
18,5.0,1.3287007308632446,1.0639413236952113,1.0,0,0,,,
19,5.0,1.1831807068182092,1.0119945705655573,1.0,0,0,,,
20,5.0,1.0972232846481886,1.0032234578047092,1.0,0,0,,,
21,6.0,2.2244376883028756,2.021711945623768,1.0,0,0,,,
22,6.0,2.6750126961298974,2.2797804329622418,1.0,0,0,,,
23,6.0,2.3633355802054266,2.095047121619445,1.0,0,0,,,
24,7.0,3.0686745572599006,3.002200233481189,1.0,0,0,,,
25,5.0,1.089903335493671,1.003557229699417,1.0,0,0,,,
26,5.0,1.2176781615524377,1.0279588296237083,1.0,0,0,,,
27,5.0,1.1484411501934528,1.01144102135033,1.0,0,0,,,
28,7.0,3.1891920721710556,3.0200568176614127,1.0,0,0,,,
29,7.0,3.1001415667050423,3.0072810533756043,1.0,0,0,,,
30,6.0,2.0895498465445623,2.004257823262369,1.0,0,0,,,
31,5.0,1.4347116728820133,1.0913357814570976,1.0,0,0,,,
32,4.0,0.2311176133977818,0.019825445397527845,0.10309240023295085,0,0,,,
33,5.0,1.301903503666404,1.0495170129001232,1.0,0,0,,,
34,8.0,4.081511030374076,4.003712103444287,1.0,0,0,,,
35,4.0,0.5696388314461829,0.1753761741412782,0.3950872359963269,0,0,,,
36,7.0,3.5582514410795514,3.1705498789936657,1.0,0,0,,,
37,6.0,2.112400751075817,2.0049707893935924,1.0,0,0,,,
38,5.0,1.2478370349996408,1.020801301927297,1.0,2,0,,,
39,5.0,1.084359524170223,1.0042716180655755,1.0,0,0,,,
40,6.0,2.3445782989834596,2.044387272037979,1.0,0,0,,,
41,7.0,3.077463888344897,3.003016219119988,1.0,0,0,,,
42,6.0,2.3560011562560517,2.0649129153511434,1.0,0,0,,,
43,6.0,2.1782408973840504,2.0144956548376385,1.0,0,0,,,
44,4.0,0.13255364131723857,0.010937245655387921,0.10237809816996257,0,0,,,
45,5.0,1.266963866029693,1.0444485157203431,1.0,0,0,,,
46,7.0,3.0446561796770686,3.0007581928817384,1.0,0,0,,,
47,5.0,1.1130383327413673,1.0081503292737024,1.0,0,0,,,
48,5.0,1.1674918268500825,1.010037399629729,1.0,0,0,,,
49,7.0,3.048784451326674,3.0009475608656353,1.0,0,0,,,
50,5.0,1.1717857938364038,1.0185977540407125,1.0,0,0,,,
51,6.0,2.088346787608661,2.0038263634199804,1.0,0,0,,,
52,6.0,2.1536944520203276,2.012822006249335,1.0,0,0,,,
53,6.0,1.3297318975580288,1.0364305670334653,1.0,6,0,,,
54,5.0,1.2204999916199084,1.0175398290617483,1.0,0,0,,,
55,6.0,2.1383285879721234,2.0086368269328045,1.0,0,0,,,
56,7.0,3.1954378981868015,3.0157625269714883,1.0,0,0,,,
57,6.0,2.1897113256364436,2.027819444279403,1.0,0,0,,,
58,4.0,0.5423475264791572,0.19197511890390462,0.43067033976124885,0,0,,,
59,8.0,4.159786109723349,4.011520119223249,1.0,0,0,,,
60,6.0,2.1752522500849776,2.0141462606812213,1.0,0,0,,,
61,7.0,3.42669688771158,3.1077435944291008,1.0,0,0,,,
62,5.0,1.2286027749190673,1.0191052346265859,1.0,0,0,,,
63,5.0,1.1419508137143533,1.0063288928215934,1.0,0,0,,,
64,6.0,2.3940604599459276,2.0580489256748122,1.0,0,0,,,
65,8.0,3.8355856692050776,3.289008030172906,1.0,4,0,,,
66,4.0,0.24389836543572505,0.03143466029073313,0.1647251129150391,0,0,,,
67,8.0,4.027398955326705,4.000299178480951,1.0,0,0,,,
68,7.0,3.2187938468326562,3.0370007704832904,1.0,0,0,,,
69,6.0,2.208075907987476,2.027671808665975,1.0,0,0,,,
70,5.0,1.43768363707023,1.098231964737013,1.0,0,0,,,
71,5.0,1.1934982917729913,1.0159892821567658,1.0,0,0,,,
72,6.0,2.1386861303061537,2.011749910336431,1.0,0,0,,,
73,7.0,3.081346996731281,3.002947802141566,1.0,0,0,,,
74,6.0,2.0458008696962633,2.001081262165845,1.0,0,0,,,
75,5.0,1.45839753171998,1.1422942847951376,1.0,0,0,,,
76,4.0,0.2643074120261255,0.029838464108543482,0.13775600766649054,0,0,,,
77,6.0,2.3991266177720814,2.099569628554008,1.0,0,0,,,
78,5.0,1.0352436301798813,1.0007387136449375,1.0,0,0,,,
79,7.0,3.0659182394733224,3.0014951186206655,1.0,0,0,,,
80,8.0,4.334691113257659,4.080046082870917,1.0,0,0,,,
81,7.0,3.161875437967901,3.021877762091004,1.0,0,0,,,
82,6.0,2.219833860008477,2.0220517608703332,1.0,0,0,,,
83,5.0,1.1131853848539126,1.0064056240654062,1.0,0,0,,,
84,6.0,2.126823374197606,2.0082489339609366,1.0,0,0,,,
85,5.0,1.1952086123726635,1.01547890728935,1.0,0,0,,,
86,7.0,3.034125693859778,3.0005084621692077,1.0,0,0,,,
87,5.0,1.1524389460556497,1.0121816520815257,1.0,0,0,,,
88,7.0,3.194877397309418,3.0369559077089625,1.0,0,0,,,
89,6.0,2.1245390874628556,2.010817263875485,1.0,0,0,,,
90,7.0,3.0358364197159635,3.0004942891603092,1.0,0,0,,,
91,4.0,0.3534669357457323,0.061631392923667955,0.18805866338768773,0,0,,,
92,4.0,0.17076015766196942,0.0210988355401797,0.14372974877454797,0,0,,,
93,4.0,0.1543449237025675,0.01121070876370827,0.09646023110467566,0,0,,,
94,5.0,1.0904165146619016,1.003695809300583,1.0,0,0,,,
95,7.0,3.034871618146782,3.000502836509955,1.0,0,0,,,
96,6.0,2.2393500077678254,2.029392606170158,1.0,0,0,,,
97,6.0,2.1494486501908088,2.0119235047120716,1.0,0,0,,,
98,8.0,3.417712384339496,3.05582751203819,1.0,0,0,,,
99,5.0,1.1901835725832515,1.0226539013796638,1.0,0,0,,,
