,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,4.0,0.6486170802369096,0.17431315538649708,0.35616438356164376,0,1,0.358,1.0,44.33294258299998
1,4.0,0.16504401335609414,0.007141586617752927,0.05102040816326525,1,1,,,
2,7.0,3.3938074844074246,3.0410671102532465,1.0,0,1,,,
3,6.0,1.6485955144923266,1.1059922787097483,1.0,0,1,,,
4,8.0,3.859203955778572,3.2256636516554367,1.0,5,2,,,
5,8.0,3.7943394112181688,3.1922787685464677,1.0,4,2,,,
6,7.0,2.5491179498801912,2.1004172515626376,1.0,5,2,,,
7,6.0,2.626730667463914,2.1133152307671366,1.0,0,1,,,
8,8.0,3.9610909198894437,3.1953113376309217,1.0,6,2,,,
9,6.0,2.483559197493314,2.0729272792759494,1.0,0,2,,,
10,10.0,5.344308920253123,5.032666452640281,1.0,6,2,,,
11,6.0,1.428974071576891,1.0572220772739864,1.0,0,1,,,
12,7.0,2.554339052863761,2.0890071734011775,1.0,6,1,,,
13,7.0,2.7330819553676866,2.138179473862348,1.0,0,1,,,
14,7.0,2.4094440516930957,2.0444613745402043,1.0,5,1,,,
15,4.0,0.22014926427926235,0.012413027101254227,0.06849315068493134,0,1,,,
16,9.0,4.73463455511386,4.1873200499971075,1.0,0,1,,,
17,7.0,3.0245229681215653,2.29740213493084,1.0,0,1,,,
18,7.0,2.6868997338933567,2.117401355112166,1.0,6,2,,,
19,10.0,5.599214709790549,5.082861330779395,1.0,9,2,,,
20,6.0,2.4636320651109394,2.085746747584497,1.0,0,2,,,
21,8.0,4.191964583491071,3.4941640898904147,1.0,3,1,,,
22,9.0,5.895130489163233,5.348955104939795,1.0,5,1,,,
23,5.0,0.5871162635580525,0.10422418204270495,0.2666666666666667,0,1,,,
24,8.0,3.786124878407223,3.2406936235141766,1.0,3,1,,,
25,3.0,0.3072366747319033,0.03570709758708345,0.136986301369863,2,1,,,
26,3.0,0.4350446470522523,0.07946319733984046,0.24657534246575336,0,1,,,
27,5.0,0.7394671293903754,0.14741943215087375,0.28571428571428564,0,1,,,
28,5.0,1.3583696995819556,1.0375549959244605,1.0,4,1,,,
29,9.0,4.949774961241726,4.285201180337885,1.0,0,1,,,
30,9.0,4.797802152677278,4.176978169364354,1.0,3,2,,,
31,6.0,2.8656233572969683,2.264334087569828,1.0,5,2,,,
32,5.0,0.7231017182795922,0.13884218297117282,0.27828278282782826,4,1,,,
33,9.0,4.770354206282366,4.172067035296287,1.0,4,2,,,
34,6.0,2.0450294333264356,1.362936037290876,1.0,3,1,,,
35,9.0,4.66029823501618,4.113507094135569,1.0,6,1,,,
36,4.0,3.1516282666218887,3.0229911312387587,1.0,3,0,,,
37,6.0,3.6958905890959315,3.255425500613175,1.0,0,1,,,
38,4.0,0.27615161476154876,0.022190164939449433,0.10996148710684754,0,1,,,
39,6.0,1.672990868868359,1.1238434019873833,1.0,0,1,,,
40,5.0,1.3023152790880423,1.0268727421046167,1.0,0,2,,,
41,8.0,4.739536124885252,4.19500878347867,1.0,6,2,,,
42,6.0,3.267094450428603,3.032765585731256,1.0,5,1,,,
43,6.0,1.5525484142852386,1.0899487425891397,1.0,3,1,,,
44,8.0,3.6263665544997936,3.10552481700492,1.0,0,2,,,
45,6.0,1.5111939414286395,1.0716974765175276,1.0,0,1,,,
46,7.0,3.401941310375273,3.054050977284455,1.0,5,2,,,
47,5.0,1.3062993070969497,1.0247146055992207,1.0,0,1,,,
48,10.0,5.5453345312915046,5.064986844205322,1.0,9,1,,,
49,9.0,5.165808420491767,4.341637955399333,1.0,9,2,,,
50,8.0,5.284729539924865,5.030588248686416,1.0,5,1,,,
51,8.0,4.497881878845977,4.090486294257513,1.0,0,2,,,
52,7.0,2.457726515603984,2.052434936177853,1.0,0,1,,,
53,8.0,4.802636914795527,4.18543640670192,1.0,6,2,,,
54,5.0,1.461909230449479,1.0725559595477252,1.0,0,2,,,
55,4.0,1.0211751843580954,0.2973788833518347,0.34693877551020413,0,1,,,
56,7.0,3.464233105124497,3.085476090456678,1.0,0,1,,,
57,6.0,1.8302788272034283,1.242641160966512,1.0,0,1,,,
58,7.0,2.9998507999058717,2.3086523162036925,1.0,6,1,,,
59,6.0,2.4640411985458592,2.0625805043279177,1.0,0,2,,,
60,8.0,4.150726517359928,3.362282458337334,1.0,0,2,,,
61,5.0,1.208329027661506,1.015329946074092,1.0,0,1,,,
62,8.0,3.3993518803024596,3.080822548226208,1.0,0,1,,,
63,7.0,2.53256247889286,2.0625422503749,1.0,0,2,,,
64,7.0,3.263275357812005,2.5348439619280128,1.0,0,1,,,
65,8.0,3.6917831379882973,3.149976138154818,1.0,6,1,,,
66,6.0,2.5652470016999573,2.145351142519693,1.0,4,2,,,
67,8.0,3.4702700912244673,3.0555144123965885,1.0,0,1,,,
68,6.0,2.309584947148396,2.038906126667513,1.0,5,2,,,
69,8.0,3.5923269785891336,3.10316867757232,1.0,0,2,,,
70,8.0,3.632046537070978,3.1371288798784054,1.0,0,1,,,
71,6.0,1.9010687496043537,1.308880668421589,1.0,0,1,,,
72,8.0,3.4616190773113833,3.046615738523175,1.0,2,2,,,
73,9.0,4.955820326013816,4.296275645822533,1.0,0,1,,,
74,6.0,3.029147444733332,2.504598347058159,1.0,4,1,,,
75,9.0,4.252742797778221,4.0215864092183295,1.0,4,2,,,
76,7.0,3.007900305398853,2.3699112332439416,1.0,6,1,,,
77,9.0,4.42158776271488,4.0452407157750825,1.0,0,1,,,
78,9.0,4.463388499055314,4.085393994797959,1.0,5,1,,,
79,8.0,4.818524668361961,4.2717875783627495,1.0,0,1,,,
80,7.0,2.8296109030488568,2.1771971871525952,1.0,0,1,,,
81,10.0,5.697280981416224,5.243565251612187,1.0,6,2,,,
82,7.0,3.431878380392875,3.060186620523231,1.0,0,2,,,
83,7.0,3.2903586929449213,2.388247422770117,1.0,5,1,,,
84,9.0,4.7939132612102116,4.191904939306275,1.0,8,1,,,
85,5.0,1.5419934693615764,1.0971988695286299,1.0,0,2,,,
86,3.0,0.24189064273073987,0.024268609416344313,0.136986301369863,1,1,,,
87,7.0,2.773410748095413,2.1668724729190454,1.0,0,1,,,
88,4.0,0.4357538970808556,0.054826952943973835,0.14344143441434415,2,1,,,
89,4.0,1.3170161969995826,1.045728512659029,1.0,0,1,,,
90,8.0,5.098438842738671,4.353824267372573,1.0,6,2,,,
