,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,4.0,0.49988294142900525,0.08088579992754677,0.2054794520547945,0,1,0.41400000000000003,1.0,25.456135962999998
1,8.0,3.7505881352689285,3.1344704025357157,1.0,0,2,,,
2,9.0,4.410613683439749,4.046253138462734,1.0,7,2,,,
3,8.0,3.4453887835802437,3.059936942217631,1.0,5,2,,,
4,7.0,2.6111779732536617,2.089772155161694,1.0,0,2,,,
5,9.0,5.5327239121905825,4.691195748515074,1.0,4,1,,,
6,8.0,3.4830990370844397,3.0859887634753704,1.0,0,2,,,
7,9.0,4.614677119030852,4.096094492311062,1.0,5,1,,,
8,9.0,4.894034593622952,4.1826231176956625,1.0,8,2,,,
9,8.0,4.771332423761026,4.20564783027645,1.0,6,2,,,
10,9.0,4.620243102729938,4.170695208366428,1.0,0,2,,,
11,7.0,2.507765888231362,2.0620741976510235,1.0,6,2,,,
12,8.0,4.29634137668925,4.026993899597484,1.0,6,2,,,
13,6.0,2.0172540662664122,1.2603559915097489,1.0,3,2,,,
14,6.0,2.5356871184039402,2.07253726651094,1.0,0,1,,,
15,4.0,0.3478797698149185,0.06079050455837284,0.23469387755102045,0,1,,,
16,8.0,3.6905889112114476,3.1209965329727214,1.0,0,2,,,
17,8.0,3.5378299088236513,3.0681287558076047,1.0,0,1,,,
18,7.0,2.8334584110549694,2.1933202676172456,1.0,4,2,,,
19,5.0,0.5643331819324684,0.07811509783520985,0.1643835616438356,1,1,,,
20,9.0,6.002913733568782,5.430817809913068,1.0,7,2,,,
21,7.0,2.96453500260073,2.2821242521942704,1.0,5,1,,,
22,9.0,4.920849520095353,4.220902835114721,1.0,4,1,,,
23,5.0,1.4552263354453308,1.0565961282358247,1.0,2,1,,,
24,9.0,5.342380127690925,5.034253989357036,1.0,8,2,,,
25,6.0,3.5852203960294333,3.1636180608748017,1.0,5,1,,,
26,8.0,3.449623300822486,3.0524471192594325,1.0,0,2,,,
27,7.0,3.5768376330184806,3.106043447599004,1.0,4,2,,,
28,9.0,4.484389072389018,4.0680016619307064,1.0,8,2,,,
29,5.0,1.6719985059811528,1.1553563334766541,1.0,0,1,,,
30,7.0,2.662958771681068,2.132844644344721,1.0,6,1,,,
31,4.0,0.6270797101669721,0.16075768447752198,0.33333333333333337,2,1,,,
32,8.0,3.669520892756191,3.1098517974858186,1.0,6,1,,,
