,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,4.0,0.6486170802369096,0.17431315538649708,0.35616438356164376,0,1,0.346,1.0,35.247473135999996
1,6.0,2.5629432005348742,2.123446972614469,1.0,4,1,,,
2,6.0,2.207213321653829,1.4114330809410105,1.0,5,1,,,
3,5.0,0.8102180563725643,0.15052736175046189,0.2666666666666666,3,1,,,
4,8.0,3.859203955778572,3.2256636516554367,1.0,5,2,,,
5,8.0,3.9293913607988475,3.2535628352724464,1.0,3,2,,,
6,6.0,3.298899427418189,3.057816158810871,1.0,5,1,,,
7,9.0,4.817135958170741,4.169039106443777,1.0,0,1,,,
8,8.0,4.201409808759705,3.347507698064949,1.0,7,1,,,
9,9.0,4.860855436746174,4.2029480117580365,1.0,0,2,,,
10,10.0,5.567670904954908,5.076751062934668,1.0,8,2,,,
11,5.0,0.4631244235115328,0.08213283596319015,0.2666666666666667,0,1,,,
12,10.0,5.376918514352086,5.03378135187508,1.0,8,2,,,
13,7.0,2.3498707803809027,2.0403065690364968,1.0,6,1,,,
14,7.0,3.583686752310564,3.106793605135536,1.0,0,1,,,
15,6.0,2.574455820086387,2.091121911689143,1.0,0,2,,,
16,8.0,4.372322364542898,4.067934360627932,1.0,6,1,,,
17,9.0,4.9100063738463415,4.213744397796069,1.0,7,2,,,
18,7.0,2.5844454339705285,2.0961338783553174,1.0,6,1,,,
19,9.0,4.9132320375061,4.257565701152741,1.0,7,2,,,
20,7.0,3.620920488265772,3.1330110707245034,1.0,5,1,,,
21,8.0,3.683790925817498,3.1296199347520517,1.0,0,1,,,
22,5.0,1.593985814353215,1.111351466343923,1.0,3,1,,,
23,8.0,3.9375837142196044,3.3292435296836835,1.0,0,1,,,
24,6.0,2.8228214884021705,2.269126360529559,1.0,0,2,,,
25,6.0,2.8436699177970444,2.344446556358583,1.0,0,1,,,
26,8.0,5.282952927609415,5.026800399414849,1.0,0,2,,,
27,6.0,3.5422502514204526,3.11700485703945,1.0,0,1,,,
