,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,3.106895864206579,3.004424232148985,1.0,8,0,0.6599999999999999,1.0,22.31389169577058
1,9.0,4.175923210830416,4.009294284349611,1.0,9,0,,,
2,9.0,4.250751664556065,4.022070181398448,1.0,9,0,,,
3,10.0,5.261477789997172,5.017651336438083,1.0,10,0,,,
4,7.0,2.440050133128864,2.1343546482445097,1.0,6,0,,,
5,8.0,3.5538237540954087,3.1347180127470105,1.0,8,0,,,
6,9.0,4.367253096133225,4.080876044784873,1.0,9,0,,,
7,10.0,5.612652163006771,5.148289703541707,1.0,10,0,,,
8,11.0,6.45789995073451,6.082965998204825,1.0,11,0,,,
9,11.0,6.5464985200133,6.202084204387067,1.0,11,0,,,
10,8.0,3.1358769107905604,3.0065877822013722,1.0,8,0,,,
11,8.0,3.4780330596357,3.099728234128221,1.0,8,0,,,
12,9.0,4.120055077796019,4.006527850038549,1.0,9,0,,,
13,9.0,4.502200387810902,4.100245917882192,1.0,9,0,,,
14,9.0,4.4891138648593865,4.128761655375356,1.0,9,0,,,
15,9.0,4.641068685424945,4.1914487478279625,1.0,9,0,,,
16,9.0,4.200140355830141,4.01347670591074,1.0,9,0,,,
17,10.0,5.39859711275633,5.071596431043034,1.0,10,0,,,
18,10.0,5.624366169437963,5.212812285830478,1.0,10,0,,,
19,9.0,4.3298898194710675,4.040563482020949,1.0,9,0,,,
20,11.0,6.322045099204859,6.047399691864674,1.0,11,0,,,
21,11.0,6.483240279695224,6.144238780479104,1.0,11,0,,,
22,9.0,4.512963279529574,4.136658960189688,1.0,9,0,,,
23,10.0,6.007612283129694,5.404915540388653,1.0,10,0,,,
24,10.0,5.609794423683255,5.202643977007067,1.0,10,0,,,
25,10.0,5.175456261222043,5.010055800420279,1.0,10,0,,,
26,9.0,4.673324879345904,4.284360110899312,1.0,9,0,,,
27,11.0,6.470150985848616,6.129158590322901,1.0,11,0,,,
28,10.0,5.225628615483419,5.017180759112592,1.0,10,0,,,
29,10.0,5.448514163440578,5.053400960081449,1.0,10,0,,,
30,10.0,5.176421448323079,5.010423325364059,1.0,10,0,,,
31,9.0,4.369114890932544,4.0410518290142745,1.0,9,0,,,
32,10.0,5.290756442140476,5.02988296852829,1.0,10,0,,,
33,10.0,5.159179107628326,5.00905186096411,1.0,10,0,,,
34,10.0,5.41769587748313,5.063605176350208,1.0,10,0,,,
35,9.0,4.584241468747521,4.255193991880432,1.0,9,0,,,
36,8.0,3.1028451750938,3.005535345406217,1.0,8,0,,,
37,10.0,5.170347723156263,5.0099552283892095,1.0,10,0,,,
38,10.0,5.5970891033470185,5.1426837339432305,1.0,10,0,,,
