,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,8.0,3.3513609345708524,3.065334386017183,1.0,0,0,0.8160000000000001,1.0,34.45716022912122
1,8.0,3.1626162575811567,3.0173696274330863,1.0,0,0,,,
2,8.0,3.511825648951499,3.1505139927991603,1.0,0,0,,,
3,6.0,1.8233615872563242,1.2734203334354492,1.0,0,0,,,
4,7.0,2.2368349503998757,2.019468304638996,1.0,0,0,,,
5,7.0,2.45156501701389,2.0651675923350856,1.0,0,0,,,
6,7.0,2.588866806598486,2.100530023411307,1.0,0,0,,,
7,7.0,2.380285457145691,2.0842883600068185,1.0,0,0,,,
8,8.0,3.8555558189606853,3.420147201365753,1.0,7,0,,,
9,6.0,2.044233149858193,1.5664568046896499,1.0,5,0,,,
10,8.0,3.5003756510132176,3.0746717175772598,1.0,0,0,,,
11,6.0,1.648348127623732,1.1351534551168987,1.0,5,0,,,
12,5.0,1.0151773164701998,0.5771269508152748,0.7328003369651763,4,0,,,
13,6.0,1.5853770809704004,1.1299053947210702,1.0,3,0,,,
14,6.0,1.6418529783211084,1.1853414051534623,1.0,4,0,,,
15,7.0,2.4730394375475795,2.084099052872743,1.0,0,0,,,
16,7.0,3.1425989217340473,2.4973684272125087,1.0,5,0,,,
17,7.0,2.553225739173228,2.1315644468776913,1.0,0,0,,,
18,8.0,3.107833963291771,3.003727484506041,1.0,0,0,,,
19,6.0,1.2517040275274787,1.0290814331074045,1.0,0,0,,,
20,6.0,1.355046137528515,1.054211825170207,1.0,0,0,,,
21,7.0,2.2982163268142424,2.0234171204147344,1.0,0,0,,,
22,7.0,2.2284919703977972,2.023682937321844,1.0,0,0,,,
23,6.0,2.2650062236406883,1.783354300185884,1.0,5,0,,,
24,5.0,0.6609373571005172,0.20457628484972543,0.4298295188644785,4,0,,,
25,6.0,1.6756148523863463,1.188327892960484,1.0,2,0,,,
26,9.0,4.114574131644698,4.004842085161774,1.0,0,0,,,
27,5.0,1.3822386392625488,0.8361012102013475,0.8132039306934868,4,0,,,
28,8.0,3.5603404941651484,3.082513972237808,1.0,0,0,,,
29,8.0,4.34406900475383,3.7857334748481053,1.0,7,0,,,
30,7.0,2.5452393744459156,2.1926289888080457,1.0,6,0,,,
31,6.0,1.3503631119651034,1.0744775051599278,1.0,3,0,,,
32,7.0,2.496701504037608,2.06765894668744,1.0,0,0,,,
33,8.0,3.1378125661187797,3.006556218579221,1.0,0,0,,,
34,7.0,2.5170486963894816,2.091032328485833,1.0,0,0,,,
35,7.0,2.520538499890128,2.1323248496967904,1.0,0,0,,,
36,5.0,0.4076757717869086,0.08678828935190863,0.2754833346170089,3,0,,,
37,6.0,1.6886456249197495,1.221034839078121,1.0,4,0,,,
38,8.0,3.134676145710823,3.00895056031226,1.0,0,0,,,
39,8.0,3.3676848366551138,3.1022267546601334,1.0,6,0,,,
40,8.0,3.343329050420992,3.05259970266795,1.0,0,0,,,
41,7.0,2.4181534161803575,2.0868225418363284,1.0,0,0,,,
42,7.0,3.159928971121425,2.968861239544582,1.0,6,0,,,
43,5.0,1.1282071792065873,0.5357099729857994,0.5863044225867443,4,0,,,
44,7.0,3.080322738460828,2.832532602422446,1.0,6,0,,,
45,8.0,3.7554471952760253,3.216300323430533,1.0,0,0,,,
46,6.0,1.2529525448641934,1.018450428160261,1.0,0,0,,,
47,7.0,2.752761802672836,2.1869360752748888,1.0,6,0,,,
48,8.0,3.825386897251495,3.2739682098134137,1.0,5,0,,,
49,7.0,2.297014627394801,2.037110030832127,1.0,0,0,,,
50,9.0,4.644095275492136,4.380496787122721,1.0,0,0,,,
