,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,3.2006403461188677,2.3833889367441508,1.0,12,0,1.0,1.0,8.366393105600036
1,13.0,1.9353087974289485,1.1803647706810623,1.0,12,0,,,
2,12.0,0.2904578003750004,0.039282187473730745,0.18125,11,0,,,
3,13.0,1.682701311233053,1.112888378332126,1.0,11,0,,,
4,13.0,2.3530010440485953,1.4930842255646433,1.0,13,0,,,
5,13.0,1.3766039646430666,1.0417738139371278,1.0,11,0,,,
6,13.0,1.4389980200962804,1.0503976327685334,1.0,13,0,,,
7,13.0,1.6799516749333805,1.111922277384421,1.0,11,0,,,
8,13.0,1.8456347881771689,1.1769552339212301,1.0,13,0,,,
9,14.0,2.714411202217563,2.102172488141991,1.0,0,0,,,
