,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,1.974651445457399,1.1677586605685593,1.0,11,0,0.99,1.0,55.470637535788995
1,14.0,2.9032313359478543,2.1273295465934385,1.0,0,0,,,
2,13.0,1.615061628364411,1.0898767223329733,1.0,10,0,,,
3,12.0,0.6891110028090534,0.08290554708280395,0.18566405773162842,0,0,,,
4,13.0,2.3184424527711247,1.4549684349882162,1.0,13,0,,,
5,13.0,1.5508268392373807,1.0709186523142116,1.0,11,0,,,
6,13.0,1.44619212910041,1.0495900716874575,1.0,13,0,,,
7,12.0,0.6883196300436856,0.08243582777843332,0.18568426370620728,0,0,,,
8,13.0,1.9001693471622092,1.1667499781865016,1.0,13,0,,,
9,13.0,1.7642350526108583,1.102902563779551,1.0,10,0,,,
10,12.0,0.6350868767668607,0.08054585097984812,0.1796875,11,0,,,
11,13.0,1.6579263000253741,1.101271718399676,1.0,11,0,,,
12,13.0,1.744666569415079,1.0935402876842004,1.0,12,0,,,
13,13.0,1.5812532147088247,1.072995865556821,1.0,12,0,,,
14,12.0,0.7708602836240205,0.12835481392725978,0.20734983682632446,11,0,,,
15,14.0,3.391599208138053,2.461312785191637,1.0,0,0,,,
16,12.0,0.9558415688066695,0.29283049057983035,0.452925672113864,11,0,,,
17,13.0,1.5245153778716165,1.070891654808105,1.0,11,0,,,
18,12.0,1.8199617222041489,0.6662441573094116,0.49952223896980286,12,0,,,
19,13.0,1.8315675396133617,1.1636156203246433,1.0,12,0,,,
20,14.0,3.977593674005003,2.862001684118276,1.0,0,0,,,
21,12.0,0.7440444655218729,0.09956149953970171,0.1818181363481292,11,0,,,
22,13.0,1.7883304336557453,1.1771635788879766,1.0,12,0,,,
23,13.0,2.7295547566918765,1.5894801123842617,1.0,0,0,,,
24,13.0,1.537064117564427,1.0685678748529097,1.0,12,0,,,
25,14.0,3.539310920661137,2.5734435059836085,1.0,0,0,,,
26,14.0,2.8573663352277294,2.1229608920651835,1.0,0,0,,,
27,13.0,1.8136422403892587,1.1099619152000222,1.0,0,0,,,
28,13.0,1.5704472769295041,1.0843648242780093,1.0,13,0,,,
29,14.0,4.238084060260437,3.065284541153777,1.0,0,0,,,
30,12.0,0.5895420391687294,0.07558269027319862,0.1782306432723999,11,0,,,
31,12.0,1.1194076669910975,0.2538189285870511,0.3221747875213623,11,0,,,
32,12.0,0.5649178460267186,0.06998269810787587,0.16562500000000002,11,0,,,
33,13.0,1.751730831677492,1.1215649511672332,1.0,12,0,,,
34,13.0,1.4857407350931726,1.0601089568209716,1.0,13,0,,,
35,13.0,2.220133530623644,1.488329877270473,1.0,12,0,,,
36,13.0,3.2218929012437223,2.2309299150839044,1.0,12,0,,,
37,12.0,0.46404379737358503,0.05071366854877806,0.1765625,11,0,,,
38,13.0,1.669151058209606,1.127568311938987,1.0,12,0,,,
39,14.0,3.055390797070321,2.2533574600165434,1.0,0,0,,,
40,12.0,1.0658857663196908,0.32660426969511974,0.40556818788701837,11,0,,,
41,13.0,1.5215651781960762,1.0631258664458643,1.0,12,0,,,
42,14.0,2.8794200316161516,2.128379210608559,1.0,0,0,,,
43,12.0,0.5098494169954221,0.06610026951437767,0.178125,11,0,,,
44,13.0,1.682786656768731,1.083387906282097,1.0,12,0,,,
45,12.0,0.6883181101252438,0.08244157408569425,0.18569475412368774,0,0,,,
46,14.0,2.904671542147157,2.127753923599482,1.0,0,0,,,
47,12.0,0.6325947687083806,0.08007381475403924,0.17859280109405518,11,0,,,
48,12.0,1.9778913798238993,0.8332585929013724,0.6352813243865967,11,0,,,
49,13.0,1.4143966399839951,1.0527209487892117,1.0,11,0,,,
50,12.0,1.0926865589449366,0.21506009769695375,0.27097219228744507,11,0,,,
