,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,2.0908516849409096,1.262554804601467,1.0,12,0,0.994,1.0,58.14393871747103
1,13.0,1.9709584248760768,1.2091856356377986,1.0,12,0,,,
2,13.0,1.8926682050455481,1.212755271050599,1.0,12,0,,,
3,12.0,0.9709931219878253,0.20917462561738948,0.34202414751052856,11,0,,,
4,13.0,2.360346935519717,1.5397810378681804,1.0,13,0,,,
5,13.0,1.3777636382708054,1.0411063385800483,1.0,11,0,,,
6,13.0,1.3958401971458236,1.0494689433578093,1.0,12,0,,,
7,12.0,0.5569381600787047,0.07273282589352273,0.17249327898025513,0,0,,,
8,13.0,1.729966944726975,1.14572988114152,1.0,12,0,,,
9,13.0,1.9031882615341982,1.213433206165023,1.0,12,0,,,
10,13.0,1.567828113453567,1.074260522507937,1.0,10,0,,,
11,13.0,1.4158460983144034,1.0515762832764493,1.0,11,0,,,
12,12.0,0.9726460386224253,0.2141799174706104,0.34202414751052856,11,0,,,
13,13.0,1.5183719977180241,1.0850765339210526,1.0,12,0,,,
14,13.0,1.6544531604195785,1.1017314073822597,1.0,10,0,,,
15,12.0,1.0940707713544733,0.2505278342314787,0.4229759004983036,11,0,,,
16,12.0,1.5386079217946746,0.46226961583395526,0.45289638642812263,11,0,,,
17,13.0,1.707335207802332,1.102611105433168,1.0,11,0,,,
18,13.0,2.111711709522193,1.2727142469929142,1.0,12,0,,,
19,12.0,1.117143446181624,0.27791148344387007,0.3450296223163605,11,0,,,
20,12.0,1.6459044009802672,0.6411282669854422,0.5461320281028748,11,0,,,
21,12.0,0.8284333055017978,0.1100978536101314,0.18181818181818152,11,0,,,
22,12.0,1.3121556910170944,0.39132664880159357,0.440632222003715,11,0,,,
23,13.0,2.85412736361844,1.6745675852557687,1.0,12,0,,,
24,13.0,1.3913303946041682,1.0671076543040314,1.0,12,0,,,
25,12.0,0.9895888172699551,0.2598876118731158,0.3732454830949957,11,0,,,
26,13.0,2.1548984449950286,1.2731763249770762,1.0,12,0,,,
27,13.0,2.095445452745533,1.2382297109823426,1.0,12,0,,,
28,13.0,1.8482914734479994,1.1681641912170966,1.0,12,0,,,
29,12.0,2.319730870711619,1.2157686581501155,0.7070462703704834,11,0,,,
30,13.0,1.5037087429925615,1.064233451366095,1.0,9,0,,,
31,12.0,1.172565740941439,0.30536630540434523,0.3403480648994446,11,0,,,
32,12.0,0.6336460087953109,0.10730343762841583,0.22457791187546472,11,0,,,
33,12.0,1.039369130961031,0.24098275917448875,0.3468475639820099,11,0,,,
34,13.0,1.3768674830868288,1.0489568171715469,1.0,13,0,,,
35,13.0,2.2840087033049277,1.5465428457393817,1.0,12,0,,,
36,13.0,2.2944255716839863,1.2963057216917206,1.0,12,0,,,
37,12.0,0.6320375320546155,0.07769984365202434,0.178125,11,0,,,
38,13.0,1.84985799088269,1.1984331480284733,1.0,12,0,,,
39,12.0,0.9308504189389927,0.2754162513434224,0.44878275015137414,11,0,,,
40,13.0,1.9077951956370447,1.2032621797418586,1.0,12,0,,,
41,12.0,1.0695032043239594,0.23163124622390008,0.35230469703674316,11,0,,,
42,12.0,0.5744764311262558,0.08644452955353701,0.19091439247131348,11,0,,,
