,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,11.0,0.5937526457635056,0.10653234680129252,0.2531386370008642,0,0,0.918,1.0,34.939464070140964
1,12.0,1.0892014933327265,0.2381489308241819,0.3279752731323242,11,0,,,
2,13.0,1.6328269417513281,1.0911076409830425,1.0,0,0,,,
3,12.0,1.5154213967603438,1.0850054141592123,1.0,0,0,,,
4,12.0,2.180852482570934,1.4625581366934715,1.0,0,0,,,
5,12.0,0.7357896141979757,0.14189059033045645,0.2626575827598572,0,0,,,
6,12.0,0.6905157013210274,0.1311940875047984,0.25994518399238586,0,0,,,
7,12.0,1.5120538093997482,1.0838041668955845,1.0,12,0,,,
8,12.0,1.6720745818095777,1.146705421808116,1.0,0,0,,,
9,13.0,1.672972086216434,1.095250630814814,1.0,0,0,,,
10,12.0,1.0435295832851954,0.2142735539465479,0.31833845376968384,7,0,,,
11,13.0,3.444101063882759,3.048141718289545,1.0,12,0,,,
12,12.0,0.9603385165600172,0.16619371296728275,0.24309146404266357,0,0,,,
13,12.0,0.8503384623916186,0.16471182906085194,0.2907634973526001,0,0,,,
14,12.0,0.9187764068986126,0.19971891420793786,0.3198237419128418,10,0,,,
15,11.0,0.6843458790521766,0.16031916585603376,0.35654625567522924,0,0,,,
16,12.0,2.6511976424170074,1.7154013230736873,1.0,11,0,,,
17,13.0,3.5287081538477176,3.078296878628722,1.0,12,0,,,
18,12.0,1.0328211937748581,0.27393581578728216,0.33453917503356934,0,0,,,
19,12.0,2.309144602874228,2.0224595093868114,1.0,11,0,,,
20,12.0,1.6017593962903456,1.1109918087488435,1.0,12,0,,,
21,11.0,0.5635204231634744,0.06852314687239627,0.18181818181818082,0,0,,,
22,12.0,0.985777606753156,0.22007428199733103,0.32133403212525125,0,0,,,
23,12.0,2.6685106367616958,1.6593071165312647,1.0,0,0,,,
24,13.0,3.759633411538685,3.1998952908205056,1.0,12,0,,,
25,12.0,0.9014674542691723,0.19421978084608055,0.31468039751052856,0,0,,,
26,12.0,1.3239810065931799,1.0716924625255944,1.0,0,0,,,
27,13.0,2.2535776982526974,1.3053018046658298,1.0,0,0,,,
28,11.0,0.47140059930857,0.07691446973071474,0.2389812848784707,0,0,,,
29,12.0,0.9179652079100453,0.20725728319420014,0.30714706399224023,0,0,,,
30,12.0,0.8393751117588261,0.146585426935537,0.29189085960388184,8,0,,,
31,12.0,0.9588615728119441,0.18704020893660472,0.2918187975883484,0,0,,,
32,12.0,2.3550490680672005,2.032757219603366,1.0,11,0,,,
33,12.0,2.4674298631964007,2.0538716402008323,1.0,11,0,,,
34,12.0,0.8038591094536874,0.1333436659360822,0.23169350624084473,0,0,,,
35,13.0,3.3715239895084923,3.0350325155619107,1.0,12,0,,,
36,12.0,1.6688011224744814,0.7217768004715119,0.6125660240650177,0,0,,,
37,13.0,1.928498746933496,1.1309754563955086,1.0,0,0,,,
38,13.0,1.9400299257375755,1.1833921052078602,1.0,0,0,,,
39,13.0,1.6869020574562175,1.1103169548385405,1.0,0,0,,,
40,12.0,1.016456915536844,0.2759974261628081,0.39326423948461364,0,0,,,
41,12.0,1.1751664201534355,0.3226378207388674,0.38721815564415674,9,0,,,
42,12.0,0.987412844260755,0.22834145739491093,0.33363574743270874,8,0,,,
43,12.0,1.3611004770317294,1.030232953489919,1.0,0,0,,,
44,12.0,0.9299964502543809,0.16291317246743175,0.2934129238128662,4,0,,,
45,13.0,1.5682177643564772,1.080235755330761,1.0,0,0,,,
46,13.0,1.7838979182984842,1.1197635857230726,1.0,0,0,,,
47,12.0,1.0066153792519485,0.18449037597400972,0.24708297848701477,0,0,,,
48,13.0,3.859819419995345,3.23082229389969,1.0,12,0,,,
49,11.0,0.411314330147102,0.05181584491755808,0.18871384859085083,0,0,,,
50,11.0,0.39464826925627283,0.047158320346409176,0.18000531196594238,0,0,,,
51,12.0,1.0058835627939462,0.256729440966683,0.3282555937767029,0,0,,,
52,13.0,1.8528199961140626,1.168097521038368,1.0,0,0,,,
53,12.0,0.6378663381104268,0.10766456389630268,0.22435879707336426,0,0,,,
54,13.0,1.899571980869689,1.1415528403521387,1.0,0,0,,,
55,12.0,0.8617648058730072,0.17805672853752982,0.3171365261077881,9,0,,,
56,12.0,1.0935576218733374,0.24514895480388565,0.3082731474529613,0,0,,,
57,12.0,0.9882714771108804,0.1730063268252645,0.28737545013427734,5,0,,,
58,12.0,2.5132442472002023,2.077383763431567,1.0,11,0,,,
59,11.0,0.624333367880886,0.09116053970680658,0.22407919710332697,0,0,,,
60,12.0,1.7459304648686613,1.17750986194576,1.0,11,0,,,
61,12.0,1.7465817884394588,1.1255293647276639,1.0,0,0,,,
62,13.0,1.7464265746239154,1.109771712477057,1.0,0,0,,,
63,12.0,3.090323556798481,2.1410117593612847,1.0,11,0,,,
64,12.0,1.4813479084090673,1.0734297626426685,1.0,12,0,,,
65,11.0,1.184897263994003,0.4758309745224409,0.6045332876118747,0,0,,,
66,12.0,2.678334629453296,2.114006634814883,1.0,11,0,,,
67,12.0,0.8980415239963598,0.18233295548576178,0.2595812976360321,0,0,,,
68,13.0,2.2197161675877433,1.2631022273246466,1.0,0,0,,,
69,13.0,3.2559111511854018,3.0158544208839664,1.0,12,0,,,
70,12.0,2.695377006543482,2.0945377758761166,1.0,11,0,,,
71,12.0,0.79090047220302,0.1430437462829043,0.2999769449234009,0,0,,,
72,13.0,3.3477645156436373,3.0362004111941165,1.0,12,0,,,
73,12.0,0.630113094450233,0.11437758151003445,0.2941516637802124,9,0,,,
74,13.0,3.7098468979741286,3.1930239882466465,1.0,12,0,,,
75,12.0,1.575190798769639,1.0968499499757642,1.0,0,0,,,
76,13.0,3.8626721390875005,3.2300625801836835,1.0,12,0,,,
77,12.0,0.9409222560606179,0.21443320730782056,0.31085824966430664,0,0,,,
78,12.0,2.490513339945485,2.039974765522123,1.0,11,0,,,
79,13.0,1.6089646579090717,1.083897128304927,1.0,0,0,,,
80,12.0,2.0600072396307985,1.339131069409396,1.0,12,0,,,
81,11.0,0.510856637136335,0.07682064403935335,0.220328688621521,0,0,,,
82,12.0,0.713804232585372,0.12699205199004213,0.23569190502166748,0,0,,,
83,12.0,1.597278013851761,1.1330130825423037,1.0,0,0,,,
84,13.0,3.4037199415749817,3.032667894628817,1.0,12,0,,,
85,12.0,0.7373081911034599,0.1511144106409134,0.24525201320648193,0,0,,,
86,12.0,2.3534114714831955,2.0324300464372747,1.0,11,0,,,
87,12.0,1.5916088458999198,1.103554080795423,1.0,11,0,,,
88,12.0,0.9486656619723765,0.16781198213937595,0.2896745204925537,0,0,,,
89,13.0,1.9850149213003085,1.250053404545679,1.0,0,0,,,
90,11.0,0.8207858149001792,0.2754200984089211,0.49232596429911535,0,0,,,
91,13.0,3.441662429476842,3.047583609226669,1.0,12,0,,,
92,11.0,0.19255993084300643,0.013367001742273982,0.08469891548156738,0,0,,,
93,13.0,1.6749505892252798,1.0989203756235293,1.0,0,0,,,
94,12.0,1.4804182387287117,1.0728642212162065,1.0,0,0,,,
95,12.0,1.5520217452437914,0.5447660666582361,0.5171185786073859,10,0,,,
96,12.0,2.4440369287576065,2.0479785159263826,1.0,11,0,,,
97,13.0,3.463540313586174,3.050743637998408,1.0,12,0,,,
98,11.0,0.5339922464274678,0.09291213788811678,0.2387643510645086,0,0,,,
99,11.0,0.7100364600845374,0.21995837442600333,0.44963670047846716,0,0,,,
