,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,12.0,1.0107102208462846,0.28043067807350897,0.41718750000000004,11,0,0.744,1.0,48.1853105704303
1,13.0,1.9486223889092036,1.182511686764083,1.0,0,0,,,
2,14.0,2.6964736457098395,2.101450865649543,1.0,0,0,,,
3,13.0,2.0827725245434765,1.4079870191049506,1.0,12,0,,,
4,13.0,2.827672615767465,1.7397223135612703,1.0,0,0,,,
5,13.0,1.7082288971538597,1.1302465483921496,1.0,0,0,,,
6,13.0,1.6831581407062632,1.1178102897729492,1.0,0,0,,,
7,13.0,2.0816112861716025,1.407565271926382,1.0,12,0,,,
8,13.0,1.7696092694067027,1.1455047660124418,1.0,0,0,,,
9,14.0,2.6945633025421936,2.0986456881594466,1.0,0,0,,,
10,13.0,1.9475895596245356,1.1740605025333297,1.0,0,0,,,
11,14.0,3.5439075872058177,3.058132196936753,1.0,13,0,,,
12,13.0,1.8618589964597902,1.137532359086748,1.0,0,0,,,
13,13.0,1.7772778306396044,1.1359434471179168,1.0,0,0,,,
14,13.0,1.8581939181233593,1.1539725417036493,1.0,0,0,,,
15,12.0,1.141776933167472,0.37038739495399825,0.45937500000000003,11,0,,,
16,14.0,3.981425728709719,2.9769327403636066,1.0,13,0,,,
17,13.0,1.7460774230887035,1.1352063957157288,1.0,0,0,,,
18,12.0,0.9081783656643743,0.29871462500354845,0.496875,11,0,,,
19,14.0,2.4992183802030663,2.075800295485119,1.0,0,0,,,
20,13.0,2.015820525383516,1.282438691289225,1.0,12,0,,,
21,14.0,2.8604583361733775,2.12964890325342,1.0,0,0,,,
22,13.0,2.0576622824470956,1.3299545639131676,1.0,12,0,,,
23,13.0,2.6129914365319644,1.5382845937514418,1.0,0,0,,,
24,13.0,1.7418849743941454,1.124571081090196,1.0,0,0,,,
25,13.0,1.9260659633424297,1.1955940991623857,1.0,0,0,,,
26,13.0,1.8466703280664007,1.1973458794796468,1.0,0,0,,,
27,14.0,3.2565595100145535,2.308588424205852,1.0,0,0,,,
28,12.0,0.9468934403138953,0.3028248757300753,0.475,11,0,,,
29,13.0,1.920395128267872,1.207589995901405,1.0,0,0,,,
30,13.0,1.8619135054947116,1.1545117708356267,1.0,0,0,,,
31,13.0,1.8939880264500208,1.1546195625046087,1.0,0,0,,,
32,14.0,2.5960908123644018,2.088058404087091,1.0,0,0,,,
33,13.0,2.567019425612477,2.0638102268525254,1.0,12,0,,,
34,13.0,1.9357937541055277,1.2443862659505298,1.0,12,0,,,
35,14.0,3.471107859680993,3.0449860131319677,1.0,13,0,,,
36,13.0,2.664501869387398,1.7270278882352208,1.0,0,0,,,
37,12.0,1.2914069967196584,0.4021335063504476,0.4703125,11,0,,,
38,14.0,2.874582505855755,2.15410989421159,1.0,0,0,,,
39,14.0,2.6851169877521617,2.110046589802197,1.0,0,0,,,
40,13.0,2.0060251720735667,1.275005732794663,1.0,0,0,,,
41,13.0,2.11796804468995,1.2908102643951005,1.0,0,0,,,
42,13.0,1.880692694743696,1.1933818821778992,1.0,0,0,,,
43,13.0,1.7707066238441684,1.1978598878829152,1.0,12,0,,,
44,13.0,2.0368442431182268,1.2128442524542695,1.0,5,0,,,
45,14.0,2.575181971052034,2.0811533673020297,1.0,0,0,,,
46,14.0,2.7683247147347942,2.1115253889697922,1.0,0,0,,,
47,13.0,1.9942700234554587,1.1819672988311734,1.0,0,0,,,
48,14.0,3.9602380234156027,3.240830279335584,1.0,13,0,,,
49,12.0,0.9081931150420453,0.2987017370398651,0.496875,11,0,,,
50,13.0,1.9519383207053542,1.1711558245628453,1.0,0,0,,,
51,13.0,2.069982942311067,1.2373593580781599,1.0,5,0,,,
52,14.0,2.8552354743435853,2.16883790677728,1.0,0,0,,,
53,13.0,1.6526296358854886,1.1112593713156032,1.0,0,0,,,
54,14.0,2.8705101269840383,2.136870042580007,1.0,0,0,,,
55,13.0,1.804975020249457,1.141922872034909,1.0,0,0,,,
56,13.0,2.0873567122587744,1.241213404693746,1.0,0,0,,,
57,13.0,2.0679127894716443,1.217475440536252,1.0,4,0,,,
58,14.0,2.6871780295609726,2.096101287531864,1.0,0,0,,,
59,12.0,1.0536473553744017,0.27557234766920935,0.42968750000000006,11,0,,,
60,13.0,2.2747832831961725,1.346423923178506,1.0,0,0,,,
61,13.0,2.0215593814955235,1.1921569189216594,1.0,0,0,,,
62,14.0,2.7524961156013936,2.1115620454761412,1.0,0,0,,,
63,13.0,3.1901417030272707,2.1512189500881242,1.0,12,0,,,
64,13.0,1.9687718804864074,1.3110609782096287,1.0,12,0,,,
65,12.0,1.6568075746652715,0.6983678203710889,0.6042175022038547,11,0,,,
66,12.0,0.9817931328474165,0.25438615433421197,0.41406250000000006,11,0,,,
