,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,4.0,2.2167019027484143,1.2716377849988154,0.7272727272727273,0,1,0.8591836734693877,0.98,4.1968003130000024
1,7.0,1.5610179336922458,0.7471997751525499,0.627906976744186,5,1,,,
2,11.0,3.034263478635427,2.339608720385748,1.0,8,2,,,
3,8.0,3.866568898333747,2.8527136386438885,1.0,4,1,,,
4,11.0,2.849037384628048,1.7242280078692012,1.0,9,2,,,
5,7.0,2.3032744057307486,1.5273831199124537,1.0,3,2,,,
6,5.0,2.209708895755407,1.5272493063446024,1.0,3,1,,,
7,11.0,4.854515956979869,3.791353070813475,1.0,6,2,,,
8,7.0,0.7739654423411443,0.2877248365791868,0.5,5,1,,,
9,8.0,2.0426608099212338,1.044784175309921,0.7272727272727273,4,1,,,
10,7.0,1.4712743439486562,0.732242510195285,0.627906976744186,5,1,,,
11,7.0,2.1554183857817053,1.4093525864475707,1.0,6,1,,,
12,8.0,2.5626820003418302,1.2480577781258955,0.6046511627906976,5,1,,,
13,9.0,1.4058707690852348,0.4738308538529089,0.5,6,1,,,
14,6.0,1.9750961035843693,1.3208711186493898,0.9090909090909092,4,1,,,
15,8.0,2.26492941738576,0.9953951253894943,0.6046511627906976,5,1,,,
16,10.0,3.020475744853948,1.9314281136557567,1.0,6,1,,,
17,9.0,2.266101543747037,1.4329326216537752,1.0,7,1,,,
18,5.0,1.7877974738439852,0.8673365695087888,0.5454545454545455,3,1,,,
19,11.0,3.6539441684617175,2.618871690463148,1.0,9,2,,,
20,10.0,3.150640204821914,1.8582642348715435,1.0,8,1,,,
21,10.0,3.7487166934762466,2.7345477344004068,1.0,6,2,,,
22,7.0,3.059513742071882,2.106442749471234,1.0,4,1,,,
23,7.0,2.4422211179332747,1.5969238320355013,1.0,5,2,,,
24,8.0,2.4574141076917084,1.2801773504747747,0.8181818181818181,4,1,,,
25,9.0,1.6518832265633934,0.617233135122949,0.5,7,1,,,
26,10.0,2.642766222523381,1.741613411196634,1.0,8,1,,,
27,8.0,1.327674337664055,0.39073713797431864,0.4545454545454545,6,1,,,
28,10.0,3.0039889365207757,1.8235671339332964,1.0,6,1,,,
29,12.0,4.549676454294158,3.110399172903359,1.0,10,2,,,
30,10.0,3.4905586051999458,2.5775378208302753,1.0,8,2,,,
31,8.0,2.9934574966364655,2.376168240494265,1.0,6,2,,,
32,9.0,2.653463859859102,1.4599255023313078,0.8181818181818181,5,1,,,
33,12.0,3.7671972825660123,2.420664332553498,1.0,9,1,,,
34,10.0,2.7719914311194995,1.6514456771604384,1.0,7,2,,,
35,9.0,2.9141721641458638,2.383430939610441,1.0,6,2,,,
36,9.0,2.6840395861962674,1.6287344657611418,1.0,8,1,,,
37,6.0,1.4054016837591883,0.7100786050142087,0.627906976744186,4,1,,,
38,11.0,2.9204956420247687,1.782043464408666,1.0,7,2,,,
39,8.0,2.1222441419580518,1.371823903580208,1.0,6,1,,,
40,9.0,2.402721438969855,1.5383078293745407,1.0,6,1,,,
41,9.0,3.0414587940344866,2.0493172736069853,1.0,6,1,,,
42,9.0,3.3239215278225016,2.3081657474445736,1.0,7,2,,,
43,6.0,2.905706349300469,1.9702701714877109,1.0,2,1,,,
44,6.0,1.358304119324437,0.4619333517238798,0.5,3,1,,,
45,9.0,1.6978071135046813,0.7219826534042564,0.5454545454545454,6,1,,,
46,10.0,3.488602456220043,2.3466303735629075,1.0,5,2,,,
47,9.0,1.3706046867037969,0.536978181109982,0.5,7,1,,,
48,8.0,2.2690167755221986,1.5254648219990887,1.0,6,1,,,
49,5.0,1.9453027592562475,1.3574864830202245,1.0,2,1,,,
50,7.0,1.5003575000692615,0.6436434017513606,0.5348837209302325,4,0,,,
51,5.0,2.3672683905242042,1.240113823897536,0.7272727272727273,1,1,,,
52,8.0,1.5712522511154619,0.5622863698067465,0.4651162790697675,6,1,,,
53,8.0,3.6492573318154715,2.927613032179978,1.0,5,2,,,
54,5.0,0.8905559545931552,0.3311496730571757,0.5,3,1,,,
55,7.0,2.7085433945899062,1.7595236365210307,1.0,5,1,,,
56,7.0,1.1812681174453903,0.3033248839632601,0.3953488372093023,3,1,,,
57,8.0,3.432812805487118,2.7307632202544565,1.0,5,1,,,
58,11.0,3.545992699256695,2.624320398335472,1.0,5,2,,,
59,8.0,3.2589853614417046,2.229838007682027,1.0,5,1,,,
60,9.0,1.5059815422426959,0.5128805347793503,0.5,6,1,,,
61,3.0,1.0687374640863012,0.47889408058011756,0.5116279069767441,1,1,,,
62,8.0,2.134197544472727,1.3686686756626572,1.0,5,1,,,
63,7.0,1.4846197975507047,0.6566132486119048,0.6744186046511628,4,1,,,
64,9.0,2.9247686396856922,1.8590948074026827,1.0,6,1,,,
65,9.0,2.6309970706627155,1.6027328978731687,1.0,7,1,,,
66,9.0,3.1377096917188045,1.8960633681013739,1.0,5,2,,,
67,10.0,2.4371716598183957,1.5465609889899785,1.0,4,2,,,
68,9.0,2.6956800861534433,1.6425573504614073,1.0,5,2,,,
69,10.0,3.788138065867966,2.6748005216069997,1.0,8,2,,,
70,9.0,2.413553642684129,1.3316139397652724,0.8181818181818181,7,1,,,
71,6.0,2.547527759659631,2.165291659915757,1.0,5,0,,,
72,11.0,4.767490873107513,3.330991170591606,1.0,11,1,,,
73,9.0,2.6048162116129965,1.5575787878968472,1.0,6,1,,,
74,9.0,2.4300911666218292,1.2344581993295924,0.6363636363636364,8,1,,,
75,8.0,2.9635657497059196,2.250410564858635,1.0,7,1,,,
76,7.0,1.246123259203532,0.5004837863817193,0.5813953488372093,5,1,,,
77,10.0,3.808339886973382,2.6310023599391856,1.0,10,1,,,
78,10.0,2.8075210647318842,1.5820792718266896,1.0,5,1,,,
79,6.0,1.0937010333666781,0.3776186570246622,0.5116279069767442,3,1,,,
80,9.0,1.7591916764417925,0.6291681685025393,0.5,7,1,,,
81,6.0,3.1666395619883994,2.127442501855812,1.0,2,2,,,
82,11.0,2.430555110508418,1.4527839846136668,1.0,11,1,,,
83,9.0,3.567473702331012,2.3843806339346307,1.0,6,1,,,
84,10.0,3.110231898022489,2.3310639566218727,1.0,7,2,,,
85,8.0,3.134561844461019,1.966457699787055,1.0,7,1,,,
86,8.0,4.524998805362125,3.3663127067468523,1.0,3,2,,,
87,11.0,4.184309368412361,3.020211231529425,1.0,9,2,,,
88,8.0,1.6990277778065714,0.6161760334849375,0.5,7,1,,,
89,8.0,3.408635432472535,2.5968972637571026,1.0,6,2,,,
90,8.0,3.903336585894725,2.841610456666913,1.0,4,2,,,
91,8.0,2.1907115151014467,1.429169795156615,1.0,7,1,,,
92,8.0,1.5767857363549234,0.6165054584172822,0.5,7,1,,,
93,9.0,3.786301219208804,2.782341923502634,1.0,9,2,,,
94,9.0,1.7169249180874162,1.2627258625946092,1.0,8,2,,,
95,6.0,2.3460465478849777,1.6226448064823022,1.0,3,2,,,
96,8.0,2.053886476036192,1.2144370449821933,0.8181818181818181,6,1,,,
97,9.0,3.626328966697803,2.8142116661566576,1.0,8,1,,,
