,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,13.0,1.7537501176990096,1.0624752664198007,1.0,9,0,0.922,1.0,0.007274698000000015
1,13.0,1.3674483978941099,1.0152144364933522,1.0,10,0,,,
2,13.0,1.0024594307746795,1.000000729701966,1.0,12,0,,,
3,13.0,1.3490539186718813,1.0136060296352392,1.0,9,0,,,
4,13.0,1.0072655185695145,1.0000058787482267,1.0,12,0,,,
5,13.0,1.0077134321122607,1.0000075114413107,1.0,12,0,,,
6,13.0,1.0025781073136693,1.0000007886495668,1.0,12,0,,,
7,13.0,1.307585595001127,1.012938554889703,1.0,9,0,,,
8,13.0,1.0054352181362556,1.000004210920696,1.0,12,0,,,
9,13.0,1.109216228685977,1.001334738875664,1.0,7,0,,,
10,12.0,0.03523334614563256,0.00017907914077512838,0.008710858088230605,10,0,,,
11,13.0,1.2296339851125033,1.0057899566301505,1.0,10,0,,,
12,13.0,1.0049711297731942,1.0000033136496276,1.0,12,0,,,
13,12.0,0.1672364848132742,0.0036931289885149847,0.030579556314183434,9,0,,,
14,13.0,1.003213248047514,1.0000011504471085,1.0,12,0,,,
15,12.0,0.4774114767542053,0.032506508514688795,0.11600570514044778,9,0,,,
16,12.0,0.03770398415713056,0.00018081586114850696,0.006501345592964225,8,0,,,
17,13.0,1.1622896094422053,1.0039496922922444,1.0,10,0,,,
18,13.0,1.1592388615320552,1.0035876237612753,1.0,7,0,,,
19,13.0,1.0003163059056108,1.0000000097461585,1.0,12,0,,,
20,13.0,1.0019076585167872,1.0000003993215085,1.0,12,0,,,
21,13.0,1.002022458686607,1.0000006249811273,1.0,12,0,,,
22,13.0,1.2060437806518358,1.0055631896112545,1.0,5,0,,,
23,14.0,2.509987848356554,2.0259381367860234,1.0,10,0,,,
24,13.0,1.0014603286007826,1.0000003098905987,1.0,12,0,,,
25,13.0,1.508274071734726,1.0493613771782337,1.0,10,0,,,
26,12.0,0.2281597828501878,0.006387084620589267,0.04028047309241001,9,0,,,
27,13.0,1.0000293452823221,1.000000000097672,1.0,12,0,,,
28,13.0,1.0030443534993756,1.0000010822477943,1.0,12,0,,,
29,12.0,0.251727414736446,0.007271938096880514,0.050887424784438307,7,0,,,
30,13.0,1.0081349516137024,1.0000084947513455,1.0,12,0,,,
31,13.0,1.000797583483322,1.000000073304185,1.0,12,0,,,
32,13.0,1.0065078861663648,1.0000051346640613,1.0,12,0,,,
33,13.0,1.2507650843308087,1.0094523271995446,1.0,12,0,,,
34,12.0,0.11477447008334712,0.0014241276484542654,0.020655460491704112,11,0,,,
35,13.0,1.0024650665977333,1.0000009222109576,1.0,12,0,,,
36,13.0,1.2370661986177391,1.0089368777868333,1.0,9,0,,,
37,13.0,1.003727862800386,1.0000018887791586,1.0,12,0,,,
38,13.0,1.1146583282699054,1.0017058357922255,1.0,10,0,,,
39,13.0,1.3005765565983203,1.0128811924835077,1.0,9,0,,,
40,12.0,0.011028646690961734,1.4606435317931833e-05,0.0024975633641303382,9,0,,,
41,13.0,1.003584610862555,1.000001653095029,1.0,12,0,,,
42,12.0,0.32332170600075866,0.011449241715273274,0.06493197656472954,8,0,,,
43,13.0,1.2671287851067452,1.0139390989062467,1.0,6,0,,,
44,13.0,1.370985859204852,1.0212120677975778,1.0,10,0,,,
45,13.0,1.0009221651890525,1.000000114776127,1.0,12,0,,,
46,13.0,1.0006993094340888,1.0000000620326392,1.0,12,0,,,
47,13.0,1.6939095564974884,1.054681572112751,1.0,9,0,,,
48,13.0,1.000559527932651,1.0000000541967735,1.0,12,0,,,
49,13.0,1.0003731344322209,1.0000000177476962,1.0,12,0,,,
50,13.0,1.001745757036893,1.0000003675776197,1.0,12,0,,,
51,13.0,1.0091547735593338,1.0000108962322047,1.0,12,0,,,
52,13.0,1.1265801999857639,1.002467423010456,1.0,10,0,,,
53,13.0,1.0058365345327995,1.0000035383251806,1.0,12,0,,,
54,13.0,1.3403470248593667,1.0185684286161902,1.0,10,0,,,
55,13.0,1.0030632168781035,1.0000012635829285,1.0,12,0,,,
56,13.0,1.2168540405927064,1.0063426751293874,1.0,9,0,,,
57,12.0,0.08904544784283865,0.0011745656348864878,0.0199710347724259,10,0,,,
58,13.0,1.0011617742105063,1.0000001479171106,1.0,12,0,,,
59,13.0,1.3504400691039518,1.0144412121326287,1.0,4,0,,,
60,13.0,1.45793074056198,1.029122838104785,1.0,9,0,,,
61,13.0,1.13490410444023,1.0031517015560127,1.0,10,0,,,
62,13.0,1.6047780324312675,1.0381705176808957,1.0,6,0,,,
63,13.0,1.001109039696836,1.0000001556492335,1.0,12,0,,,
64,13.0,1.1545754145126261,1.003008960734874,1.0,11,0,,,
65,13.0,1.0010653090321824,1.0000001404224717,1.0,12,0,,,
66,13.0,1.005175243577721,1.000003445498409,1.0,12,0,,,
67,13.0,1.0050940835721165,1.0000033786938722,1.0,12,0,,,
68,13.0,1.0008040770979048,1.000000077873637,1.0,12,0,,,
69,13.0,1.2300963792112716,1.0077055784780484,1.0,9,0,,,
70,13.0,1.4568640483673025,1.0235906200626133,1.0,8,0,,,
71,13.0,1.0021506551849304,1.0000004751824545,1.0,12,0,,,
72,13.0,1.0190701447120898,1.0000422960127133,1.0,10,0,,,
73,13.0,1.2006551062799455,1.0051593507302634,1.0,6,0,,,
74,13.0,1.6744483953293021,1.0517050689192866,1.0,5,0,,,
75,13.0,1.3509479162074842,1.0165904813502973,1.0,11,0,,,
76,13.0,1.0006945842035642,1.0000000615793097,1.0,12,0,,,
77,13.0,1.038925184084573,1.0001809237285968,1.0,10,0,,,
78,13.0,1.0002904652517006,1.0000000104768945,1.0,12,0,,,
79,13.0,1.002502049548277,1.0000007531070636,1.0,12,0,,,
80,13.0,1.001217485781823,1.000000167076311,1.0,12,0,,,
81,13.0,1.0054039375118864,1.0000045471366867,1.0,12,0,,,
82,12.0,0.5730216109410387,0.038039948390825244,0.09841615087009592,8,0,,,
83,13.0,1.238553682425609,1.0068837011887508,1.0,8,0,,,
84,13.0,1.0008827037325603,1.000000102125505,1.0,12,0,,,
85,13.0,1.002320993249859,1.0000007430782771,1.0,12,0,,,
86,13.0,1.0003389464731371,1.0000000129940823,1.0,12,0,,,
87,14.0,2.446126865357862,2.0336136508958464,1.0,11,0,,,
88,13.0,1.6232020088372492,1.05669080759232,1.0,7,0,,,
89,13.0,1.5006570751384716,1.0307026345334709,1.0,10,0,,,
90,13.0,1.1012188801529457,1.0011210333658387,1.0,9,0,,,
91,13.0,1.1573946477021724,1.0033957600390313,1.0,11,0,,,
92,13.0,1.0009953534827025,1.0000001783676868,1.0,12,0,,,
93,13.0,1.0004289237516475,1.0000000190397054,1.0,12,0,,,
94,13.0,1.002865854408202,1.0000011459441438,1.0,12,0,,,
95,13.0,1.1451287195584112,1.0024981448547061,1.0,11,0,,,
96,13.0,1.0008062517655762,1.0000000848735915,1.0,12,0,,,
97,13.0,1.1498571834317923,1.0027845991773126,1.0,10,0,,,
98,13.0,1.3283797759204679,1.0171005437579261,1.0,10,0,,,
99,13.0,1.0005356132419085,1.0000000362146648,1.0,12,0,,,
