,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,6.0,0.47054737422724924,0.1244549252622233,0.3181818181818182,5,1,0.8057142857142857,1.0,5.786272602857116
1,5.0,0.3746725224510076,0.08005691996020106,0.2575757575757575,4,1,,,
2,5.0,0.2928139855553444,0.042922198180025004,0.15151515151515144,4,1,,,
3,6.0,0.31192394262872597,0.05457120229315987,0.2103813344782049,5,1,,,
4,6.0,0.32054786614318465,0.05235938578923892,0.21652521509112732,5,1,,,
5,6.0,0.27695143535421873,0.07670208981042899,0.2769514213908802,5,1,,,
6,6.0,0.3198717455100522,0.052206936527066,0.21627526211016107,5,1,,,
7,5.0,0.16430890321922625,0.024802462681573993,0.1573334209846728,4,1,,,
8,5.0,0.5374258824592222,0.1467686367274983,0.30303030303030304,3,1,,,
9,6.0,0.5339016521700677,0.16754052724971552,0.3787878787878788,5,1,,,
10,6.0,0.36117346365046377,0.1304462525358991,0.3611734383033984,5,1,,,
11,6.0,0.38091924085697715,0.0672066882832788,0.23884110378496576,5,1,,,
12,5.0,0.41803878730304495,0.11828612294465382,0.3333333333333333,4,1,,,
13,6.0,0.2659656322165524,0.0707377017741812,0.2659656026146629,5,1,,,
14,6.0,0.20802749693816938,0.043275430274980965,0.2080274748079704,5,1,,,
15,7.0,0.15126572237546834,0.022881300174089608,0.1512656609217326,6,1,,,
16,6.0,0.3786731501092894,0.13116263641934725,0.36176911267367273,5,1,,,
17,6.0,0.32012385389069303,0.052263700556549435,0.2163683356660785,5,1,,,
18,6.0,0.27398524077272085,0.053834948856967005,0.22727272727272724,5,1,,,
19,6.0,0.38260915479277136,0.0676573950458185,0.23946556539246527,5,1,,,
20,6.0,0.26268087186314204,0.06900122813691408,0.2626808484395345,5,1,,,
21,5.0,0.14485074791496577,0.02098173528762274,0.1448507345083988,4,1,,,
22,6.0,0.13127241358198072,0.01723244275608809,0.1312723990642663,5,1,,,
23,6.0,0.15394132768831936,0.013835488964985232,0.10848674233520472,6,1,,,
24,5.0,0.4676914881348447,0.12916322362558896,0.3333333333333333,4,1,,,
25,6.0,0.3216547348175577,0.05260954158958794,0.21693417520234076,5,1,,,
26,7.0,0.35565102743451527,0.06069490061866901,0.22950064052234992,6,1,,,
27,6.0,0.3055914567168782,0.05059573721297418,0.19696969696969696,5,1,,,
28,6.0,0.316741478899945,0.0698458487899454,0.2575757575757575,5,1,,,
29,7.0,0.13636369371972104,0.018595041322315056,0.1363636363636363,6,1,,,
30,5.0,0.14198905484297097,0.02016088840721867,0.14198904326467804,4,1,,,
31,6.0,0.14111086756386926,0.019912265899794425,0.14111082842855743,5,1,,,
32,6.0,0.22593267077934687,0.03400752680265053,0.1815512975056966,5,1,,,
33,7.0,0.21260160447672774,0.04519942507786022,0.21260156414725567,6,1,,,
34,6.0,0.35487059988959374,0.07141369147283508,0.24242424242424238,5,1,,,
35,7.0,0.301414491206859,0.07417363651850256,0.27059947360645636,6,1,,,
36,6.0,0.277742071911339,0.04331296037162357,0.2007022373604052,5,1,,,
37,6.0,0.22539673465887675,0.033920659910845356,0.18135315360444965,5,1,,,
38,7.0,0.6141134067709791,0.15883018453612088,0.35320049704927386,6,1,,,
39,6.0,0.22100859523689176,0.03321677406028364,0.17973109086354572,5,1,,,
40,6.0,0.15354425370672364,0.023575824185055095,0.15354420922019268,5,1,,,
41,6.0,0.2543450116947491,0.06469137432429001,0.2543449907591849,5,1,,,
42,7.0,0.15870556145503015,0.025187438609230225,0.15870550907019415,6,1,,,
43,6.0,0.3366565555459875,0.06361770834626014,0.22727272727272724,5,1,,,
44,5.0,0.131474206716044,0.017285465878168375,0.13147420232946222,4,1,,,
45,5.0,0.18049871965761075,0.03257977981398931,0.18049869754097675,4,1,,,
46,6.0,0.25755023326612625,0.06633211287370085,0.25755021427616925,5,1,,,
47,7.0,0.18547883903637352,0.03440237961876852,0.1854787848212502,6,1,,,
48,7.0,0.2745337662700344,0.041982461240652344,0.18362461281302658,6,1,,,
49,6.0,0.14198975626992588,0.02016108434374823,0.14198973323359626,5,1,,,
50,6.0,0.1859773027912818,0.025152737241370574,0.1556742226440299,6,1,,,
51,6.0,0.26632854409119616,0.07093088005451305,0.266328519040888,5,1,,,
52,5.0,0.22585643864841662,0.05101112071756103,0.22585641615318525,4,1,,,
53,6.0,0.28201490816625263,0.04416080060225638,0.20228178934617475,5,1,,,
54,6.0,0.2845788183576492,0.08098507913189351,0.284578774914597,5,1,,,
55,7.0,0.3281657392239233,0.08333128177994782,0.28550137895526306,6,1,,,
56,6.0,0.33131483895887776,0.05482821811872488,0.22050506057161273,5,1,,,
57,7.0,0.31108629537116095,0.056742444864863115,0.2201771606115066,6,1,,,
58,7.0,0.29570696443737865,0.07231367075952576,0.26742013295491535,6,1,,,
59,5.0,0.24166978301920203,0.03645716136060652,0.18106370917006245,4,1,,,
60,6.0,0.3457372159492333,0.11953420701765466,0.3457371935699925,5,1,,,
61,5.0,0.1454411065484803,0.021153112124770945,0.14544109503428143,4,1,,,
62,5.0,0.30667926720256794,0.06875642425076366,0.2575757575757575,4,1,,,
63,6.0,0.27887705612874303,0.0435369774728554,0.20112181071079138,5,1,,,
