,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,3.0,1.0030645700292362,1.0000052718466559,1.0,2,0,0.998,1.0,10.230775181999997
1,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
2,4.0,0.5192571753703548,0.2503100635609463,0.5,3,0,,,
3,4.0,0.5482252455073017,0.25125847136075147,0.5,4,0,,,
4,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
5,4.0,1.0124845774734745,1.0000856451049758,1.0,3,0,,,
6,5.0,2.0643655815763915,2.0036817063716668,1.0,3,1,,,
7,2.0,1.000995604511995,1.0000009912283443,1.0,1,0,,,
8,4.0,1.0173651213671793,1.000135688297251,1.0,3,0,,,
9,4.0,1.0125428309289635,1.0000857583233107,1.0,3,0,,,
10,4.0,1.0104685696430413,1.0000786133864306,1.0,3,0,,,
11,4.0,1.010383837344148,1.0000784518462749,1.0,3,0,,,
12,4.0,1.0102726262018509,1.0000782616159145,1.0,3,0,,,
13,4.0,1.0132271903326964,1.0000900283685947,1.0,3,0,,,
14,5.0,1.5111582248154551,1.250080040259201,1.0,4,0,,,
15,4.0,1.0129200357492087,1.0000895111035544,1.0,3,0,,,
16,3.0,1.0024025989441332,1.0000043919295751,1.0,2,0,,,
17,5.0,1.5125428309289635,1.2500857583233107,1.0,4,0,,,
18,5.0,1.511163520584136,1.2500800508322287,1.0,4,0,,,
19,3.0,1.003182282184121,1.0000077894771713,1.0,2,0,,,
20,3.0,1.0023802106255033,1.000002904298399,1.0,2,0,,,
21,3.0,1.0097789144706275,1.0000781377621737,1.0,2,0,,,
22,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
23,5.0,1.5104738654117222,1.2500786239594581,1.0,4,0,,,
24,4.0,1.0118531757565496,1.0000824289535128,1.0,3,0,,,
25,4.0,1.0118531757565496,1.0000824289535128,1.0,3,0,,,
26,4.0,1.0194393826531014,1.0001713706895414,1.0,3,0,,,
27,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
28,2.0,1.0010009002806757,1.0000010018013719,1.0,1,0,,,
29,4.0,1.009541810123897,1.0000776268977194,1.0,3,0,,,
30,3.0,1.0030698657979171,1.0000052824196835,1.0,2,0,,,
31,4.0,1.5058231907188913,1.2500242968169293,1.0,3,0,,,
32,4.0,1.0125375351602828,1.0000857477502831,1.0,3,0,,,
33,5.0,1.5104685696430413,1.2500786133864306,1.0,4,0,,,
34,3.0,1.5010009002806757,1.2500010018013719,1.0,2,0,,,
35,4.0,1.0104685696430413,1.0000786133864306,1.0,3,0,,,
36,4.0,1.0206311899465015,1.0003138579819735,1.0,3,0,,,
37,3.0,1.0097789144706275,1.0000781377621737,1.0,2,0,,,
38,4.0,1.0192518796016738,1.0003100529879188,1.0,3,0,,,
39,4.0,1.0194340868844207,1.0001713601165139,1.0,3,0,,,
40,4.0,1.0104738654117222,1.0000786239594581,1.0,4,0,,,
41,4.0,1.0104738654117222,1.0000786239594581,1.0,3,0,,,
42,3.0,1.0102112281252795,1.0000935315522943,1.0,2,0,,,
43,3.0,1.0023749148568224,1.0000028937253715,1.0,2,0,,,
44,5.0,1.5111582248154551,1.250080040259201,1.0,4,0,,,
45,4.0,1.0159858110223516,1.0001166633269776,1.0,4,0,,,
46,4.0,1.011847879987869,1.0000824183804853,1.0,3,0,,,
47,4.0,1.0111635205841358,1.0000800508322287,1.0,3,0,,,
48,3.0,1.009101056079482,1.0000772474964268,1.0,2,0,,,
49,4.0,1.0125375351602826,1.0000857477502831,1.0,3,0,,,
50,4.0,1.01737041713586,1.0001356988702785,1.0,3,0,,,
51,3.0,1.0016852596844088,1.0000014668526012,1.0,2,0,,,
52,4.0,1.011847879987869,1.0000824183804853,1.0,3,0,,,
53,4.0,1.5023749148568226,1.2500028937253718,1.0,3,0,,,
54,5.0,1.5159911067910325,1.2501166739000051,1.0,3,0,,,
55,5.0,1.518744431712007,1.250158518261579,1.0,4,0,,,
56,3.0,1.0016852596844088,1.0000014668526012,1.0,2,0,,,
57,3.0,1.2974967914116244,0.9757067748952614,0.9090909090909091,2,1,,,
58,4.0,1.0118531757565496,1.0000824289535128,1.0,3,0,,,
59,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
60,3.0,1.0097842102393084,1.0000781483352013,1.0,2,0,,,
61,5.0,1.5194340868844207,1.2501713601165139,1.0,4,0,,,
62,3.0,1.0058231907188915,1.0000242968169293,1.0,2,0,,,
63,5.0,1.511847879987869,1.2500824183804853,1.0,4,0,,,
64,3.0,1.0016852596844088,1.0000014668526012,1.0,2,0,,,
65,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
66,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
67,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
68,5.0,1.511163520584136,1.2500800508322287,1.0,4,0,,,
69,4.0,1.0118531757565496,1.0000824289535128,1.0,3,0,,,
70,5.0,1.518054776539593,1.2501466276551583,1.0,4,0,,,
71,5.0,1.5125375351602828,1.2500857477502831,1.0,4,0,,,
72,5.0,1.5104738654117222,1.2500786239594581,1.0,4,0,,,
73,4.0,1.5016852596844088,1.2500014668526012,1.0,3,0,,,
74,3.0,1.003214056796206,1.0000078174101565,1.0,2,0,,,
75,4.0,1.0125375351602828,1.0000857477502831,1.0,3,0,,,
76,4.0,1.5030645700292362,1.2500052718466559,1.0,3,0,,,
77,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
78,4.0,1.0180600723082738,1.0001466382281858,1.0,3,0,,,
79,5.0,1.5113606692692332,1.25008168561639,1.0,4,0,,,
80,4.0,1.0106869014028617,1.000079323901528,1.0,3,0,,,
81,3.0,0.5058284864875723,0.2500243073899569,0.5,2,0,,,
82,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
83,4.0,1.011847879987869,1.0000824183804853,1.0,3,0,,,
84,4.0,1.50375422520165,1.2500086012164537,1.0,3,0,,,
85,4.0,1.011847879987869,1.0000824183804853,1.0,3,0,,,
86,4.0,1.0117366688455716,1.0000822093037733,1.0,3,0,,,
87,4.0,1.0132271903326964,1.0000900283685947,1.0,3,0,,,
88,3.0,1.0097789144706275,1.0000781377621737,1.0,2,0,,,
89,4.0,1.0166754661947655,1.0001257001878574,1.0,3,0,,,
90,4.0,1.0159858110223516,1.0001166633269776,1.0,3,0,,,
91,4.0,1.5009968097559017,1.2500005699681949,1.0,3,0,,,
92,5.0,1.5104685696430413,1.2500786133864306,1.0,4,0,,,
93,4.0,1.018054776539593,1.0001466276551583,1.0,3,0,,,
94,4.0,1.0199468305427686,1.000311490433717,1.0,3,0,,,
95,3.0,1.0016905554530895,1.0000014774256287,1.0,2,0,,,
96,4.0,1.5016852596844088,1.2500014668526012,1.0,3,0,,,
97,4.0,1.011847879987869,1.0000824183804853,1.0,3,0,,,
98,3.0,1.003759520970331,1.0000086117894813,1.0,2,0,,,
99,4.0,1.0111582248154551,1.0000800402592012,1.0,3,0,,,
