,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,9.0,3.109929675256359,1.5492565372912925,0.7804172510341851,0,1,0.992,1.0,0.39256062700000255
1,9.0,3.830805669652329,2.2603524321359663,0.8054113425886444,0,1,,,
2,10.0,4.332043321386128,2.3228574384124596,0.7540673211582873,0,1,,,
3,10.0,4.696982927910578,2.7962055277081355,1.0,0,1,,,
4,9.0,3.753476238201701,2.1711147876921975,0.7979838709514503,0,1,,,
5,9.0,3.886912411929632,1.9879880623457782,0.7365007012410221,0,1,,,
6,9.0,3.695102265892774,1.9552717395487917,0.7452840111996547,0,1,,,
7,8.0,3.0936159663704896,1.619749007759607,0.7277173912823895,0,1,,,
8,10.0,5.831595087534275,3.64091697566704,0.8030303030303032,0,1,,,
9,9.0,4.300920593046987,2.4758105055148105,0.7628506311169199,0,1,,,
10,9.0,3.182042256427423,1.6152297851428916,0.7804172510341851,0,1,,,
11,10.0,4.499870062285918,2.307928494530892,0.6666666666666667,0,1,,,
12,9.0,3.768724830693376,1.9280823599286108,0.7628506311169199,0,1,,,
13,10.0,4.691571373470216,2.8053915243896324,1.0,0,1,,,
14,9.0,4.276049868137903,2.224804166021247,0.6666666666666667,0,1,,,
15,10.0,4.1558927940702635,2.0543364539015956,0.7727131874340638,0,1,,,
16,9.0,3.0447983574886566,1.2940927954772978,0.6666666666666667,0,1,,,
17,9.0,3.988958875984852,2.223032720737553,0.7804172510341851,0,1,,,
18,9.0,4.391674129991045,2.3752255191082146,0.6879927331559798,0,1,,,
19,10.0,4.419834743177413,2.3718947846305114,0.7365007012410221,0,1,,,
20,9.0,3.1517294598651584,1.5907933411549253,0.7979838709514503,0,1,,,
21,10.0,4.329438199185263,2.3573906479286117,0.7540673211582873,0,1,,,
22,9.0,3.208543638288799,1.5444650993160283,0.6666666666666667,0,1,,,
23,10.0,4.2280336600012935,2.1208709318878456,0.6666666666666667,0,1,,,
24,9.0,3.901156347240812,1.9857506471083135,0.7365007012410221,0,1,,,
25,9.0,3.443427489648389,1.818020160227376,0.7296400864032546,0,1,,,
26,10.0,5.184833735926614,3.422656988087561,1.0,0,1,,,
27,10.0,4.51601723737059,2.4618751933419256,0.7540673211582873,0,1,,,
28,10.0,4.920453355016726,2.6777687854674532,0.792750914944871,0,1,,,
29,9.0,3.196770081509011,1.5849782423244094,0.7540673211582873,0,1,,,
30,10.0,3.5219433063032763,1.8082312720027038,0.7804172510341851,0,1,,,
31,10.0,3.4485679169873054,1.5045231881492647,0.6666666666666667,0,1,,,
32,8.0,3.67646773407977,1.9612578019102251,0.7013674614064918,0,1,,,
33,10.0,4.191421011476878,2.1887936036505855,0.7628506311169199,0,1,,,
34,9.0,3.4865054601639565,1.6251299244438928,0.6666666666666667,0,1,,,
35,9.0,3.57434118312788,1.7019030762158651,0.6666666666666667,0,1,,,
36,9.0,4.378377843257095,2.891700718772368,0.8571428571428572,7,1,,,
37,10.0,3.5964380189394496,1.9436841059162706,0.8067671809100829,0,1,,,
38,9.0,3.2178807095972304,1.6172050208964162,0.7804172510341851,0,1,,,
39,10.0,5.016175924902132,2.885403117074428,0.7591375857021836,0,1,,,
40,10.0,4.103313036572604,2.1073637723925893,0.7628506311169199,0,1,,,
41,10.0,5.453362234454353,3.4309124565990725,0.8636363636363638,0,1,,,
42,9.0,3.7286660704421886,1.9529108413237513,0.7189340813237569,0,1,,,
43,10.0,3.6764943390023923,1.8401765396242031,0.7892005609928177,0,1,,,
44,9.0,4.102026005855592,2.1889368900052975,0.7716339410755525,0,1,,,
45,10.0,3.8018368983973385,1.651032626320345,0.6666666666666667,0,1,,,
46,10.0,5.218476575879405,3.015613676496933,0.7166084315056885,0,1,,,
47,9.0,4.2624118666606545,2.3352221748397177,0.6925841514478591,0,1,,,
48,10.0,4.884768685793241,3.144322665923253,1.0,0,1,,,
49,9.0,3.6261480978775777,1.9653111539926198,0.8027474827114982,0,1,,,
50,10.0,4.239840488493484,2.1764898218001267,0.6838008414892265,0,1,,,
51,10.0,4.4813524803529905,2.3898076791473706,0.7567861305984621,0,1,,,
52,9.0,3.6626767302207335,1.9656561260771102,0.7277173912823895,0,1,,,
53,9.0,4.328754323915552,2.7829996647703465,1.0,0,1,,,
54,10.0,4.582452338191294,2.3977895365367003,0.6666666666666667,0,1,,,
55,10.0,4.40654878519735,2.2040275244535756,0.6666666666666667,0,1,,,
56,10.0,4.447896025721757,2.391342523413795,0.718913550262366,0,1,,,
57,9.0,2.997241892821025,1.28962463689941,0.7101507713651243,0,1,,,
58,9.0,2.862805346694412,1.1280346189424861,0.6666666666666667,0,1,,,
59,9.0,3.5568242992127934,1.6215088011970276,0.6666666666666667,0,1,,,
60,10.0,3.7211020219581457,2.0160694700031714,0.8331171107859807,0,1,,,
61,10.0,3.999762991455796,1.9308878147464148,0.7013793103448276,0,1,,,
62,10.0,4.029303479644054,1.9553214482369787,0.7716339410755525,0,1,,,
63,9.0,4.479062573380347,2.529506084980447,0.7365007012410221,0,1,,,
64,9.0,3.304397286098517,1.6805932812529814,0.7189340813237569,0,1,,,
65,10.0,5.422360250302121,3.5056976167768727,1.0,0,1,,,
66,9.0,3.7621602328122865,1.9667424105264741,0.7189340813237569,0,1,,,
67,9.0,3.8543311310153516,2.1486205904370768,0.7013674614064918,0,1,,,
68,10.0,5.349403198327234,3.3576601652089693,0.8571428571428571,0,1,,,
69,9.0,3.344533390874534,1.6971406973868437,0.7011066415624263,0,1,,,
70,9.0,4.001619225410703,1.9776187818143791,0.7170984277558209,0,1,,,
71,9.0,3.792536693903325,1.9967676178054572,0.7101507713651243,0,1,,,
72,9.0,3.953699456390957,1.9084893776736644,0.6666666666666667,0,1,,,
73,10.0,4.701051559703924,2.612813141206037,0.8580674321250867,0,1,,,
74,9.0,3.4979805253149276,1.8106618168553652,0.6838008414892265,0,1,,,
75,10.0,4.803907108358601,2.837400794057359,0.8331171107859807,0,1,,,
76,10.0,3.9278174607292984,2.055036830888799,0.7452840111996547,0,1,,,
77,9.0,3.8765667143481135,2.1075075835358943,0.7052018870822214,0,1,,,
78,9.0,3.675515777664853,1.820908916235934,0.7892005609928177,0,1,,,
79,9.0,3.746415784770755,1.8608414703727658,0.6666666666666667,0,1,,,
80,10.0,4.6264972288761115,2.4766934561345852,0.7142857142857142,0,1,,,
81,10.0,4.500549685040362,2.5878049427078476,0.8243338008273481,0,1,,,
82,10.0,3.9764911287885667,1.919448132735061,0.7277173912823895,0,1,,,
83,10.0,3.159611784024145,1.258912004231414,0.6666666666666667,0,1,,,
84,9.0,3.389100832127815,1.8413100278624959,0.7804172510341851,0,1,,,
85,9.0,3.01760551619072,1.5599427544947788,0.8155504908687154,0,1,,,
86,9.0,3.101758397211876,1.6491306353218658,0.7503641061831755,0,1,,,
87,10.0,3.9086042219389343,2.0956077968104005,0.8243338008273481,0,1,,,
88,10.0,4.681591913771064,2.6115614042023045,0.7674569398099751,0,1,,,
89,10.0,4.509385838489983,2.9521019130777564,1.0,0,1,,,
90,9.0,4.445675991089903,2.4051468595033554,0.6666666666666667,0,1,,,
91,10.0,3.6895077470357425,1.736253186367732,0.6666666666666667,0,1,,,
92,10.0,5.262725184541162,3.642630385970843,1.0,7,1,,,
93,10.0,4.031160772733507,1.9683796655227337,0.7013674614064918,0,1,,,
94,9.0,2.3374991436206396,0.9220303773587983,0.6666666666666667,0,1,,,
95,10.0,4.358255981368547,2.2726538639091007,0.6666666666666667,0,1,,,
96,9.0,3.704569260289484,1.9425283824781856,0.7452840111996547,0,1,,,
97,9.0,3.161577565232099,1.5881498514956185,0.7979838709514503,0,1,,,
98,9.0,4.752617592040763,2.846130855599415,0.772796140044089,0,1,,,
99,9.0,3.501612561375265,1.777394213759477,0.7251208350666335,0,1,,,
