,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,6.0,0.9089374016168064,0.1979070382467944,0.3333333333333333,5,1,0.9685714285714285,1.0,17.188767074285707
1,5.0,0.7070194014060442,0.27274314599513716,0.5,4,1,,,
2,6.0,1.261223498939147,1.0227613443851244,1.0,5,1,,,
3,7.0,2.2805152673108453,1.6029792403930865,1.0,5,1,,,
4,6.0,2.0596286685741294,1.3959940930653278,1.0,5,1,,,
5,5.0,0.6806039096537732,0.15251085780980544,0.2857142857142857,4,1,,,
6,5.0,0.37028822518973686,0.039354353628410006,0.12180267965895251,4,1,,,
7,5.0,0.2798930665277165,0.02674367761159039,0.14166181221204255,3,1,,,
8,6.0,1.1326047095674368,0.37621711918734035,0.4285714285714285,5,1,,,
9,7.0,1.6214820435781072,0.6851179823459911,0.6666666666666666,6,1,,,
10,8.0,3.615658181127185,2.421629956859142,1.0,8,1,,,
11,6.0,0.994108615505656,0.22887915502070774,0.3333333333333333,6,1,,,
12,8.0,3.1343574052705723,2.5619726417856925,1.0,8,1,,,
13,9.0,3.3023319610972304,2.5814856672561723,1.0,9,1,,,
14,9.0,3.4529496152109163,2.6198603269973364,1.0,9,1,,,
15,9.0,3.504832883064277,2.634380059087274,1.0,9,1,,,
16,8.0,3.8346366630163216,3.134393338867782,1.0,8,1,,,
17,8.0,3.5243934608282133,2.7709724722153797,1.0,8,1,,,
18,9.0,3.071373815829562,2.2722449035547214,1.0,9,1,,,
19,9.0,3.8729562633284407,2.817401830888597,1.0,9,1,,,
20,9.0,3.351536061370796,2.45889232303615,1.0,9,1,,,
21,9.0,2.9571957719578936,1.690552844776498,1.0,9,1,,,
22,9.0,3.7730424816147115,3.1783811634079764,1.0,9,1,,,
23,8.0,3.770063165793544,3.271057569946828,1.0,8,1,,,
24,9.0,4.60288836896623,3.4363906175039602,1.0,9,1,,,
25,7.0,3.1244749131557654,2.7931851411237623,1.0,7,1,,,
26,9.0,4.04527890460399,2.6922993493772727,1.0,9,1,,,
27,8.0,3.2517424649020676,2.576535537227401,1.0,8,1,,,
28,9.0,3.6658519573244774,2.672902424845434,1.0,9,1,,,
29,8.0,2.670604803571863,2.1548630591929876,1.0,8,1,,,
30,7.0,2.284404142785088,2.0237888631610232,1.0,7,1,,,
31,10.0,3.873960765635572,2.6709619564861846,1.0,10,1,,,
32,9.0,4.111949346331582,3.2786259553189443,1.0,9,1,,,
33,9.0,3.0461384008150234,2.2691466735226724,1.0,9,1,,,
34,9.0,3.8763670688437006,3.2397319056011415,1.0,9,1,,,
35,9.0,3.710507688288807,2.627822359264084,1.0,9,1,,,
36,7.0,2.286751930270987,1.541168356982625,1.0,7,1,,,
37,9.0,3.6368246335863867,2.9184219693690707,1.0,9,1,,,
38,8.0,3.1673787543171206,2.5343284789140954,1.0,8,1,,,
39,8.0,2.990754160624811,1.8991884866936117,1.0,8,1,,,
40,6.0,3.056462127747266,2.5037088591877854,1.0,6,1,,,
41,9.0,3.325130461130294,2.3769770713549017,1.0,9,1,,,
42,6.0,1.8620809971685852,1.2642156619799874,1.0,6,1,,,
43,9.0,4.396104727591958,3.680627512878142,1.0,9,1,,,
44,9.0,3.4143764099408918,2.4320534681548276,1.0,9,1,,,
45,9.0,3.427512708538404,2.1551245128807452,1.0,9,1,,,
46,9.0,3.5740428225273932,2.499535225958896,1.0,9,1,,,
47,8.0,3.4185878282296893,2.643080865564769,1.0,8,1,,,
48,9.0,3.9568270381491537,2.8774572320531675,1.0,9,1,,,
49,8.0,4.241547322543228,3.5806416490977053,1.0,8,1,,,
50,8.0,3.1518004523697307,2.549694457443686,1.0,8,1,,,
51,9.0,3.970897634649077,2.9290794327242176,1.0,9,1,,,
52,7.0,2.4243978314559973,2.062504948118365,1.0,7,1,,,
53,8.0,2.8419067093015644,2.187389430708816,1.0,8,1,,,
54,9.0,3.8989469047314556,2.748225964957287,1.0,9,1,,,
55,8.0,3.069814916666644,2.337196892278165,1.0,8,1,,,
56,6.0,3.5176561367222625,3.1989816779537277,1.0,6,1,,,
57,8.0,3.744750988948224,2.8121667886791855,1.0,8,0,,,
58,6.0,2.855860548865057,2.3495197620773753,1.0,6,1,,,
59,9.0,3.6987586742274754,2.705407867018175,1.0,9,1,,,
60,9.0,3.9251816230250482,3.30577048299085,1.0,9,1,,,
61,7.0,2.0863156376105376,1.409678295360564,1.0,7,1,,,
62,9.0,4.368091788412649,4.048567048802083,1.0,9,1,,,
63,8.0,3.9719205400161437,3.033284413340186,1.0,8,1,,,
64,7.0,2.5033848717756246,2.1522096684721355,1.0,7,1,,,
65,8.0,3.5901929127468426,2.7805306309258286,1.0,8,1,,,
66,9.0,4.21826958934219,3.2941609340565488,1.0,9,1,,,
67,9.0,3.941191387555245,2.7707145161006044,1.0,9,1,,,
68,7.0,3.623447843097782,2.890837556312823,1.0,7,1,,,
69,9.0,3.967390174319937,2.8714074493592925,1.0,9,1,,,
