,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,6.0,2.165227381056298,1.5563950683581125,1.0,6,0,0.724,1.0,33.33569046020008
1,7.0,2.658576716202104,1.9928167813647275,0.9826768338680267,0,0,,,
2,7.0,1.9963432582666947,1.270008677845554,0.8710597157478333,7,0,,,
3,7.0,2.8958224699700286,2.4234054146900466,1.0,7,0,,,
4,7.0,2.4345665559231175,2.096584871768397,0.9984459280967712,7,0,,,
5,7.0,2.7506467323081054,2.265802609603779,1.0,7,0,,,
6,7.0,2.570936734738563,2.0940113565231053,1.0,7,0,,,
7,7.0,2.657908460103491,2.1175852593611775,1.0,7,0,,,
8,7.0,2.6036445994830197,2.2060913427587674,1.0,7,0,,,
9,7.0,2.9651443547242047,2.30714007394181,0.9965928196907043,0,0,,,
10,7.0,2.8297222811647456,2.221012169461903,0.9905370771884918,7,0,,,
11,7.0,2.197185613799221,1.4694203419809893,0.9996263384819031,0,0,,,
12,6.0,1.3668621527531648,1.0451272255326745,1.0,6,0,,,
13,7.0,2.676504790087626,2.0803847044133637,0.9910948276519775,0,0,,,
14,7.0,2.1276039755184915,1.89672048363775,0.9993679523468018,5,0,,,
15,7.0,2.4996077316531347,2.021498938998352,0.9913921058177948,7,0,,,
16,7.0,2.9560951518676464,2.2958958986232574,0.9962959587574005,0,0,,,
17,7.0,2.772638778259906,2.206871369211859,1.0,7,0,,,
18,7.0,2.962878978428614,2.422707864023965,1.0,7,0,,,
19,7.0,2.946975664368171,2.364920670953225,0.9864235520362854,5,0,,,
20,7.0,0.4075412310796081,0.06416985987215931,0.23714673519134521,0,0,,,
21,7.0,2.127150540761216,1.9568388670522237,0.9990698993206024,0,0,,,
22,7.0,2.890717454569908,2.2159350046764925,0.9882741272449493,5,0,,,
23,7.0,3.1883523227991297,2.697857505774092,0.9999999983742353,7,0,,,
24,7.0,3.0861608938273135,2.408165738189296,1.0,7,0,,,
25,7.0,2.6876471135982336,2.062847991519119,0.9992110133171082,0,0,,,
26,7.0,2.7284337577864863,2.176340104592559,1.0,7,0,,,
27,7.0,1.3365150769482872,1.0477739825031038,0.9999521663230553,5,0,,,
28,7.0,2.723628326748276,2.207594300915716,0.9979589879512787,0,0,,,
29,7.0,2.791653466402869,2.4169440034352823,1.0,7,0,,,
30,7.0,2.4242749740753653,2.064647391557597,1.0,7,0,,,
31,6.0,1.3497667586277293,1.0408492527690025,1.0,6,0,,,
32,7.0,2.7439099584717197,2.310782512203601,1.0,7,0,,,
33,7.0,2.5071599026967766,1.9539324271610805,0.9911550581455231,7,0,,,
34,7.0,1.2859517345368996,0.9775761647799158,0.9668164849281311,7,0,,,
