,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,5.0,0.8754704300590387,0.24031792084141157,0.38095238095238093,2,1,0.9339999999999999,1.0,12.989983466000005
1,8.0,3.911364978676423,2.663019265116433,1.0,8,1,,,
2,8.0,2.2379864972305508,1.0726040928527947,0.6666666666666666,7,1,,,
3,7.0,1.8343802910411982,1.275434510646288,1.0,6,1,,,
4,6.0,1.4219792698526237,1.0699532587794045,1.0,5,1,,,
5,6.0,1.0528277432760986,0.49783024978280344,0.6666666666666666,3,1,,,
6,8.0,4.170663267603435,3.1532354578323263,1.0,7,1,,,
7,9.0,3.679600886605764,2.6435741498063847,1.0,6,1,,,
8,6.0,0.6924111131382968,0.14709257711956775,0.3333333333333333,5,1,,,
9,7.0,2.3179956956705934,1.558031493252247,1.0,3,1,,,
10,6.0,0.8168819535766788,0.2928754349202435,0.5,3,1,,,
11,6.0,1.121366171697281,0.42129445178969294,0.5,4,1,,,
12,9.0,4.508223224703603,3.2484642023421433,1.0,7,1,,,
13,6.0,0.846143215177596,0.3130832963529263,0.5,5,1,,,
14,8.0,2.3333055038380874,1.226566584695564,0.6666666666666666,7,1,,,
15,6.0,1.6243742824595344,0.7506582126249176,0.6190476190476191,5,1,,,
16,5.0,0.7422289664626004,0.21972004163046022,0.38095238095238093,4,1,,,
17,9.0,4.060405041855617,3.0856636203926717,1.0,9,1,,,
18,6.0,2.0828353406007327,1.2616011267448155,1.0,6,1,,,
19,7.0,2.2751129959243817,2.0248251125484247,1.0,7,1,,,
20,5.0,0.5689542361085149,0.13004418335814938,0.3333333333333333,4,1,,,
21,9.0,3.8956384980650496,2.376620898833615,1.0,9,1,,,
22,9.0,3.7972845483280224,2.79264775709689,1.0,9,1,,,
23,9.0,3.3322507312629535,2.3842898611011014,1.0,9,1,,,
24,7.0,3.3726971843609075,2.5082274610491995,1.0,6,1,,,
25,9.0,4.363790997290917,3.122323672396176,1.0,9,1,,,
26,8.0,3.4701206572889443,2.625950808645097,1.0,8,1,,,
27,9.0,3.675981815213951,2.768227498200958,1.0,9,1,,,
28,6.0,2.4040181223316983,2.069148469344225,1.0,6,1,,,
29,9.0,3.85924186420743,2.6713353845917274,1.0,9,1,,,
30,8.0,4.011351502660415,2.740710134556366,1.0,7,1,,,
31,7.0,3.162150225211961,2.6236957489876485,1.0,7,1,,,
32,8.0,3.645825601793753,2.735878354254972,1.0,8,1,,,
33,7.0,1.8040862809014033,0.711281858426021,0.5239556099454803,6,1,,,
34,8.0,3.532519203235854,2.70215474939274,1.0,7,1,,,
35,9.0,4.730175444909339,3.561230762736678,1.0,9,1,,,
36,9.0,3.0997865487160428,1.8915149686281065,1.0,9,1,,,
37,7.0,2.365475053490108,1.219622156250837,0.77748558524012,6,1,,,
38,8.0,2.902837786153554,2.2677460321932723,1.0,8,1,,,
39,8.0,2.723655962724425,2.161665996142331,1.0,8,1,,,
40,8.0,3.9788563623358884,3.028735563619265,1.0,8,1,,,
41,9.0,3.6315086194458313,2.670373631234955,1.0,9,1,,,
42,9.0,2.961203297430296,2.2448001090505514,1.0,9,1,,,
43,8.0,3.5834550688795925,2.4304394379380616,1.0,8,1,,,
44,8.0,2.8857268764204846,2.2088253870002457,1.0,8,1,,,
45,9.0,4.7855359684713115,3.648816043759485,1.0,9,1,,,
46,9.0,3.168611317728827,2.3004546685448815,1.0,9,1,,,
47,9.0,3.613087178896252,2.5933146026807803,1.0,9,1,,,
48,8.0,3.2284689845379195,2.5549021455329033,1.0,8,1,,,
49,8.0,3.7069557835578197,2.8112648506489784,1.0,8,1,,,
50,9.0,3.8451387947937774,3.2110623116775288,1.0,9,1,,,
51,9.0,2.9728451132173856,2.2567616237200987,1.0,9,1,,,
52,6.0,1.5692329890350438,1.1095316070904524,1.0,6,1,,,
53,7.0,3.593109115010553,3.158245946700465,1.0,7,1,,,
54,7.0,2.5565221343351068,2.1194910761914327,1.0,7,1,,,
55,7.0,2.9484497786318684,2.321029133518236,1.0,7,1,,,
56,9.0,4.2540027922090395,3.3926087311510833,1.0,9,1,,,
57,8.0,3.1289476738972053,2.2954221982077763,1.0,8,1,,,
58,7.0,2.6165668795979458,2.1426979584775463,1.0,7,1,,,
59,7.0,1.4228089735223903,0.4803431715489163,0.5,7,1,,,
60,8.0,3.3936473902706035,2.6202758091022345,1.0,8,1,,,
61,9.0,3.304611931363795,2.0406272267008814,1.0,9,1,,,
62,7.0,2.5649835548666804,1.754176382065529,1.0,7,1,,,
63,9.0,4.1241517277522055,3.0836170687627265,1.0,9,1,,,
64,9.0,3.8264463152865598,2.814996233789822,1.0,9,1,,,
65,9.0,4.000520234968151,2.8757802912323776,1.0,9,1,,,
66,8.0,3.5078569947828493,2.5488424028924785,1.0,8,1,,,
67,7.0,2.5227604569458744,1.3431944694233722,0.6666666666666666,6,1,,,
68,9.0,3.3864954069685353,2.443565881326918,1.0,9,1,,,
69,8.0,3.416993003626267,2.842406812963424,1.0,8,1,,,
70,8.0,2.295412267717212,1.45078265475147,1.0,8,1,,,
71,8.0,3.1737757827117745,2.383231956534433,1.0,8,1,,,
72,7.0,2.3786656009878677,1.6122701430146236,1.0,7,1,,,
73,7.0,2.279319926578701,2.0217021403932582,1.0,7,1,,,
74,8.0,3.0214216504031386,2.4933505139986134,1.0,8,1,,,
